master_id,year,volume,author,subject,title,year_start,year_end,notes,In PDF?
MASTER_00001,1858,OS 1 Part 1,"Edkins, J.",Buddhism,"A Buddhist Shastra , Translated from the Chinese",1858,1858,,
MASTER_00002,1858,OS 1 Part 1,"Wylie, A.",coinage,Coins of the Ta - ts'ing or present dynasty of China *,1858,1858,,
MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.",ethnology and anthropology,Contribution to the ethnology of Eastern Asia,1858,1858,,
MASTER_00004,1858,OS 1 Part 1,"Nicolson, F. W.",meteorology,"On Cyclones , or the Law of Storms",1858,1858,,
MASTER_00005,1858,OS 1 Part 1,"Foote, A. H.",travel and general descriptions,Visit to Simoda and Hakodadi in Japan,1858,1858,,
MASTER_00006,1859,OS 1 Part 2,"Macgowan, D. J.",literature and language,Chinese bibliography,1859,1859,,
MASTER_00007,1859,OS 1 Part 2,"Shadwell, C. F. A.",meteorology,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,1859,,
MASTER_00008,1859,OS 1 Part 2,"Syle, E. W.",music,On the Musical Notation of the Chinese,1859,1859,,
MASTER_00009,1859,OS 1 Part 2,"Edkins, J.",philosophy,Notices of the character and writings of Meh tsi,1859,1859,"MEH TSi, mozi, 墨子",
MASTER_00010,1859,OS 1 Part 2,"Ward, J.",hydrology,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1859,"YANG-TSZE KIANG Yangtzi River, 扬子江, 长江；WOOSUNG, wusong, 吴淞; HANKOW, Hankou, 汉口",
MASTER_00011,1859,OS 1 Part 2,"Pompe van Meedervoort, J. L. C.",education,On the Study of the Natural Sciences in Japan,1859,1859,,
MASTER_00012,1859,OS 1 Part 2,"Fedorovitch, J.",meteorology,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,1859,,
MASTER_00013,1859,OS 1 Part 2,"Williams, S. W.",travel and general descriptions,Lecture on Japan,1859,1859,,
MASTER_00014,1859,OS 1 Part 2,"Swinhoe, R.",travel and general descriptions,Narrative of a visit to the island of Formosa,1859,1859,"Formosa, the old name of Taiwan, 台湾",
MASTER_00015,1859,OS 1 Part 2,"Swinhoe, R.",zoology,Notes on some new species of birds found on the island of Formosa,1859,1859,"Formosa, the old name of Taiwan, 台湾",
MASTER_00016,1859,OS 1 Part 3,"Swinhoe, R.",zoology,The Small Chinese Lark,1859,1859,,
MASTER_00017,1859,OS 1 Part 3,"Macgowan, D. J.",law,On the Banishment of Criminals in China,1859,1859,,
MASTER_00018,1859,OS 1 Part 3,"Robertson, D. B.","agriculture, industry and trade",Cotton in China,1859,1859,,
MASTER_00019,1859,OS 1 Part 3,,meteorology,"Meteorological tables, from observations made in Japan",1859,1859,,
MASTER_00020,1859,OS 1 Part 3,"Edkins, J.",mythology,A Sketch of the Tauist Mythology in its modern form,1859,1859,,
MASTER_00021,1859,OS 1 Part 3,"Williams, S. W.",contemporary history,Narrative of the American Embassy to Peking,1859,1859,,
MASTER_00022,1859,OS 1 Part 3,"Bridgman, E. C.",ethnology and anthropology,Sketches of the Miau - tsze,1859,1859,,
MASTER_00023,1860,OS 2 Part 1,"Edkins, J.",hydrology,On the ancient mouths of Yangtsï kiang,1860,1860,,
MASTER_00024,1860,OS 2 Part 1,"Macgowan, D. J.","botany, geology, hydrology and meteorology","On the Cosmical Phenomena observed in the neighborhood of Shanghai , during the past thirteen centuries",1860,1860,,
MASTER_00025,1860,OS 2 Part 1,"Edkins, J.",Confucianism,A Sketch of the Life of Confucius,1860,1860,,
MASTER_00026,1860,OS 2 Part 1,"John, G.",philosophy,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin",1860,1860,,
MASTER_00027,1860,OS 2 Part 1,"Pompe van Meedervoort, J. L. C.",literature and language,Dissection of a Japanese criminal,1860,1860,,
MASTER_00028,1860,OS 2 Part 1,"Shock, W. H.",geology,"Notes on the mineral resources of Japan, etc.",1860,1860,,
MASTER_00029,1860,OS 2 Part 1,Editorial Committee,contemporary history,"Record of occurrences, 1860",1860,1860,,
MASTER_00030,1860,OS 2 Part 1,"Shadwell, C. F. A.",meteorology,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,1860,1860,,
MASTER_00031,1860,OS 2 Part 1,"Courtney, C. F. A.",meteorology,Temperature of Hakodadi,1860,1860,,
MASTER_00032,1860,OS 2 Part 1,Editorial Committee,meteorology,Winds and weather at Chefoo,1860,1860,,
MASTER_00033,1864,NS 1,"Lindau, R.",travel and general descriptions,"Notes on the city of Yedo, the capital of Japan *",1864,1864,,
MASTER_00034,1864,NS 1,"Henderson, J.",meteorology,Notes on some of the physical causes which modify climate,1864,1864,,
MASTER_00035,1864,NS 1,"Dickson, W.",travel and general descriptions,"Narrative of an overland trip, through Hunan, from Canton to Hankow",1864,1864,"Hankow, Hankou, 汉口",
MASTER_00036,1864,NS 1,"Wylie, A.",travel and general descriptions,"Overland journey from St. Petersburg to Pekin, The",1864,1864,"Pekin, 北京",
MASTER_00037,1864,NS 1,"Henderson, J.",medicine,"Medicine and medical practice of the Chinese, The",1864,1864,,
MASTER_00038,1864,NS 1,"Canny, J. M.",travel and general descriptions,The Sea-board of Russian Manchuria,1864,1864,,
MASTER_00039,1864,NS 1,"Jamieson, R. A.",contemporary history,"Retrospect of events in the north of China, 1861-1864",1864,1864,,
MASTER_00040,1864,NS 1,"Wylie, A.",inscriptions,"Remarks on some impressions from a Lapidary Inscription at Keu - yung - kwan, on the Great Wall near Peking",1864,1864,,n
MASTER_00041,1864,NS 1,Edwards,hydrology,Extracts from a report on the present condition of the sea wall at the head of Hang - chow Bay,1864,1864,,n
MASTER_00042,1864,NS 1,"Wilds, E.",travel and general descriptions,Report on the appearance of the Rugged Islands,1864,1864,,n
MASTER_00043,1864,NS 1,Hollingworth and Piry,meteorology,"Barometric and thermometric observations taken September 1864, with a view to determining the height of Lew Shan",1864,1864,,n
MASTER_00044,1864,NS 1,"Gamble, W.",literature and language,Specimen of a new font of Chinese movable type belonging to the American Presbyterian Mission *,1864,1864,,n
