master_id,source,article_id_a,article_id_b,journal_year_range,journal_year_start,journal_year_end,volume_label,roman_numeral,title,author,author_title,location,contributor_role,section_type,page_start,page_end,page_url,char_count,notes,subjects,parse_flag,confirmed_duplicate,duplicate_flag,duplicate_group,fulltext_path,processed_at,source_file,htid,seq_start,seq_end,note,index_match_count,index_page_raw,duplicate_by_title_author,duplicate_title_author_group,duplicate_title_author_count
MASTER_00001,source_b,,_1858_01,1858,1858,1858,,,INAUGURAL ADDRESS,E. C. BRIDGMAN,REV. D. D.,,author,article,1,16,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=15,37962,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00002,source_b,,_1858_02,1858,1858,1858,,,"ON CYCLONES, OR THE LAW OF STORMS.",F. W. NICOLSON,SIR,,author,article,17,43,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=31,63325,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,meteorology,1,,,,
MASTER_00003,source_b,,_1858_03,1858,1858,1858,,,"COINS OF THE TA-TSING, 大​清 ​OR PRESENT DYNASTY OF CHINA.",A. WYLIE,MR.,,author,article,44,102,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=60,66012,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00004,source_b,,_1858_04,1858,1858,1858,,,CONTRIBUTION TO THE ETHNOLOGY OF EASTERN ASIA.,"MacGowan, D. J.",,,author,article,103,106,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=121,9762,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,ethnology and anthropology,1,,,,
MASTER_00005,source_b,,_1858_05,1858,1858,1858,,,"A BUDDHIST SHASTRA, TRANSLATED FROM THE CHINESE: WITH AN ANALYSIS AND NOTES.",J. EDKINS,REV.,,author,article,107,128,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=125,40137,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00006,source_b,,_1858_06,1858,1858,1858,,,VISIT TO SIMODA AND HAKODADI IN JAPAN.,A. H. FOOTE,CAPT.,,author,article,129,137,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=147,21784,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,travel and general descriptions,1,,,,
MASTER_00007,source_b,,_1858_07,1858,1858,1858,,,RECORD OF OCCURRENCES IN CHINA.,,,,editor,article,138,144,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=156,26948,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00008,source_a,I_1859_01,,1859,1859,1859,I,1,NARRATIVE OF A VISIT TO THE ISLAND OF FORMOSA;,ROBERT SWINHOE,Esq.,H. B. M. CONSULATE Amoy,author,article,12,32,,47720,"Formosa, the old name of Taiwan, 台湾",Geography,OK,,suspected,DG0005,article_texts\I_1859_01.txt,2026-05-25T18:17:33.663403,,,,,,0,,,,
MASTER_00009,source_a,I_1859_02,,1859,1859,1859,I,2,NOTICES OF THE CHARACTER AND WRITINGS OF MEH TSÏ.,JOSEPH EDKINS,"Rev., B.A.",,author,article,33,37,,11626,"MEH TSÏ, mozi, 墨子",Philosophy,OK,,,,article_texts\I_1859_02.txt,2026-05-25T18:17:48.452969,,,,,,0,,,,
MASTER_00010,source_a,I_1859_03,,1859,1859,1859,I,3,CHINESE BIBLIOGRAPHY.,D. J. MACGOWAN,M.D.,NINGPO.,author,article,38,43,,13405,,Bibliography,OK,,,,article_texts\I_1859_03.txt,2026-05-25T18:18:06.396523,,,,,literature and language,1,,,,
MASTER_00011,source_a,I_1859_04,,1859,1859,1859,I,4,ON THE MUSICAL NOTATION OF THE CHINESE.,E. W. SYLE,"The Revd., A.M.",,author,article,44,59,,9383,,Musicology,OK,,,,article_texts\I_1859_04.txt,2026-05-25T18:18:49.868851,,,,,music,1,,,,
MASTER_00012,source_a,I_1859_05,,1859,1859,1859,I,5,LECTURE ON JAPAN.,S. W. WILLIAMS,"L L.D., U. S. A. SEC. OF LEGATION, &c. &c.",U. S. A. SEC. OF LEGATION,author,article,60,90,,75173,,Japanese Studies,OK,,suspected,DG0002,article_texts\I_1859_05.txt,2026-05-25T18:20:24.024241,,,,,travel and general descriptions,1,,,,
MASTER_00013,source_a,I_1859_06,,1859,1859,1859,I,6,ON THE STUDY OF THE NATURAL SCIENCES IN JAPAN.,J. L. C. POMPE VAN MEERDERVOORT,"THR., M.D.",,author,article,91,101,,26621,,History,OK,,suspected,DG0009,article_texts\I_1859_06.txt,2026-05-25T18:20:58.668848,,,,,,0,,,,
MASTER_00014,source_a,I_1859_07,,1859,1859,1859,I,7,MEMORANDUM ON THE PRESENT STATE OF SOME OF THE MAGNETIC ELEMENTS IN CHINA AND PLACES ADJACENT.,C. F. A. SHADWELL,"Capt. C.B., H. M. S. “HIGHFLYER.”",,author,article,102,104,,4527,,Geophysics,OK,,suspected,DG0003,article_texts\I_1859_07.txt,2026-05-25T18:21:07.169384,,,,,,0,,,,
MASTER_00015,source_a,I_1859_08,,1859,1859,1859,I,8,"NOTES ON SOME NEW SPECIES OF BIRDS FOUND
ON THE ISLAND OF FORMOSA.",R. SWINHOE,Esq.,,author,article,105,110,,12972,"Formosa, the old name of Taiwan, 台湾",Ornithology,OK,,,,article_texts\I_1859_08.txt,2026-05-25T18:21:25.531049,,,,,zoology,1,,,,
MASTER_00016,source_a,I_1859_09,,1859,1859,1859,I,9,"SAILING DIRECTIONS FOR THE YANG-TSZE KIANG, FROM WOOSUNG TO HANKOW.",John Ward,"Captain, R.N., H. M. S. “Actæon.”",,author,article,111,126,,35648,"YANG-TSZE KIANG Yangtzi River, 扬子江, 长江；WOOSUNG, wusong, 吴淞; HANKOW, Hankou, 汉口",Geography,OK,,suspected,DG0011,article_texts\I_1859_09.txt,2026-05-25T18:22:14.284245,,,,,,0,,,,
MASTER_00017,source_a,I_1859_10,,1859,1859,1859,I,10,"THERMOMETRICAL OBSERVATIONS, TAKEN DURING A PASSAGE FROM NAGASAKI TO SHANGHAI:",J. FEDOROVITCH,"Capt. of the Russian Steam-ship ""STRELOK.""",,author,article,127,127,,684,,Meteorology,OK,,suspected,DG0018,article_texts\I_1859_10.txt,2026-05-25T18:22:17.132514,,,,,meteorology,1,,,,
MASTER_00018,source_a,I_1859_11,,1859,1859,1859,I,11,"
RECORD OF OCCURRENCES IN CHINA.",the Editorial Committee,,,editor,article,128,136,,21847,,History,OK,,,,article_texts\I_1859_11.txt,2026-05-25T18:22:44.589794,,,,,,0,,,,
MASTER_00034,source_b,,_1860_01,1860,1860,1860,,,THE SMALL CHINESE LARK.,ROBERT SWINHOE,ESQ.,Amoy,author,article,287,292,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=323,12847,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00035,source_b,,_1860_02,1860,1860,1860,,,ON THE BANISHMENT OF CRIMINALS IN CHINA.,"MACGOWAN, D. J.",,,author,article,293,301,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=329,20787,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00036,source_b,,_1860_03,1860,1860,1860,,,COTTON IN CHINA.,D. B. ROBERTSON,ESQ.,SHANGHAI,author,article,302,308,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=338,14712,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,"agriculture, industry and trade",1,,,,
MASTER_00037,source_b,,_1860_04,1860,1860,1860,,,A SKETCH OF THE TAUIST MYTHOLOGY IN ITS MODERN FORM.,JOSEPH EDKINS,REV.,,author,article,309,314,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=345,13514,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00038,source_b,,_1860_05,1860,1860,1860,,,NARRATIVE OF THE AMERICAN EMBASSY TO PEKING.,"WILLIAMS, S. WELLS",,,author,article,315,349,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=351,98698,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00039,source_b,,_1860_06,1860,1860,1860,,,"METEOROLOGICAL TABLES, FROM OBSERVATIONS MADE IN JAPAN.",,,Japan,author,article,350,352,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=386,4825,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,meteorology,1,,,,
MASTER_00030,source_b,,_1860_07,1860,1860,1860,,,A SKETCH OF THE LIFE OF CONFUCIUS.,JOSEPH EDKINS,REV.,,author,article,1,19,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=413,46170,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00031,source_b,,_1860_08,1860,1860,1860,,,"THE ETHICS OF THE CHINESE, WITH SPECIAL REFERENCE TO THE DOCTRINES OF HUMAN NATURE AND SIN.",GRIFFITH JOHN,REV.,,author,article,20,91,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=432,171397,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00032,source_b,,_1860_09,1860,1860,1860,,,"NOTES ON THE MINERAL RESOURCES OF JAPAN, &c.","SHOCK, WM. H.",,,author,article,92,96,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=504,7321,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:24:54,,,,,,0,,,,
MASTER_00033,source_b,,_1860_11,1860,1860,1860,,,"WINDS AND WEATHER AT CHEFOO, During seven months of the year 1859.",,,,unknown,article,97,97,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=509,2110,,,OK,,,,C:\ras_text_analysis\RAS_37_downloaded_txt\v.1-2 1858_60.txt,2026-06-08T09:49:19,,,,,,0,,,,
MASTER_00040,source_a,I_1864_01,,1864,1864,1864,I,1,"NOTES ON THE CITY OF YEDO, THE CAPITAL OF JAPAN.",Rudolph Lixdau,Esq.,,author,article,9,22,,24283,,Geography,OK,,,,article_texts\I_1864_01.txt,2026-05-25T11:08:04.333215,,,,,,0,,,,
MASTER_00041,source_a,I_1864_02,,1864,1864,1864,I,2,NOTES ON SOME OF THE PHYSICAL CAUSES WHICHMODIFY CLIMATE,James Henderson,M.D,,author,article,23,38,,29013,,Climatology,OK,,suspected,DG0007,article_texts\I_1864_02.txt,2026-05-25T11:09:28.607230,,,,,,0,,,,
MASTER_00042,source_a,I_1864_03,,1864,1864,1864,I,3,"NARRATIVE OF AN OVERLAND TRIP, THROUGH HUNAN,FROM CANTON TO HANKOW",W. Dickson,DR.,,author,article,39,52,,24526,,Geography,OK,,suspected,DG0006,article_texts\I_1864_03.txt,2026-05-25T11:10:39.146183,,,,,travel and general descriptions,1,29-42,,,
MASTER_00043,source_a,I_1864_04,,1864,1864,1864,I,4,THE OVERLAND JOUBNEY FROM St. PETERSBURG TO PEKIN,A. Wylie,Esq.,,author,article,53,70,,34223,"Pekin, 北京",Geography,OK,,suspected,DG0016,article_texts\I_1864_04.txt,2026-05-25T17:20:59.918909,,,,,,0,,,,
MASTER_00044,source_a,I_1864_05,,1864,1864,1864,I,5,THU MEDICINE AND MEDICAL PRACTICE OF THE CHINESE.,James Henderson,"M.D., F.R.C.S.E.",,author,article,71,115,,81899,,Medicine,OK,,suspected,DG0019,article_texts\I_1864_05.txt,2026-05-25T17:21:22.652177,,,,,,0,,,,
MASTER_00045,source_a,I_1864_06,,1864,1864,1864,I,6,THE SEA-BOARD OF RUSSIAN MANCHURIA,J.M. Canny,Esq.,,author,article,116,151,,60480,,Geography,OK,,suspected,DG0017,article_texts\I_1864_06.txt,2026-05-25T17:21:43.769435,,,,,travel and general descriptions,1,106-141,,,
