master_id,topic_id,chunk_count
INDEX_00062,1,11
INDEX_00062,23,3
INDEX_00062,2,2
INDEX_00062,4,1
INDEX_00063,3,7
INDEX_00063,21,7
INDEX_00063,23,5
INDEX_00063,2,2
INDEX_00063,6,2
INDEX_00063,20,2
INDEX_00063,1,1
INDEX_00063,4,1
INDEX_00063,18,1
INDEX_00270,1,18
INDEX_00270,2,16
INDEX_00270,3,11
INDEX_00270,31,11
INDEX_00270,26,4
INDEX_00270,10,2
INDEX_00270,4,1
INDEX_00270,16,1
INDEX_00270,29,1
INDEX_00271,11,18
INDEX_00271,31,2
INDEX_00271,1,1
INDEX_00271,3,1
INDEX_00271,6,1
INDEX_00271,7,1
INDEX_00273,6,6
INDEX_00273,8,3
INDEX_00273,2,2
INDEX_00273,4,2
INDEX_00273,14,1
INDEX_00273,24,1
INDEX_00274,12,4
INDEX_00274,4,3
INDEX_00274,24,3
INDEX_00274,17,2
INDEX_00274,21,1
INDEX_00282,14,62
INDEX_00282,13,2
INDEX_00282,19,2
INDEX_00282,5,1
INDEX_00282,8,1
INDEX_00283,17,43
INDEX_00283,18,5
INDEX_00283,2,3
INDEX_00283,11,2
INDEX_00283,31,2
INDEX_00283,0,1
INDEX_00283,16,1
INDEX_00284,7,10
INDEX_00284,2,7
INDEX_00284,6,2
INDEX_00284,26,2
INDEX_00284,12,1
INDEX_00285,0,23
INDEX_00285,3,2
INDEX_00285,18,2
INDEX_00340,9,3
INDEX_00340,2,2
INDEX_00340,21,2
INDEX_00340,4,1
INDEX_00340,7,1
INDEX_00340,10,1
INDEX_00340,23,1
INDEX_00343,7,19
MASTER_00001,9,13
MASTER_00001,12,3
MASTER_00001,2,1
MASTER_00001,20,1
MASTER_00002,6,31
MASTER_00003,17,2
MASTER_00003,8,1
MASTER_00003,11,1
MASTER_00003,19,1
MASTER_00004,25,16
MASTER_00004,1,11
MASTER_00004,15,3
MASTER_00004,10,2
MASTER_00006,1,4
MASTER_00006,3,4
MASTER_00006,0,1
MASTER_00006,28,1
MASTER_00007,10,54
MASTER_00007,12,11
MASTER_00007,26,10
MASTER_00007,3,8
MASTER_00007,31,6
MASTER_00007,6,3
MASTER_00007,23,3
MASTER_00007,1,2
MASTER_00007,7,2
MASTER_00007,19,2
MASTER_00007,0,1
MASTER_00007,4,1
MASTER_00007,11,1
MASTER_00007,14,1
MASTER_00007,16,1
MASTER_00007,24,1
MASTER_00009,32,6
MASTER_00009,12,2
MASTER_00009,13,1
MASTER_00009,24,1
MASTER_00010,20,12
MASTER_00012,1,36
MASTER_00013,10,12
MASTER_00013,3,7
MASTER_00013,27,3
MASTER_00013,1,2
MASTER_00013,25,2
MASTER_00014,3,7
MASTER_00014,5,2
MASTER_00014,1,1
MASTER_00014,4,1
MASTER_00014,14,1
MASTER_00015,3,31
MASTER_00015,1,14
MASTER_00015,2,8
MASTER_00015,12,6
MASTER_00015,6,3
MASTER_00015,0,2
MASTER_00015,17,2
MASTER_00015,18,2
MASTER_00015,19,2
MASTER_00015,28,2
MASTER_00015,4,1
MASTER_00015,11,1
MASTER_00015,15,1
MASTER_00016,1,40
MASTER_00016,0,2
MASTER_00016,3,2
MASTER_00016,19,2
MASTER_00016,21,2
MASTER_00016,28,1
MASTER_00016,29,1
MASTER_00017,0,14
MASTER_00018,0,7
MASTER_00019,17,7
MASTER_00019,2,1
MASTER_00019,3,1
MASTER_00020,0,6
MASTER_00020,11,1
MASTER_00021,5,2
MASTER_00021,15,1
MASTER_00022,21,5
MASTER_00022,4,1
MASTER_00022,9,1
MASTER_00023,3,30
MASTER_00023,1,9
MASTER_00023,2,4
MASTER_00023,4,2
MASTER_00023,6,2
MASTER_00023,14,1
MASTER_00024,28,30
MASTER_00024,2,2
MASTER_00024,18,2
MASTER_00024,16,1
MASTER_00024,19,1
MASTER_00028,9,27
MASTER_00028,1,26
MASTER_00028,0,7
MASTER_00028,20,4
MASTER_00028,21,3
MASTER_00028,27,3
MASTER_00028,3,2
MASTER_00028,11,2
MASTER_00028,2,1
MASTER_00028,4,1
MASTER_00028,5,1
MASTER_00028,10,1
MASTER_00028,14,1
MASTER_00028,16,1
MASTER_00028,17,1
MASTER_00028,26,1
MASTER_00028,28,1
MASTER_00031,20,11
MASTER_00031,2,7
MASTER_00031,21,3
MASTER_00031,9,1
MASTER_00031,18,1
MASTER_00032,1,2
MASTER_00032,5,1
MASTER_00032,25,1
MASTER_00034,15,1
MASTER_00035,2,10
MASTER_00035,1,2
MASTER_00036,15,11
MASTER_00036,25,2
MASTER_00036,29,1
MASTER_00037,1,13
MASTER_00038,1,8
MASTER_00038,11,5
MASTER_00038,3,2
MASTER_00038,6,1
MASTER_00038,8,1
MASTER_00039,9,11
MASTER_00039,0,8
MASTER_00039,10,6
MASTER_00039,16,5
MASTER_00039,27,4
MASTER_00039,7,2
MASTER_00039,2,1
MASTER_00039,13,1
MASTER_00039,20,1
MASTER_00039,23,1
MASTER_00040,1,19
MASTER_00040,28,5
MASTER_00040,3,2
MASTER_00040,0,1
MASTER_00040,2,1
MASTER_00040,5,1
MASTER_00040,15,1
MASTER_00040,19,1
MASTER_00041,4,12
MASTER_00041,3,10
MASTER_00041,2,1
MASTER_00041,9,1
MASTER_00041,17,1
MASTER_00047,1,18
MASTER_00047,0,1
MASTER_00047,15,1
MASTER_00048,1,21
MASTER_00048,26,1
MASTER_00049,0,15
MASTER_00050,3,21
MASTER_00050,8,4
MASTER_00050,19,3
MASTER_00050,25,3
MASTER_00050,6,2
MASTER_00050,15,2
MASTER_00050,12,1
MASTER_00050,17,1
MASTER_00050,26,1
MASTER_00050,28,1
MASTER_00051,0,15
MASTER_00051,1,1
MASTER_00052,2,8
MASTER_00052,1,2
MASTER_00052,19,2
MASTER_00052,28,2
MASTER_00052,18,1
MASTER_00054,2,5
MASTER_00054,8,3
MASTER_00054,19,2
MASTER_00054,32,1
MASTER_00055,3,23
MASTER_00055,4,19
MASTER_00055,1,6
MASTER_00055,17,3
MASTER_00055,8,2
MASTER_00055,11,2
MASTER_00055,25,2
MASTER_00055,27,2
MASTER_00056,2,4
MASTER_00056,0,2
MASTER_00056,1,2
MASTER_00056,21,2
MASTER_00056,11,1
MASTER_00056,18,1
MASTER_00064,2,6
MASTER_00064,10,1
MASTER_00064,17,1
MASTER_00065,1,15
MASTER_00065,2,13
MASTER_00065,0,1
MASTER_00065,7,1
MASTER_00065,20,1
MASTER_00065,27,1
MASTER_00067,1,14
MASTER_00068,0,7
MASTER_00068,10,2
MASTER_00068,14,2
MASTER_00069,4,7
MASTER_00069,3,6
MASTER_00069,21,2
MASTER_00069,2,1
MASTER_00069,7,1
MASTER_00071,3,3
MASTER_00071,1,1
MASTER_00071,10,1
MASTER_00071,12,1
MASTER_00072,22,3
MASTER_00072,5,2
MASTER_00074,1,19
MASTER_00074,2,2
MASTER_00074,3,1
MASTER_00074,29,1
MASTER_00076,1,26
MASTER_00076,0,4
MASTER_00076,2,2
MASTER_00076,3,1
MASTER_00076,4,1
MASTER_00076,11,1
MASTER_00076,12,1
