L1,topic_id,count
Anthropology and Social Customs,0,233
Anthropology and Social Customs,1,79
Anthropology and Social Customs,2,218
Anthropology and Social Customs,3,12
Anthropology and Social Customs,4,90
Anthropology and Social Customs,5,6
Anthropology and Social Customs,6,12
Anthropology and Social Customs,7,32
Anthropology and Social Customs,8,327
Anthropology and Social Customs,9,47
Anthropology and Social Customs,10,44
Anthropology and Social Customs,11,16
Anthropology and Social Customs,12,41
Anthropology and Social Customs,13,36
Anthropology and Social Customs,14,79
Anthropology and Social Customs,16,30
Anthropology and Social Customs,17,53
Anthropology and Social Customs,18,92
Anthropology and Social Customs,19,152
Anthropology and Social Customs,20,12
Anthropology and Social Customs,21,15
Anthropology and Social Customs,22,121
Anthropology and Social Customs,23,6
Anthropology and Social Customs,24,14
Anthropology and Social Customs,25,2
Anthropology and Social Customs,26,44
Anthropology and Social Customs,27,33
Anthropology and Social Customs,28,85
Anthropology and Social Customs,29,7
Anthropology and Social Customs,30,109
Anthropology and Social Customs,32,2
Arts and Archaeology,0,21
Arts and Archaeology,1,21
Arts and Archaeology,2,223
Arts and Archaeology,3,1
Arts and Archaeology,4,87
Arts and Archaeology,5,2
Arts and Archaeology,6,274
Arts and Archaeology,7,224
Arts and Archaeology,8,9
Arts and Archaeology,9,20
Arts and Archaeology,10,21
Arts and Archaeology,11,6
Arts and Archaeology,12,13
Arts and Archaeology,13,160
Arts and Archaeology,14,10
Arts and Archaeology,16,12
Arts and Archaeology,17,2
Arts and Archaeology,18,1
Arts and Archaeology,19,15
Arts and Archaeology,20,8
Arts and Archaeology,21,20
Arts and Archaeology,22,3
Arts and Archaeology,23,1
Arts and Archaeology,24,23
Arts and Archaeology,25,2
Arts and Archaeology,26,11
Arts and Archaeology,27,3
Arts and Archaeology,28,2
Arts and Archaeology,29,1
Arts and Archaeology,31,7
Arts and Archaeology,32,75
"Economy, Trade, and Technology",0,1
"Economy, Trade, and Technology",1,154
"Economy, Trade, and Technology",2,4
"Economy, Trade, and Technology",3,7
"Economy, Trade, and Technology",4,3
"Economy, Trade, and Technology",5,6
"Economy, Trade, and Technology",6,40
"Economy, Trade, and Technology",7,2
"Economy, Trade, and Technology",8,3
"Economy, Trade, and Technology",10,1
"Economy, Trade, and Technology",11,119
"Economy, Trade, and Technology",12,3
"Economy, Trade, and Technology",13,1
"Economy, Trade, and Technology",14,1
"Economy, Trade, and Technology",17,4
"Economy, Trade, and Technology",19,1
"Economy, Trade, and Technology",24,2
"Economy, Trade, and Technology",26,1
"Economy, Trade, and Technology",27,3
"Economy, Trade, and Technology",28,1
"Economy, Trade, and Technology",29,1
"Economy, Trade, and Technology",31,49
Education,1,2
Education,3,7
Education,7,1
Education,9,13
Education,10,12
Education,12,13
Education,20,4
Education,25,2
Education,26,3
Education,27,3
Education,32,4
Geography and Travel,0,92
Geography and Travel,1,605
Geography and Travel,2,287
Geography and Travel,3,117
Geography and Travel,4,74
Geography and Travel,5,2
Geography and Travel,6,9
Geography and Travel,7,78
Geography and Travel,8,67
Geography and Travel,9,33
Geography and Travel,10,75
Geography and Travel,11,47
Geography and Travel,12,25
Geography and Travel,13,2
Geography and Travel,14,10
Geography and Travel,15,4
Geography and Travel,16,55
Geography and Travel,17,6
Geography and Travel,18,9
Geography and Travel,19,30
Geography and Travel,20,15
Geography and Travel,21,26
Geography and Travel,22,2
Geography and Travel,23,25
Geography and Travel,24,17
Geography and Travel,25,3
Geography and Travel,26,17
Geography and Travel,27,7
Geography and Travel,28,53
Geography and Travel,29,12
Geography and Travel,31,49
History and Chronology,0,20
History and Chronology,1,102
History and Chronology,2,67
History and Chronology,3,345
History and Chronology,4,243
History and Chronology,5,1
History and Chronology,6,11
History and Chronology,7,8
History and Chronology,8,84
History and Chronology,9,32
History and Chronology,10,59
History and Chronology,11,17
History and Chronology,12,73
History and Chronology,13,1
History and Chronology,14,56
History and Chronology,15,1
History and Chronology,16,73
History and Chronology,17,21
History and Chronology,18,19
History and Chronology,19,10
History and Chronology,20,30
History and Chronology,21,70
History and Chronology,22,4
History and Chronology,23,9
History and Chronology,24,16
History and Chronology,25,5
History and Chronology,26,30
History and Chronology,27,18
History and Chronology,28,10
History and Chronology,29,8
History and Chronology,30,1
History and Chronology,31,7
History and Chronology,32,5
Literature and Language,0,48
Literature and Language,1,22
Literature and Language,2,56
Literature and Language,3,8
Literature and Language,4,57
Literature and Language,6,4
Literature and Language,7,26
Literature and Language,9,11
Literature and Language,10,67
Literature and Language,11,1
Literature and Language,12,155
