L1,topic_id,count
Anthropology and Social Customs,0,203
Anthropology and Social Customs,1,61
Anthropology and Social Customs,2,209
Anthropology and Social Customs,3,9
Anthropology and Social Customs,4,60
Anthropology and Social Customs,5,6
Anthropology and Social Customs,6,12
Anthropology and Social Customs,7,28
Anthropology and Social Customs,8,44
Anthropology and Social Customs,9,47
Anthropology and Social Customs,10,20
Anthropology and Social Customs,11,15
Anthropology and Social Customs,12,34
Anthropology and Social Customs,13,35
Anthropology and Social Customs,14,75
Anthropology and Social Customs,16,25
Anthropology and Social Customs,17,53
Anthropology and Social Customs,18,89
Anthropology and Social Customs,19,85
Anthropology and Social Customs,20,12
Anthropology and Social Customs,21,15
Anthropology and Social Customs,22,121
Anthropology and Social Customs,23,4
Anthropology and Social Customs,24,9
Anthropology and Social Customs,25,2
Anthropology and Social Customs,26,33
Anthropology and Social Customs,27,33
Anthropology and Social Customs,28,79
Anthropology and Social Customs,29,7
Anthropology and Social Customs,30,108
Anthropology and Social Customs,32,2
Anthropology and Social Customs | Geography and Travel,1,7
Anthropology and Social Customs | Geography and Travel,4,8
Anthropology and Social Customs | Geography and Travel,7,1
Anthropology and Social Customs | Geography and Travel,8,7
Anthropology and Social Customs | Geography and Travel,14,2
Anthropology and Social Customs | Geography and Travel,18,1
Anthropology and Social Customs | Geography and Travel,19,28
Anthropology and Social Customs | Geography and Travel,30,1
Anthropology and Social Customs | Geography and Travel | History and Chronology,0,4
Anthropology and Social Customs | Geography and Travel | History and Chronology,1,3
Anthropology and Social Customs | Geography and Travel | History and Chronology,2,1
Anthropology and Social Customs | Geography and Travel | History and Chronology,3,1
Anthropology and Social Customs | Geography and Travel | History and Chronology,4,16
Anthropology and Social Customs | Geography and Travel | History and Chronology,8,273
Anthropology and Social Customs | Geography and Travel | History and Chronology,12,1
Anthropology and Social Customs | Geography and Travel | History and Chronology,19,1
Anthropology and Social Customs | Geography and Travel | History and Chronology,23,2
Anthropology and Social Customs | Geography and Travel | History and Chronology,26,3
Anthropology and Social Customs | History and Chronology,0,2
Anthropology and Social Customs | History and Chronology,2,2
Anthropology and Social Customs | History and Chronology,3,2
Anthropology and Social Customs | History and Chronology,7,3
Anthropology and Social Customs | History and Chronology,8,3
Anthropology and Social Customs | History and Chronology,10,22
Anthropology and Social Customs | History and Chronology,12,3
Anthropology and Social Customs | History and Chronology,19,34
Anthropology and Social Customs | History and Chronology,26,7
Anthropology and Social Customs | Literature and Language,0,2
Anthropology and Social Customs | Literature and Language,1,8
Anthropology and Social Customs | Literature and Language,4,4
Anthropology and Social Customs | Literature and Language,10,1
Anthropology and Social Customs | Literature and Language,11,1
Anthropology and Social Customs | Literature and Language,12,3
Anthropology and Social Customs | Literature and Language,14,2
Anthropology and Social Customs | Literature and Language,18,2
