decade,topic_id,count
1850s,0,33
1850s,1,119
1850s,2,16
1850s,3,97
1850s,4,7
1850s,5,5
1850s,6,39
1850s,7,2
1850s,8,1
1850s,9,14
1850s,10,68
1850s,11,4
1850s,12,22
1850s,13,1
1850s,14,5
1850s,15,6
1850s,16,2
1850s,17,11
1850s,18,4
1850s,19,8
1850s,20,13
1850s,21,7
1850s,23,3
1850s,24,2
1850s,25,22
1850s,26,10
1850s,27,3
1850s,28,34
1850s,29,1
1850s,31,6
1850s,32,6
1860s,0,102
1860s,1,390
1860s,2,110
1860s,3,128
1860s,4,71
1860s,5,23
1860s,6,7
1860s,7,16
1860s,8,15
1860s,9,64
1860s,10,22
1860s,11,17
1860s,12,6
1860s,13,5
1860s,14,33
1860s,15,20
1860s,16,10
1860s,17,8
1860s,18,6
1860s,19,9
1860s,20,21
1860s,21,42
1860s,22,22
1860s,23,11
1860s,24,11
1860s,25,9
1860s,26,6
1860s,27,11
1860s,28,10
1860s,29,16
1860s,31,90
1860s,32,20
1870s,0,157
1870s,1,180
1870s,2,137
1870s,3,149
1870s,4,121
1870s,5,251
1870s,6,14
1870s,7,1
1870s,8,339
1870s,9,39
1870s,10,61
1870s,11,20
1870s,12,80
1870s,13,28
1870s,14,61
1870s,15,155
1870s,16,31
1870s,17,16
1870s,18,44
1870s,19,15
1870s,20,12
1870s,21,53
1870s,22,6
1870s,23,5
1870s,24,58
1870s,25,82
1870s,26,43
1870s,27,22
1870s,28,37
1870s,29,8
1870s,31,7
1870s,32,32
1880s,0,1102
1880s,1,304
1880s,2,120
1880s,3,75
1880s,4,87
1880s,5,8
1880s,6,154
1880s,7,97
1880s,8,67
1880s,9,36
1880s,10,116
1880s,11,102
1880s,12,78
1880s,13,7
1880s,14,17
1880s,15,2
1880s,16,80
1880s,17,55
1880s,18,27
1880s,19,6
1880s,20,35
1880s,21,18
1880s,22,24
1880s,23,11
1880s,24,17
1880s,26,70
1880s,27,12
1880s,28,17
1880s,29,9
1880s,31,81
1880s,32,8
1890s,0,52
1890s,1,172
1890s,2,50
1890s,3,50
1890s,4,28
1890s,5,2
1890s,6,37
1890s,7,13
1890s,8,36
1890s,9,21
1890s,10,6
1890s,11,110
1890s,12,40
1890s,13,7
1890s,14,126
1890s,16,135
1890s,17,49
1890s,18,74
1890s,19,18
1890s,20,4
1890s,21,36
1890s,22,50
1890s,23,1
1890s,24,7
1890s,26,14
1890s,27,6
1890s,28,17
1890s,29,1
1890s,30,13
1890s,31,22
1890s,32,1
1900s,0,76
1900s,1,86
1900s,2,92
1900s,3,18
1900s,4,55
1900s,5,3
1900s,6,65
1900s,7,3
1900s,8,19
1900s,9,53
1900s,10,9
1900s,11,21
1900s,12,12
1900s,13,1
1900s,14,23
1900s,15,1
1900s,16,5
1900s,17,115
1900s,18,14
1900s,19,51
1900s,20,16
1900s,21,10
1900s,22,27
1900s,23,11
1900s,24,4
1900s,26,2
1900s,27,29
1900s,28,12
1900s,29,2
1900s,30,1
1900s,31,10
1910s,0,194
1910s,1,224
1910s,2,365
1910s,3,225
1910s,4,107
1910s,5,15
1910s,6,39
1910s,7,140
1910s,8,41
1910s,9,142
1910s,10,152
1910s,11,7
1910s,12,65
1910s,13,147
1910s,14,28
1910s,15,3
1910s,16,12
1910s,17,20
1910s,18,10
1910s,19,48
1910s,20,50
1910s,21,49
1910s,22,4
1910s,23,30
1910s,24,17
1910s,25,13
1910s,26,22
1910s,27,7
1910s,28,6
1910s,29,8
1910s,30,1
1910s,31,8
1910s,32,28
1920s,0,361
1920s,1,177
1920s,2,309
1920s,3,108
1920s,4,308
1920s,5,4
1920s,6,25
1920s,7,158
1920s,8,16
1920s,9,196
1920s,10,105
1920s,11,28
1920s,12,62
1920s,13,21
1920s,14,12
1920s,15,6
1920s,16,56
1920s,17,12
1920s,18,41
1920s,19,90
1920s,20,135
1920s,21,82
1920s,23,168
1920s,24,11
1920s,25,2
1920s,26,26
1920s,27,47
1920s,28,26
1920s,29,55
1920s,30,98
1920s,32,18
1930s,0,89
1930s,1,8
1930s,2,20
1930s,3,18
1930s,4,7
1930s,5,4
1930s,7,22
1930s,9,32
1930s,10,22
1930s,11,1
1930s,12,35
1930s,14,19
1930s,15,4
1930s,16,2
1930s,19,29
1930s,20,13
1930s,21,8
1930s,24,5
1930s,25,1
1930s,26,4
1930s,27,8
1930s,29,4
1930s,30,2
1940s,0,23
1940s,1,4
1940s,2,6
1940s,4,1
1940s,8,1
1940s,10,1
1940s,29,2
1940s,31,2
