decade,topic_id,count,article_count,decade_total,topic_total,share_of_decade,share_of_topic,topic_words
1850s,0,33,7,571,2189,0.05779334500875657,0.01507537688442211,"cochin, tab, chinensis, folio, sinensis, var"
1850s,1,119,9,571,1664,0.2084063047285464,0.07151442307692307,"coal, limestone, mile, left bank, right bank, gorge"
1850s,2,16,5,571,1225,0.028021015761821366,0.013061224489795919,"altar, marble, pillars, pagodas, terrace, architecture"
1850s,3,97,8,571,868,0.16987740805604204,0.11175115207373272,"treaty, garnier, tong-king, treaties, commissioners, kweiliang"
1850s,4,7,5,571,792,0.012259194395796848,0.008838383838383838,"kwo, rebels, eldest son, eunuch, an-shih, wang an-shih"
1850s,5,5,2,571,315,0.008756567425569177,0.015873015873015872,"aug, feb, mar, nov dec, jan feb, jan"
1850s,6,39,4,571,380,0.06830122591943957,0.10263157894736842,"mint, obverse, coin, tael, coinage, annam"
1850s,7,2,1,571,452,0.0035026269702276708,0.004424778761061947,"wares, pottery, bronzes, porcelains, painting, chinese art"
1850s,8,1,1,571,535,0.0017513134851138354,0.001869158878504673,"tom, western asia, central western, mohammedan, medieval geography, history central"
1850s,9,14,2,571,597,0.024518388791593695,0.023450586264656615,"destiny, ultimate, taoism, immortality, holy men, immaterial"
1850s,10,68,3,571,562,0.1190893169877408,0.12099644128113879,"road shanghai, honorary, branch asiatic, election, hon, society's"
1850s,11,4,4,571,310,0.0070052539404553416,0.012903225806451613,"great drought, tls, likin, land-tax, taels year, hkiang"
1850s,12,22,4,571,400,0.03852889667250438,0.055,"classifier, tones, shuo, corean, vowels, ideographic"
1850s,13,1,1,571,217,0.0017513134851138354,0.004608294930875576,"chinese musical, musical instruments, holes, diameter, inches long, pipe"
1850s,14,5,3,571,324,0.008756567425569177,0.015432098765432098,"cycle, lunar, solar, eclipses, jupiter, equinox"
1850s,15,6,3,571,197,0.010507880910683012,0.030456852791878174,"temperature, eastern asia, vapour, latitude, spring summer, celsius"
1850s,16,2,2,571,333,0.0035026269702276708,0.006006006006006006,"tai-y, fut, elle, tait, concubine, femme"
1850s,17,11,3,571,286,0.01926444833625219,0.038461538461538464,"chinese law, witchcraft, penalty, law practice, offence, infanticide"
1850s,18,4,2,571,220,0.0070052539404553416,0.01818181818181818,"family law, law chinese, exogamy, patria, marry, contract"
1850s,19,8,5,571,274,0.014010507880910683,0.029197080291970802,"migration, migrations, south america, tibetans, philippines, lamaism"
1850s,20,13,2,571,299,0.02276707530647986,0.043478260869565216,"teachings, chu hsi, meh, chai, human nature, confucianists"
1850s,21,7,2,571,305,0.012259194395796848,0.022950819672131147,"thou, thy, hell, sins, creator, yima"
1850s,23,3,1,571,240,0.005253940455341506,0.0125,"mohammed, prophet, moslem, moslems, islam, koran"
