topic_id,rank,word,weight
0,1,cochin,0.3142083952788027
0,2,tab,0.289149947626984
0,3,chinensis,0.28846286189279613
0,4,folio,0.28105483729754543
0,5,sinensis,0.2751197138852134
0,6,var,0.27415823053807514
0,7,genus,0.2643719285943207
0,8,breadth,0.24409328635145291
0,9,chusan,0.2439076959539718
0,10,infra,0.24374446247421697
1,1,coal,0.26244351864228327
1,2,limestone,0.22690551140750229
1,3,mile,0.2251029512513588
1,4,left bank,0.21800896598023112
1,5,right bank,0.208343047863103
1,6,gorge,0.19878155318051716
1,7,shore,0.19816009603022464
1,8,sandstone,0.19814707274692675
1,9,tide,0.19355636783202743
1,10,navigable,0.18992721110684152
2,1,altar,0.26882300371579154
2,2,marble,0.23368337947273726
2,3,pillars,0.23228597252185362
2,4,pagodas,0.23177919585202172
2,5,terrace,0.22086928933640312
2,6,architecture,0.21006985959220303
2,7,towers,0.20742086626668468
2,8,monuments,0.2073966434606476
2,9,offerings,0.2037832769665962
2,10,coffin,0.2036160380723429
3,1,treaty,0.3458077846546885
3,2,garnier,0.29646417188590735
3,3,tong-king,0.26418773342084273
3,4,treaties,0.2598879983936816
3,5,commissioners,0.2567230850008505
3,6,kweiliang,0.2551269660382186
3,7,mandarins,0.2393527055122483
3,8,negotiations,0.2309398310897422
3,9,americans,0.22758608517630602
3,10,audience,0.22486337030468337
4,1,kwo,0.26024637625556646
4,2,rebels,0.2569568259578702
4,3,eldest son,0.24179270651063992
4,4,eunuch,0.23303293279265444
4,5,an-shih,0.23089610136218885
4,6,wang an-shih,0.22973409403031028
4,7,annam,0.21308222440512395
4,8,rebel,0.21195620409231036
4,9,generals,0.19969310824249425
4,10,defeat,0.19830981655503427
5,1,aug,0.6624249996740736
5,2,feb,0.6546017799218875
5,3,mar,0.653544211950169
5,4,nov dec,0.652512885099491
5,5,jan feb,0.6496841656832102
5,6,jan,0.6474753423168661
5,7,july aug,0.6463405076334666
5,8,aug sept,0.645880659355679
5,9,dec,0.633682987058291
5,10,sept oct,0.6322322829553989
6,1,mint,0.6074285050806365
6,2,obverse,0.5811302053563704
6,3,coin,0.5605042936258936
6,4,tael,0.541217293845873
6,5,coinage,0.4890682916602698
6,6,annam,0.4449288507945474
6,7,minor currency,0.42606186249922573
6,8,annam minor,0.4241099969253257
6,9,dollar,0.4201397442966834
6,10,obverse reverse,0.4043663038446958
7,1,wares,0.4360243500929476
7,2,pottery,0.3412253883756854
7,3,bronzes,0.34110232781784877
7,4,porcelains,0.3356250371920092
7,5,painting,0.3337446810568251
7,6,chinese art,0.32968620623985384
7,7,bronze,0.32757548788016244
7,8,chinese porcelain,0.3194442744395387
7,9,potteries,0.3031577609013029
7,10,artistic,0.29360472747826927
8,1,tom,0.4399683167147907
8,2,western asia,0.3918308761342685
8,3,central western,0.3599871238933867
8,4,mohammedan,0.3525791732745992
8,5,medieval geography,0.351569672971054
8,6,history central,0.35134085130916676
8,7,turkish,0.34995042733816306
8,8,notices medieval,0.3486691834498512
8,9,uigurs,0.3457004036208513
8,10,samarcand,0.3411691196762134
9,1,destiny,0.35766626241209
9,2,ultimate,0.3206969409144425
9,3,taoism,0.3091089891849505
9,4,immortality,0.2619886098439289
9,5,holy men,0.25803692434577286
9,6,immaterial,0.25800235780014824
9,7,plato,0.2560501095674979
9,8,senses,0.2475051348995534
9,9,cosmic,0.24167540519741473
9,10,tse,0.23493928790757604
10,1,road shanghai,0.3133103493756652
10,2,honorary,0.24316103162879912
10,3,branch asiatic,0.22050524404344965
10,4,election,0.205241225867832
10,5,hon,0.20485326336837173
10,6,society's,0.20399586937436784
10,7,s'hai,0.20273280261609827
10,8,robert,0.20100582478534898
10,9,list members,0.1998065782334851
10,10,histories,0.19824467699577986
11,1,great drought,0.5149011695737455
11,2,tls,0.4702923473638071
11,3,likin,0.46155549609281776
11,4,land-tax,0.45780699105386957
11,5,taels year,0.42310406483625346
11,6,hkiang,0.4005713997775017
11,7,catties,0.3745178491757573
11,8,tax,0.35002246821533384
11,9,ch'wan,0.3497317768383572
11,10,revenue,0.34646165645830573
12,1,classifier,0.3794882506935794
12,2,tones,0.36929842269837376
12,3,shuo,0.3296875712020317
12,4,corean,0.30521424560688193
12,5,vowels,0.30518276891811913
12,6,ideographic,0.3038385545710671
12,7,elementary characters,0.3025011795572667
12,8,elementary,0.29900290906208293
12,9,k'ang hsi,0.2985588949561875
12,10,vowel,0.2903192361072993
13,1,chinese musical,0.55199806998903
13,2,musical instruments,0.5500200116340569
13,3,holes,0.545661889846826
13,4,diameter,0.5311880702199822
13,5,inches long,0.5200195146798685
13,6,pipe,0.5192146393928131
13,7,drum,0.5109830930442089
13,8,inches diameter,0.4632235480102517
13,9,pipes,0.43641345944367393
13,10,gong,0.4108030501860559
14,1,cycle,0.4634787215093894
14,2,lunar,0.4319541056423269
14,3,solar,0.4090831504802033
14,4,eclipses,0.387384541852108
14,5,jupiter,0.3690813862354454
14,6,equinox,0.36737582219847664
14,7,solstice,0.36155375799712614
14,8,astronomical,0.34683951897687426
14,9,zodiac,0.34309273843804977
14,10,asterisms,0.3378218224155458
15,1,temperature,0.6590158642693842
15,2,eastern asia,0.5960621761425298
15,3,vapour,0.5670703367085937
15,4,latitude,0.5524447588953335
15,5,spring summer,0.5090026175152307
15,6,celsius,0.5037542498448431
15,7,minimum,0.48429319178257463
15,8,humidity,0.4815666704971441
15,9,hkiang,0.47432102433107326
