model,K,topic_diversity_top10,top_word_exclusivity_proxy,document_topic_concentration,near_empty_topics
nmf,8,0.975,0.9871794871794872,0.5937219058321643,0
lda,8,0.975,0.9871794871794872,0.6282334122552075,0
nmf,10,0.96,0.9791666666666666,0.5746828897952838,0
lda,10,0.97,0.9845360824742269,0.6137612900874675,0
nmf,12,0.9416666666666667,0.9690265486725663,0.5582748318382325,0
lda,12,0.9333333333333333,0.9672619047619049,0.5920416597742914,0
nmf,15,0.9666666666666667,0.9827586206896551,0.5378536836791211,0
lda,15,0.8533333333333334,0.9244791666666667,0.5640434038771703,0
nmf,20,0.95,0.975438596491228,0.5283745307029558,0
lda,20,0.79,0.896097046413502,0.542518442765645,0
nmf,25,0.956,0.9769874476987448,0.5155636655097463,0
lda,25,0.784,0.9034013605442177,0.5325113811559388,0
nmf,30,0.9566666666666667,0.9773519163763066,0.5081660614720199,0
lda,30,0.78,0.8985754985754986,0.5271493676676731,0
