master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,4.270850442915767e-05,0.5929687767339372,0.019294785687370607,0.039553805574425754,4.2709824775856966e-05,0.3421749738393291,4.2700432875047006e-05,4.2708646007942844e-05,0.0026106223745796108,0.0032262083822697948,lda,10,1,0.5929687767339372
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,2.510046497871305e-05,0.15911160127940047,0.4232073408302884,0.329561293028602,2.5097915713430756e-05,0.08796916934594078,2.5096850871482438e-05,2.5099136626469854e-05,2.5098562976141273e-05,2.5102584602229108e-05,lda,10,2,0.4232073408302884
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.6367466289131161,2.3353389473397606e-05,2.3351560851152068e-05,0.10457058873781479,2.3355223744111806e-05,0.051810128795531374,2.3353498679794874e-05,0.20673253531497943,2.3352827601629557e-05,2.335173820835706e-05,lda,10,0,0.6367466289131161
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.03670659497268188,0.49324108877257683,0.061608740167401865,0.08926512695763311,0.00016397605573963646,0.2068684107609217,0.0001639608371413131,0.09853690648935802,0.00016399512218091418,0.0132811998643646,lda,10,1,0.49324108877257683
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,4.2800626894023803e-05,0.7695476744390947,4.2801852813999567e-05,4.2798748525132365e-05,0.006015290576263407,0.0946666368487875,4.28005825321745e-05,0.12951358404108218,4.2804702539981484e-05,4.2807581466835264e-05,lda,10,1,0.7695476744390947
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.035897188041049584,0.5023047582862371,0.1090137653822086,0.35237155072509674,6.87903112695371e-05,6.879657353664199e-05,6.877991569424599e-05,6.878652272033284e-05,6.878917653327233e-05,6.87950656538947e-05,lda,10,1,0.5023047582862371
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,5.8638997929905306e-05,0.4681006349227755,0.06774041304019307,0.06581966026678254,5.863723607913912e-05,0.39569629312508753,5.862172651073156e-05,5.863114369776211e-05,0.002349839242312685,5.8630298631159365e-05,lda,10,1,0.4681006349227755
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.0051207406241629136,0.20205612471013887,0.008075394783365823,0.686025273172784,3.0227874752089713e-05,3.0227059624929584e-05,3.0222587023046264e-05,3.0232935556302853e-05,0.002383966904318257,0.09621758934827372,lda,10,3,0.686025273172784
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0001237898312546227,0.9832302789161733,0.00012378183025727097,0.0001237805400457933,0.00012378066482774032,0.00012379992088741785,0.00012376972739561257,0.015779459063709523,0.00012377996700871092,0.00012377953843984552,lda,10,1,0.9832302789161733
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.07999505593078629,0.15468932196865268,0.00010918244746107694,0.03170955725755991,0.00010919789396923211,0.6358695248891694,0.00010917790147596789,0.09719059519303443,0.0001091903155867875,0.00010919620230427197,lda,10,5,0.6358695248891694
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.2554403153768049,0.3692728508001799,0.004263857047901012,0.03437946059862165,0.03291110686073833,0.3030632707249786,0.00016733015975135867,0.00016727018081764776,0.0001672667451190098,0.00016727150508759312,lda,10,1,0.3692728508001799
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.0546907332524517,0.5928279979010099,0.08131941080999569,0.15874910867373906,2.0773100471084397e-05,0.11230888296576803,2.077113683798288e-05,2.0773070264550094e-05,2.0774508356823814e-05,2.0774581105201872e-05,lda,10,1,0.5928279979010099
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,6.05481865885997e-05,0.5951424870225054,0.03365048368213509,0.003908754403526386,6.054244352861085e-05,0.3669350139885016,6.053582675190483e-05,6.054381287998433e-05,6.0543887611090015e-05,6.054674597130837e-05,lda,10,1,0.5951424870225054
,1859_07.txt,,,1859,1850s,,,en,0.0003611202124978049,0.0003611168756622475,0.5545677600766196,0.17866189008619657,0.0003610659117507068,0.2642428070644866,0.0003610376907484239,0.00036107871219584665,0.00036105547484906295,0.0003610678949930744,lda,10,2,0.5545677600766196
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0001075558714166365,0.00010755888725447432,0.00010754631255660843,0.00010756375402303794,0.0001075464086966451,0.00010755201534608974,0.00010753056132230608,0.00010754609231792437,0.0001075443567538632,0.9990320557403124,lda,10,9,0.9990320557403124
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,3.5938857092933316e-05,3.593928416035933e-05,3.594239070027773e-05,0.9996765566161949,3.593698116828371e-05,3.5938484777406085e-05,3.5933566658723535e-05,3.5937676553672946e-05,3.593654004937455e-05,3.593960264401704e-05,lda,10,3,0.9996765566161949
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,6.749382317533135e-05,0.4137878945392976,0.1367751072367469,0.1335714761931341,0.021610344122816882,0.26454267700781975,6.748341132001827e-05,0.029442544505337117,6.749119178210086e-05,6.748796857034314e-05,lda,10,1,0.4137878945392976
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.2877476959120638,0.38668616993279176,1.8473772442700492e-05,0.1819870600433833,1.847295638005799e-05,1.8474422745853033e-05,1.8472846545585068e-05,0.07555170893202529,1.8474985080266266e-05,0.06793499619654148,lda,10,1,0.38668616993279176
