L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Anthropology and Social Customs,0.057414717675482084,0.3904935934483639,0.0142455159079113,0.1007067773817404,0.03358364571952368,0.14483399047096626,0.0012587308602203717,0.16825087486029652,0.0047389161357329936,0.08447323753976253
Arts and Archaeology,0.17218134723497808,0.248020878818511,0.005018093497563915,0.1148757159934059,0.012947243730876395,0.22910793826567338,0.0011084768323492613,0.15128890236913398,0.00046557271067160125,0.06498583054683646
"Economy, Trade, and Technology",0.271955101816467,0.05431012952962603,0.0043353046740189916,0.20640005454720456,0.01808002724206897,0.25747964900340814,0.08920494852157419,0.09689548703368621,5.347408412614596e-05,0.0012858235478197715
Education,0.013452967305913058,0.5039353146485216,0.01730387728736624,0.0010106426748141798,0.015081576373663776,0.3659552433966925,0.0008474106204119907,0.08064460758583113,0.001719769543423968,4.859056336160855e-05
Geography and Travel,0.017527582985936693,0.2691977896338826,0.021012748688861507,0.3192740094055846,0.025945865660919398,0.1108943128931576,0.06696501407437845,0.12586040689008451,0.010108168374161662,0.03321410139303305
History and Chronology,0.0260986635203774,0.41783827262566564,0.011111429011468749,0.09585463198706909,0.0301980383256501,0.20316445417785894,0.0013730489154249472,0.21048762408545865,0.0005792278104893665,0.0032946095405371545
Literature and Language,0.02212534872815456,0.39947497823594813,0.0024707459423869045,0.058011461232648824,0.030531352289580316,0.23555460869003847,0.0009860889102957207,0.1646533246991764,0.0026878784352877914,0.0835042128364829
Military | Natural Sciences,0.22999606378810386,0.11081968010129158,3.3300595748177396e-05,0.028599860579762822,0.024249133831724067,0.26445406184668435,3.329658454327735e-05,0.32488433622214585,0.003829861169979212,0.013100405280016809
Natural Sciences,0.020872994502433493,0.12360542403168386,0.0750724869067386,0.2352527224986778,0.015143326268458709,0.162227051464538,0.017123792503579743,0.06289368189678306,0.064905006579222,0.22290351334788477
"Politics, Government, and Law",0.2719266617409635,0.4251693564292263,0.0034655930615541423,0.010791873061073971,0.009249785617883711,0.17870700321357472,3.421023766773545e-05,0.09981403208470589,0.0005436550787344425,0.00029782947461550575
Religion and Philosophy,0.005885533407877578,0.6518269296801485,0.0033698472844921287,0.05122540437645162,0.018907397379017876,0.07568803253290936,0.0004623409536129301,0.1844455655582558,0.0005769892514296494,0.007611959575804526
