decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1850s,0.06558175405513571,0.32404427774410016,0.10444687718962874,0.17323368601302327,0.015680403255641868,0.1957111352190939,0.000250203473149494,0.03614828795657201,0.0011549528103488034,0.08374842228330609
1860s,0.023550546514817198,0.29741269676869886,0.03244251830372218,0.29968887368243025,0.005000911934911132,0.11346314960802101,0.06733804915071633,0.09849455338743957,0.006530522836564604,0.05607817781267894
1870s,0.056432251375105574,0.29306099147680537,0.06505164852834075,0.13267422544655877,0.046307217823488483,0.1465242109601775,0.002307562850391632,0.2127885051324341,0.004018901119127545,0.040834485287570305
1880s,0.07768002762773646,0.23081104951091544,0.011467135127792155,0.1765890873799465,0.036883598375931984,0.18823759281394545,0.03579684173383181,0.13887234795189604,0.05432029194984189,0.04934202752816232
1890s,0.12692970540412657,0.360922577049627,0.017390371688514757,0.08021690620884027,0.019021651719118935,0.15045027463339325,0.04072264235623491,0.14916767935100753,0.0049123127830490495,0.05026587880608777
1900s,0.11929724707662163,0.3591253530883786,0.0061257082612798395,0.14426697470661043,0.002036494813509991,0.11291737057148415,0.0005215900214110274,0.15424587799208236,0.045150378857287635,0.05631300461133431
1910s,0.047630754992505464,0.3432234141943634,0.012212587597993076,0.12908416118292584,0.016310552572253167,0.18270627498220549,0.0009810765108771576,0.12342279837892468,0.0022907804237719477,0.1421375991641798
1920s,0.02105085347509228,0.41530717364415154,0.011347676637285115,0.10149937292569114,0.02348897515695106,0.14614975957608323,0.0007168856601255641,0.14963584784482184,0.01616513454990206,0.11463832052989617
1930s,0.001676984776011849,0.39161804271555495,0.023404508077303692,0.043613578893406724,0.016538947232612244,0.314378834633166,0.0011139716295013172,0.12059900228011332,0.0037166121249093335,0.08333951763742048
1940s,0.00716330263491318,0.16460012703849744,6.048293519605465e-05,0.045928005787206794,6.047806488174619e-05,0.014094173245673958,0.448742616568451,0.2680702353876806,0.04374009197096856,0.007540486366530629
