master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,3.558336787628795e-05,0.43006880584571017,3.558392469733136e-05,0.001428631954787151,3.558337837019391e-05,0.24166884054841997,3.558236866916778e-05,3.558327623577731e-05,0.002415630863944158,0.022202298533296583,0.30200229244356225,3.5583494431028795e-05,lda,12,1,0.43006880584571017
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,2.0912596772191975e-05,0.18127869280305078,0.4054734835680304,0.21492770929358884,2.0912218976079666e-05,0.06749475826353545,2.0912278609676646e-05,2.0912338317145626e-05,2.0912411357142843e-05,0.04622822117775789,0.08447166018138456,2.0912868619785368e-05,lda,12,2,0.4054734835680304
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.6605843385562434,0.015332038102511275,1.945724281350694e-05,0.09111512126940124,1.945739399000386e-05,0.10365552984512162,1.945740289142007e-05,0.122437735261733,1.945734273287414e-05,1.9457355215223928e-05,0.006758492957544782,1.9457269801569554e-05,lda,12,0,0.6605843385562434
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.007224447986502574,0.4851277124981226,0.025370012813893356,0.00013661855290272236,0.00013661843461280963,0.04075186813625438,0.0001366148555263539,0.06690548629775056,0.00013661658225484874,0.08862435626602086,0.28531303086261944,0.00013661671353958733,lda,12,1,0.4851277124981226
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,3.565964045778824e-05,0.5847885369775859,3.565978292311834e-05,3.565943855734226e-05,3.566001866785772e-05,3.565983409075497e-05,3.56602828939576e-05,0.07130230826879481,3.565994644288929e-05,3.56597635376703e-05,0.3435882165867728,3.565945927497685e-05,lda,12,1,0.5847885369775859
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,5.731602209459827e-05,5.7315427475300826e-05,0.09088502894073866,0.19708564801227776,5.7314991092926404e-05,0.2029692132560822,5.73136004341451e-05,5.731454897045412e-05,5.731579086607437e-05,0.07369341573637948,0.43496548873166474,5.73149419234406e-05,lda,12,10,0.43496548873166474
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.00275665019041344,0.02285582343470583,0.04009531433257497,0.048528440775845144,4.8848458320402975e-05,0.5454774932104319,4.884776453544855e-05,4.884898963046798e-05,0.002480652695910173,4.884875784558108e-05,0.3309666673810577,0.006643564008728846,lda,12,5,0.5454774932104319
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,2.518488433468886e-05,0.008654780289207999,2.5185001428050048e-05,0.4432907329506997,0.0015506953865123583,0.0027137941251990194,2.5184153957083557e-05,0.0007542139024320391,0.0014531006812613593,0.23326455403644547,0.2928915210814977,0.015351053507024546,lda,12,3,0.4432907329506997
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.00010313900148862235,0.042185632953963645,0.00010313763233412477,0.00010313766909645355,0.00010313687941458553,0.00010313985754809765,0.00010313616139776501,0.00010314080437477891,0.00010313776127764554,0.00010313894452886391,0.9567829850785777,0.00010313725599761579,lda,12,10,0.9567829850785777
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,9.097940387284067e-05,0.021488720273360407,9.09769669205047e-05,0.033830724803370196,9.097784916947293e-05,0.727999405958074,9.09761290147517e-05,0.11064917853850478,9.097792392958726e-05,9.097918037083716e-05,0.1053951236304734,9.097934293940475e-05,lda,12,5,0.727999405958074
