decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
1850s,0.03677848366944905,0.09893870694526383,0.08478401104041158,0.1279906319083219,0.004253229658806693,0.24294885997885027,0.00045694375500146816,0.027789031748291122,0.00025859882751678916,0.0945577567789603,0.2544983161549544,0.026745429534172614
1860s,0.008281175915343674,0.09738670810467788,0.03618964301034667,0.20925828527758297,0.0037388834993640624,0.1340804061800713,0.06562210751053374,0.05953326403382929,0.0038783721312344943,0.11865434459165071,0.24671792598524253,0.016658883760122704
1870s,0.03266894485487536,0.18168379774875384,0.05884288087249347,0.10518367707396867,0.030003175659385248,0.09198520382677697,0.003283294782395545,0.1568115031568157,0.002416139938013796,0.04834230336394293,0.2347505087749542,0.05402856994762428
1880s,0.033172574049953246,0.0973264674559606,0.010638602236308185,0.11677970504741435,0.046133522128198365,0.20251654933137606,0.036619748778089274,0.12412463669508965,0.05198332015195844,0.07984908135717445,0.19342847587688164,0.007427316891595748
1890s,0.04688740905770941,0.21470863615304295,0.01375471945710367,0.05573036780601739,0.011949367406953768,0.15100131016363547,0.041170083091007614,0.09758585011808311,0.00477887725100095,0.09433777054848136,0.26458992144352844,0.0035056875034359205
1900s,0.047237716289831685,0.13791375779019524,0.0038933113907372494,0.1136284938078566,0.0010292283124343454,0.13133293342224245,0.0014522138762799858,0.10771235726822763,0.03669236351832953,0.059751291455455484,0.3150277044250536,0.04432862844335621
1910s,0.045394475849842686,0.16815121069170083,0.008847758564918234,0.10033693693204096,0.013997744106819908,0.12343887534066735,0.0012209826176723874,0.0898781900658071,0.0023640893722839417,0.11315897565952149,0.2599440865564588,0.07326667424226634
1920s,0.01867555087447054,0.17791188629134427,0.006012557558697669,0.0772951408043119,0.029544828015160077,0.09293886848960382,0.0008771236120040742,0.1128455758897974,0.012483662851878683,0.10861361125024988,0.335980059519298,0.026821134843183717
1930s,0.0053964220321013725,0.34454330932745414,0.014920345955510702,0.034207025604620085,0.008264479121411183,0.12405454856447533,0.0010374326924268754,0.09833421848871826,0.0038229645612048425,0.074956822388196,0.2614025466699198,0.02905988459396142
1940s,5.039028217368497e-05,0.05702391182505671,0.00032984474276231285,0.052019828590461344,5.038958580159634e-05,5.039014039047134e-05,0.426124549957726,0.23144530508123834,0.05364415781042484,0.016199686695637126,0.1431167683196623,0.019944776968665315
