master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,2.846577348423355e-05,0.13419889718230332,2.8465793521684596e-05,2.8465776183743295e-05,2.846575517733431e-05,0.31437588564604424,0.030279296648941807,2.8465770549138672e-05,0.002375313846496183,0.01806927113108695,0.1728936492460697,2.8465763904581413e-05,0.32757996021013197,2.846574571109227e-05,2.84657103938933e-05,lda,15,12,0.32757996021013197
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.049419822400433334,0.02485240221287511,0.32279147998707897,1.6729434322929064e-05,1.6729421654210136e-05,0.07915675868726404,0.37443138650551894,1.6729435581158723e-05,1.6729443735888998e-05,0.0518972149989339,0.056005473291248976,1.672943363019847e-05,0.04132835587435044,1.6729442669846117e-05,1.672943070203572e-05,lda,15,6,0.37443138650551894
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,1.5565440813105427e-05,0.46495483216077543,1.5565434811389098e-05,0.28123790942187493,1.5565447274557876e-05,0.04907321450393971,1.556545229533677e-05,1.5565460069689774e-05,1.5565442285706873e-05,1.5565443359123666e-05,1.5565460208291523e-05,0.03582614240606505,1.5565452586991092e-05,0.16875224701913055,1.5565454510090044e-05,lda,15,1,0.46495483216077543
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.2144031931134393,0.3022518096503713,0.012268579797838193,0.0001092899897878447,0.00010928983798393232,0.10776153259764705,0.03411207269052857,0.09081866390707245,0.00010928986375720766,0.01148000540984592,0.22613911377153362,0.00010928982571290394,0.0001092899276753925,0.00010928985827286256,0.00010928975853357462,lda,15,1,0.3022518096503713
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,2.852667506118371e-05,0.03431045189581863,2.8526672487580973e-05,2.852666825021011e-05,0.003985224953037207,0.06929363112346906,2.852666648595518e-05,0.05849454350697121,2.852668333962615e-05,0.0029067263516285974,2.8526660993272586e-05,2.8526653248858382e-05,0.8307526821078767,2.852668356163974e-05,2.852669777030503e-05,lda,15,12,0.8307526821078767
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,4.585066366382279e-05,4.585068313240473e-05,0.018643966599127444,4.585065504587585e-05,4.585064957284479e-05,4.585066670069331e-05,0.24972497799456966,4.58506118653561e-05,4.585082696819382e-05,0.06721358207838882,0.6639131161116525,4.585064511249552e-05,4.585065566263471e-05,4.585061139204646e-05,4.585054714518819e-05,lda,15,10,0.6639131161116525
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,3.907785890992676e-05,0.009820103883317678,0.03522810046646216,3.9077854065039786e-05,3.907782552539182e-05,0.2776530900478829,0.03630985886953089,3.9077857814272704e-05,3.907793969809327e-05,3.9077835729064625e-05,0.6317630062359255,0.008874139790065932,3.907786264377272e-05,3.9077865914113815e-05,3.9077806515329184e-05,lda,15,10,0.6317630062359255
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.08204445022072734,2.0147116264138242e-05,2.014711565744405e-05,2.0147125639313913e-05,2.0147110836979123e-05,2.014710972079105e-05,0.6557208002299079,2.0147129785421826e-05,2.014712151383989e-05,0.09453360270914433,0.16747952856523984,2.0147134720795394e-05,2.0147112975368612e-05,2.0147114574191008e-05,2.0147083292344547e-05,lda,15,6,0.6557208002299079
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,8.250842470834545e-05,8.250842951783843e-05,8.250838806194902e-05,8.250839101863227e-05,8.250832435316151e-05,8.250846283111243e-05,8.250840556142738e-05,8.250843400750732e-05,8.250835302685764e-05,8.250843339197029e-05,0.08758606518852481,8.250834311771897e-05,0.9113413257479677,8.250839523726231e-05,8.250827867368164e-05,lda,15,12,0.9113413257479677
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,7.278038898847442e-05,7.27803977328688e-05,7.278029040515955e-05,0.03561060545460688,7.278032464853632e-05,0.5955659057678983,0.036286907505323866,0.08969014648659643,7.278032800261554e-05,7.278039850297905e-05,0.21711795457445895,7.278043311942821e-05,7.278041583476624e-05,0.025073456977665644,7.278025621518738e-05,lda,15,5,0.5955659057678983
