L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
Anthropology and Social Customs,0.16819269712983645,0.17999024356648177,0.005285471074197947,0.03279250272440376,0.04169227498106367,0.08912477537271923,0.07097648956002459,0.06079325517011692,0.001346361303548981,0.026718538491021623,0.10209357797222406,0.007145264886908282,0.10820998969589397,0.1033238284762623,0.0023147295952964607
Arts and Archaeology,0.04154746893124548,0.09411357008255773,0.0012662367420728563,0.1329708318202967,0.005146945175839382,0.19173509964418858,0.0377932463821212,0.01936291781378829,0.00018900115750548178,0.08525008105930688,0.053600462588137845,0.033591263406690004,0.15536155861439407,0.14697971629903156,0.0010916002828238983
"Economy, Trade, and Technology",0.002553168702622469,0.030341520158351277,0.0007515774353198152,0.011219507996588706,0.00763064091148067,0.14282393358168266,0.3657828230106117,0.03068485565727225,0.000392691811632452,0.006196075083241762,0.12341447227143765,0.09434536049237459,0.01571683032614671,0.08224011359231838,0.08590642896891894
Education,0.0019957791047364986,0.01617959052198337,3.2385685442950475e-05,3.238566412064666e-05,0.004981988431123357,0.39225291750128893,3.238567645382239e-05,0.034919238380718476,3.238565910575691e-05,0.006483680593781309,0.20601378578655288,3.23856332306511e-05,0.28385683516229043,0.05188985172464946,0.0012644044745214337
Geography and Travel,0.05085631277842443,0.026064606585290268,0.010377563867255198,0.06995103202608582,0.023301522602112032,0.0857168967594535,0.26265080597515167,0.04802207533237775,0.006299078404319823,0.03915412728542084,0.1493063546427961,0.0017023649731365746,0.09728757854678584,0.0613648429256834,0.06794483729570674
History and Chronology,0.036499692315581596,0.09574732469084328,0.0035652619094244937,0.028157213753788914,0.013664605042042163,0.13797182889112788,0.06924479480232401,0.10316032063101728,0.00020180994674025944,0.0026023624418212593,0.335585185130795,0.0031886282963888854,0.11891532664378117,0.04933338606067223,0.0021622594436516247
Literature and Language,0.10192147242390928,0.03814784106258994,0.0006437557281604823,0.049382638557444805,0.013427935596796753,0.214967819525843,0.035440147288413715,0.02089352618022705,0.0021514351526015782,0.06964670778018817,0.10805429911827832,0.0023914665908976495,0.20551751813728503,0.13676716108851997,0.0006462757688441817
Military | Natural Sciences,0.042339089115095624,0.05338390516774416,2.2195489350598908e-05,0.006680510838230429,0.01743889730011186,0.18334661352103138,0.07585258736231283,0.18355025191778884,2.2195487080689774e-05,0.013836915190564056,0.16873775832668106,0.015330973099243642,0.0323737060740733,0.20706220564474404,2.2195465947577864e-05
Natural Sciences,0.055870737962218864,0.057561780465161305,0.054017323484284806,0.011400646815079695,0.012440268822987852,0.10840964032945655,0.200422066690971,0.01663000073657969,0.05700610836526197,0.19805387888414988,0.04884272371777055,0.0878677151317562,0.034385243075722764,0.039866316369083526,0.01722554914951538
"Politics, Government, and Law",0.05155672788616464,0.016563070402023396,0.0009097886573348286,0.0011678636077252845,0.0031340672749216587,0.14381185484058479,0.06669756377239736,0.012790360308975735,0.004424443107196231,0.0001418447127734741,0.44236449936230576,0.006967089559759405,0.1480873239050606,0.10117958464084725,0.0002039179619296049
Religion and Philosophy,0.05997179736762774,0.047018029758446774,0.0012427870451965427,0.06805886343935463,0.0035718252537687368,0.0759399777588841,0.024116093825170708,0.03251838752106271,0.000790374547054851,0.0041014497117944195,0.12277342755107888,0.0006863223389896066,0.4976851033378013,0.06082881339852166,0.0006967471452473534
