decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
1850s,0.06681437396596529,0.03929214848498924,0.0582062226591979,0.02701213266063643,0.003401987089344235,0.19791897102575406,0.15012086219383672,0.01902043576940117,0.0008127467956006681,0.0852291157735981,0.20952836770469596,0.007122781182488497,0.11075924230208908,0.024319095582428514,0.0004415168099741304
1860s,0.05036505120406632,0.03723615728830299,0.019796296939987856,0.056226574545628925,0.0032859720985988863,0.0701005258861819,0.22863508913870614,0.04361603090053852,0.0033735219231583362,0.07135686686656385,0.18444532593399124,0.010663283270289502,0.1056595134428045,0.04808210448150398,0.06715768607967704
1870s,0.09881948052230652,0.10995551760808564,0.05282974136816624,0.05903581441170645,0.02661764146179537,0.09306950247266546,0.08945530542966551,0.06938911680635516,0.003771979157610933,0.012375331665894338,0.14238111014210317,0.04777603432272286,0.09963433726111093,0.09171748712473456,0.003171600245076867
1880s,0.03194199325232794,0.03864041753486865,0.006633779933452188,0.0297998240009549,0.04258578587609156,0.16295022385538216,0.16019752000508392,0.06349504841096841,0.04942273681608441,0.0501257878395026,0.13723837477784281,0.009818463645060213,0.0994296209304063,0.08103879673729354,0.03668162638468042
1890s,0.07307100666636135,0.1647752081922956,0.008067317529926836,0.01711997032734183,0.011444558164503817,0.08569814382167755,0.10568851224194604,0.04027436005847508,0.002917244316729395,0.029369477120969777,0.19552024206329707,0.027386681359477895,0.0984070992533389,0.09945708211244438,0.04080309677121448
1900s,0.11913223253132278,0.08521233182995207,0.0007319911364331663,0.03426378255028944,0.0008934935558569084,0.07937798002163053,0.12817572264995564,0.059726699675196816,0.03439436219200669,0.013804233715760835,0.16421082950423463,0.07008721797238182,0.14085527748442345,0.06874312224861305,0.00039072293194214995
1910s,0.08957837490683447,0.0549912334411509,0.006185172172043019,0.07018586582091271,0.008716148456731647,0.15929480265290075,0.08079273315826369,0.025349298971619597,0.000835991490218739,0.10602742094892234,0.06342238638808276,0.05799454164779504,0.1975085826142665,0.07793545076589652,0.001181996564361354
1920s,0.07564830720459519,0.07835031232357086,0.0042057935553719275,0.04971648317292534,0.026874855424451033,0.09831132475655226,0.07329084515497546,0.020226357786401077,0.010220080414717721,0.0900421985626086,0.11539695793703995,0.0211229893001971,0.24219905811081066,0.09355996950308224,0.0008344667927006108
1930s,0.0316938868324261,0.12594174707286165,0.013202481062873481,0.032986676348628244,0.004622476101221742,0.2369248767786137,0.028876463507600977,0.010166924599999834,0.003351178819475545,0.07407238714324187,0.04499047755103123,0.018952186862553375,0.303896648756578,0.06915362972262583,0.0011679588402683848
1940s,0.07649470293298499,4.031051658331863e-05,4.0310544493390234e-05,0.06370542587385475,4.031048768115787e-05,0.03636218791843609,4.0310523134838934e-05,0.20640718132581817,0.0114414303261998,4.031051953351976e-05,0.06176886965836461,0.00362447646601007,0.026380062019539883,0.02871731413113742,0.484896796756228
