master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,2.134927462093669e-05,0.36304507719822393,2.1349274588493045e-05,2.1349274345741225e-05,2.1349274710752483e-05,0.08972053236782865,0.009585137790820401,2.134927460274208e-05,0.0017877546513212583,2.1349274704314443e-05,0.05025136342154473,2.134927510398293e-05,0.3282095646578388,2.1349276128807152e-05,2.1349274205798467e-05,0.13491104261277864,0.022233336002995145,2.1349274480196745e-05,2.134927453422019e-05,2.1349274622617312e-05,lda,20,1,0.36304507719822393
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,1.2547051715001639e-05,0.21965100478304528,0.3422501964805247,1.2547051699105148e-05,1.254705161905846e-05,0.009898126771313147,0.2797957799060981,1.2547051661399483e-05,1.2547051664412415e-05,0.033073680364828516,1.254705175151943e-05,1.2547051738790361e-05,0.03425914610915552,1.2547051662526528e-05,1.2547051561398867e-05,0.08090895391308844,1.2547051779501819e-05,1.2547051679749507e-05,1.2547051688882153e-05,1.254705172490182e-05,lda,20,2,0.3422501964805247
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,1.167406046584751e-05,1.167406050799709e-05,1.1674060412808267e-05,1.1674060403636473e-05,1.1674060371922641e-05,1.1674060500462887e-05,1.1674060498954991e-05,1.1674060533367778e-05,1.1674060366373216e-05,1.1674060443491817e-05,1.1674060470187416e-05,1.1674060422141435e-05,1.167406049012916e-05,1.1674060413928972e-05,1.1674060327733835e-05,1.1674060490958634e-05,0.044517827643570256,0.18563852514317616,0.7696451881856434,1.1674060490281902e-05,lda,20,18,0.7696451881856434
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.12852938404816552,0.42123215658776303,8.196721496369804e-05,8.196721456435657e-05,8.196721491282278e-05,0.0185873631213841,8.196721542622629e-05,0.09416218034049283,8.196721450776902e-05,0.0173225149837375,0.18271603929215918,8.196721456307318e-05,8.196721482892667e-05,8.196721457602972e-05,8.196721378741279e-05,0.02259002738457537,0.10651636016083285,8.196721468050845e-05,0.00744233471864951,8.196721542937683e-05,lda,20,1,0.42123215658776303
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,2.1394951269646922e-05,0.04103840810191926,2.139495120867755e-05,2.1394951515842716e-05,2.13949518447682e-05,0.017739522657077213,2.1394951224124925e-05,0.03730416062340996,2.1394951385228105e-05,2.1394951366324033e-05,2.139495125863275e-05,2.1394951258013758e-05,0.8221658072530579,0.013543935910069138,2.1394951319109648e-05,2.1394951197502178e-05,0.06061343058954883,0.007316600497525311,2.1394951303155664e-05,2.13949512413797e-05,lda,20,12,0.8221658072530579
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.028621598508500143,0.021139788900844638,0.012290473308782983,3.438789696236047e-05,3.438789616833298e-05,3.438789616741953e-05,0.17745315676581838,3.4387896040193305e-05,3.438789629291836e-05,0.04219568443771122,0.03437640852286193,3.438789606950575e-05,3.438789637544708e-05,3.438789615923987e-05,3.438789557691153e-05,0.6834758469052608,3.438789621248999e-05,3.4387895782047525e-05,3.438789604690364e-05,3.438789636625194e-05,lda,20,15,0.6834758469052608
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,2.9308324063876355e-05,0.0924398913093769,0.02675304343945909,2.93083239830046e-05,2.930832385172417e-05,0.12694476003014146,0.008166649617766846,2.9308324269439318e-05,2.930832566296119e-05,2.930832401261993e-05,0.0655051441778303,0.004837353091177653,2.930832429541332e-05,2.9308324049789445e-05,2.930832377580942e-05,0.674972150118805,2.930832431202274e-05,2.9308324271429012e-05,2.9308324529009502e-05,2.930832436593111e-05,lda,20,15,0.674972150118805
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.030818264691431847,1.5110305558113198e-05,1.5110305493442085e-05,1.5110305419705439e-05,1.511030555904656e-05,1.511030545012405e-05,0.7327642166428286,1.5110305604774774e-05,1.5110305522485633e-05,0.0592563351841602,0.08502553819316801,0.019077229499417304,1.5110305514640619e-05,1.5110305579555564e-05,1.5110305274032748e-05,0.07284687151195185,1.5110305499553814e-05,1.5110305458852219e-05,1.511030553140181e-05,1.5110305576464688e-05,lda,20,6,0.7327642166428286
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,6.188118889677027e-05,6.188118934441242e-05,6.188118884641091e-05,6.18811888274689e-05,6.188118879506893e-05,6.188118937587997e-05,6.18811890433891e-05,6.188118921872341e-05,6.188118870348238e-05,6.188118922451494e-05,0.24281628539740097,6.188118873579492e-05,0.7560698532005822,6.188118895707235e-05,6.188118829286487e-05,6.188118931650766e-05,6.188118937733689e-05,6.188118878757357e-05,6.188118905739374e-05,6.188118921610231e-05,lda,20,12,0.7560698532005822
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,5.4585153886089134e-05,0.04515265324669163,5.458515338466055e-05,5.4585153554808456e-05,5.45851537241803e-05,0.5006209808245222,0.007643263601871936,0.07199106600812498,5.458515356606658e-05,5.458515404361401e-05,0.13463323778106487,5.4585153940812876e-05,5.458515434542246e-05,5.458515392930957e-05,5.458515314618438e-05,0.20672755806981305,5.458515430972637e-05,0.032521633467734665,5.458515399544139e-05,5.45851543503784e-05,lda,20,5,0.5006209808245222
