L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Anthropology and Social Customs,0.0843967509831322,0.16690041749591833,0.003394517365086331,0.013166912330576753,0.03440062486197648,0.04911578742154784,0.05978989154545131,0.04594155596425219,0.00022663787770620838,0.009457448612061733,0.11743282633670883,0.004950601842049904,0.07751222299957226,0.0066902703547523845,0.0014872928722018132,0.0354947752685863,0.1140328562583751,0.04388939985593241,0.007210272011879411,0.12450893774223222
Arts and Archaeology,0.012376659495677185,0.09598546430699575,0.0011168007074823525,0.002469237688667795,0.001470622211188023,0.07937961182328115,0.04147181869828568,0.016271889128816643,0.00014704084749008777,0.06107900332750153,0.04639748434866174,0.0033279923480878867,0.1304181644243862,0.0013703912190203623,0.0010065376650033651,0.044744195805009476,0.049693645734418396,0.06937756063303384,0.10966924998645966,0.23222662960053292
"Economy, Trade, and Technology",0.0031169150158719384,0.046008930992128196,0.0009598032394945917,0.00017316719367491235,0.0017153938557268442,0.0654149875262054,0.1853827383123515,0.02812314103978536,2.673199615528428e-05,0.007417596649255945,0.016073753885660964,0.0005411945765796654,0.009290339969080755,0.0018785082711673465,0.0856095542040007,0.39316655912475396,0.007865701604435213,0.08433309004921219,0.04414658151317772,0.018755310981281532
Education,2.4289194731166455e-05,0.17615455971633406,2.4289194807188566e-05,0.0035865836934104093,0.0017976516276075347,0.1479952239289772,2.4289194690999085e-05,0.026607511154189047,2.428919459282034e-05,2.428919473786518e-05,0.004197724131917849,2.4289194550885927e-05,0.3158513575464699,0.0008118584110843013,0.00048673081557153944,0.23799437557052597,0.01937893672717632,0.036089923469621955,0.008605720878674908,0.020296107160328074
Geography and Travel,0.02213412050145619,0.07796206489547326,0.008940041052253418,0.006718276868931405,0.014507766983029314,0.04990960035799817,0.25711636620868583,0.04304168503364403,0.001457657438676047,0.017252429919148642,0.0930377841835325,0.00253424806692901,0.07755854331960141,0.005195309767328589,0.07216041712432911,0.09945397366155252,0.01559788124596677,0.0520077915742149,0.012470906223647979,0.07094313557360091
History and Chronology,0.013318787605616628,0.09015285454068803,0.002022830103189582,0.0008996730113219538,0.0008012509226204209,0.07048132557005277,0.052215882406421985,0.07587721919515271,7.820773220845963e-05,0.0012589684075179424,0.21696738089264084,0.00031473683277842427,0.08118194000731475,0.00217481013225336,0.0017321709964876494,0.19423426011793507,0.10452007382679795,0.043416354686046564,0.027665424536048634,0.020685848476906278
Literature and Language,0.039823660494780116,0.0785953698988611,0.0005498741826195503,0.026262783072227538,0.005747387354717656,0.12682755842995413,0.0426994962837015,0.015035927800101767,0.00022524053215369603,0.05823293177199547,0.1788928302735631,0.0035690457257014974,0.16473845404554588,0.004146490287817335,0.00041731129858452393,0.027992203087317556,0.02741052726000946,0.10874611444204654,0.004127300863095028,0.08595949289520656
Military | Natural Sciences,0.015899520391025757,0.16122256436522636,1.664658261072101e-05,1.664658266981009e-05,0.02607781726015024,0.04568386851950998,1.6646582627423838e-05,0.1259464983538921,1.664658260242735e-05,0.00344203886149131,0.018962875102470682,1.664658265555087e-05,0.01032514612274285,0.00047419099656693784,1.6646582433327797e-05,0.31568869661802895,0.06431212694231382,0.14804851614629783,1.664658266147268e-05,0.0637996142420225
Natural Sciences,0.031319849768944655,0.12180851426699875,0.05337494988846599,0.015281300861083648,0.013487861001890207,0.07226286012557459,0.158636400134047,0.007466829998059787,0.03790247572638937,0.1488330929784254,0.02059249547799039,0.08459445371759698,0.023893732462334585,0.024404936232156844,0.01701685346496964,0.07437823783599991,0.0470792364622697,0.03237103799316542,0.004037020243514957,0.011257861360122193
"Politics, Government, and Law",0.015289896283412737,0.03930730905853064,0.0010827420952220436,0.005467931647840924,0.0003628088545444197,0.07859529863808466,0.004443811620421603,0.011684711811352192,0.0027610186221429015,0.0004530334645213315,0.3343537598662084,0.00026715135313856963,0.15087745227324406,0.002453529406401614,1.7101538802431204e-05,0.23640414654408334,0.02868162544349552,0.07834736592950522,0.0034183246073585622,0.005730980941688868
Religion and Philosophy,0.027928608801939835,0.051815538170433925,0.0008599446054648538,0.003501701686190788,0.000565935847019509,0.03846350412769923,0.027012517228250436,0.024404839879236175,6.369249874010565e-05,0.001887524755729651,0.1926690330275436,0.0008873007617745297,0.41783110426463227,0.002293504908461011,0.0005489084045338808,0.014929489090486782,0.06279927986788837,0.0482331754769941,0.0033625495220204016,0.07994184707496053
