decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
1850s,0.01597292676719257,0.0854128407123678,0.06283409180581911,0.00899642805481929,0.0020638018520968966,0.10729152482117782,0.1285992417829709,0.016643888145644516,0.00011933540698586204,0.0637166385918419,0.06698581250848155,0.02110042399126449,0.10693126191394917,0.0013215107730472973,0.00011933540645376678,0.21724830030122003,0.02747176467609249,0.012709162623088473,0.025888095648430053,0.028573614217056023
1860s,0.02225009051985819,0.08897806635195507,0.016543530262977266,0.0008660117075911265,0.010621530754694328,0.025514336847322176,0.20754461884720854,0.022630290611374934,0.00040788031260033023,0.04609558357649624,0.10650585412235657,0.014677599477168997,0.07826163520919076,0.0073395573364095626,0.06710861848866717,0.13946635310038066,0.04710600443200349,0.03362587094377914,0.005718304080990009,0.05873826301697545
1870s,0.03809082903761184,0.06720220839429539,0.057232420908160504,0.005284095744480288,0.007722872366097272,0.0905403960018748,0.09183485793185729,0.05223777343314347,0.0011351488609227009,0.006477626186093466,0.12488490904842772,0.010424165884965681,0.06610569125756763,0.0053099139007635535,0.0027282753869199315,0.057492312622124224,0.13220588797640542,0.0722209041872265,0.0398609015551744,0.07100880931588797
1880s,0.01210098965514601,0.0770355551816397,0.0060375385295199195,0.008856339917758946,0.03341585542066204,0.10284837364785208,0.12202139591020923,0.05036257562492222,0.03277439179990126,0.03423505516801908,0.09924773500578823,0.0036415386780038403,0.08574625391374054,0.023381085428087655,0.03601960189701719,0.11257605696377673,0.024242006339570524,0.060439781724675484,0.031953756198542155,0.04306411299516719
1890s,0.038826059036221744,0.0974885760494575,0.004799353116672776,0.004069728644612222,0.0010750154764159335,0.040288791042821445,0.057058967942710447,0.028529074347928896,0.0013891208117015113,0.018124337613408013,0.15881229608026706,0.0014575099717572826,0.06811716419504309,0.0040539017759322615,0.042555099118439556,0.1360504162067397,0.13990914307505223,0.044524645893370005,0.04471045220209224,0.0681603473993561
1900s,0.06744495311261187,0.06952189231704231,0.0005109368503827869,0.0005780605740538735,0.009418776512522096,0.03289060928771919,0.10956926062490979,0.04332313958735356,0.023951094548969057,0.007605242077488039,0.1388835640867228,0.0435397696817017,0.11884172962036492,0.01242911429062429,0.0004329455390895526,0.11836719297742314,0.0728409066424954,0.04400391448676957,0.017650907223299855,0.06819598995845623
1910s,0.05125698471009406,0.10604057841316153,0.005799800752226347,0.004059489983123633,0.010304088632524157,0.08242694085626451,0.07222696110637664,0.01950019038037132,0.0003360642007612033,0.06599393738848551,0.07441883244724085,0.061860835406082185,0.1645414340053427,0.0022059494083188987,0.004492288771699855,0.03385456051242354,0.04089812115766176,0.046740228756564015,0.01929068057594736,0.13375203253532994
1920s,0.03223085992198035,0.11974849971786397,0.0030854429693681837,0.022105876006059004,0.01662221727770152,0.04961644125168943,0.06382781550260769,0.017906043040383648,0.005731807412276964,0.07217479097315217,0.15494782363235263,0.01927916027599059,0.19080393937288168,0.005658884281095045,0.0021247711230014685,0.03952187074324825,0.033592178988828575,0.06501664308010188,0.00392268637121538,0.08208224805820159
1930s,0.011949005757433734,0.21865781549504168,0.011926650314355858,0.0065281235116373985,0.0029833929713533798,0.08223128467728927,0.025712683211632226,0.005716804290250264,0.0025357165569697567,0.046528125624727724,0.053787771109374875,0.022377376556084516,0.27653148084529205,0.0026235032662396732,0.0009302178092286103,0.02914132924640038,0.08230551961826306,0.059103768959113546,0.0006215635941035418,0.05780786658520853
1940s,0.030912881593942804,0.06476390658604703,0.0002426206778226507,3.0232821496840413e-05,3.023282167861754e-05,0.00908159252269652,0.012326371061161495,0.19874673396190906,0.011309321024025489,3.023282153962833e-05,0.0821203585020535,0.006921923914248955,3.023282158218679e-05,3.023282152083666e-05,0.4814888378202096,3.0232821610652388e-05,3.02328215526686e-05,0.022702351415911672,3.023282161109138e-05,0.07914123834737875
