L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
Anthropology and Social Customs,0.08264011031378968,0.15433162924632637,0.10705865998340428,0.004021821337021457,2.61663380316035e-05,0.06512156166991888,0.015385048657311884,0.037180578979713275,4.8388468326775755e-05,0.012472755809565157,0.08021531679299296,0.0056185670415685555,0.05584100568909823,0.07022755750999196,0.0012412675920633253,0.03563327714349991,0.056119817750582175,0.05103206997526934,0.01950084339331704,0.060483487492414834,0.0058947038164273826,0.0022179154473315945,0.03248076797583851,0.034364054784005955,0.010842626792188871
Arts and Archaeology,0.011543331500842312,0.06600901831796786,0.020261549277832632,0.004107105341633425,3.7438873311040505e-05,0.116450055439677,0.010947801716108157,0.00908867871907851,0.00011191684593820423,0.07774610476849697,0.035254384330750656,0.0032036635339588,0.10882288049032031,0.13786846630756258,0.0007848520891962315,0.03424426055635245,0.021498905864727812,0.012320389671547022,0.01082063290251342,0.17407767641113145,0.0443137469614489,0.000491853104869433,0.03453563988296159,0.001603230851529133,0.0638564162402441
"Economy, Trade, and Technology",0.0015055701723373932,0.032578452681956575,0.004152496224942136,2.1385596612253344e-05,0.0027034452442968684,0.07802457011773346,0.19871534294782447,0.012411707752482695,2.1385596612152872e-05,0.010100899630804265,0.02168855411688091,2.1385596612924763e-05,0.01208574290483134,0.07558754726284056,0.08238573649781876,0.17695260591464726,2.1385596613186856e-05,0.0070176639167570274,0.007113713508855985,0.008501144551029708,0.1956026259881125,0.0011145179990746958,0.035404898646345724,2.138559661378908e-05,0.036245835937363365
Education,1.9431355381710534e-05,0.028603116234321137,1.943135538135725e-05,1.943135538609574e-05,1.943135537948282e-05,0.31049219577116344,1.9431355380706685e-05,0.013919781067505133,1.9431355381274217e-05,1.9431355381385795e-05,1.943135538167938e-05,1.943135537989021e-05,0.2694137232952507,0.0882848004441265,1.943135538002079e-05,0.2506876379476066,1.9431355380901137e-05,0.0031507043556535915,0.012292386290415458,0.015789315369615826,1.943135538057772e-05,1.943135538088957e-05,0.0019978585750099484,0.0035647328209352787,0.001551140208440449
Geography and Travel,0.011302067968080884,0.043257098364683194,0.08080030457679603,0.0034290249395215393,0.01020408212559316,0.06560468261984988,0.08284479162938727,0.03328997265999082,0.001129855710450627,0.01849802857835737,0.07047423538600667,0.0025617142553547106,0.06253352927619225,0.06051298898987434,0.06445738218624607,0.12713840826840153,0.005802233223990206,0.013588131149246807,0.016306050696802552,0.07392323191552017,0.003231171680947551,0.005918714674268485,0.12422885219355051,0.018036627355407356,0.000926819575480032
History and Chronology,0.015552879897439987,0.06757049411831635,0.021191504640255147,0.0005452830490312585,0.000467865032689006,0.09635741515945752,0.012691582871232348,0.054870885938786966,0.00018675287385650464,0.0017705928967884173,0.18554320168430474,0.0003577900102076258,0.06578678319403043,0.10290077412502754,3.6574670372696535e-05,0.21346332298146026,0.05490852847627114,0.005008532880064302,0.03569749653240829,0.014082087356958345,0.010066807240265265,0.0015346774304313825,0.03288594809973156,0.001261539094271161,0.005260679746341755
Literature and Language,0.008363089349570507,0.04549115510212489,0.08770544732729373,0.04454169777768607,0.0152922702681487,0.16889355998347708,0.0024191326235142663,0.008063657532120704,0.0002559560021883884,0.0368347274714693,0.1353068941973905,0.0029043295319460642,0.13746250379003805,0.09422972913709256,0.00045007520781915547,0.012497732423172172,0.010449615704313872,0.08402367233215192,0.006041136438192003,0.053733470885172115,0.0027046129044357293,0.00043580043006272005,0.03246875084544493,0.00859716068478011,0.0008338220503944983
Military | Natural Sciences,0.012989233927274168,0.08077297156352581,0.022600816130381337,1.3317265828805396e-05,0.0414495295842779,0.03729825634150701,1.331726582892471e-05,0.056034374840622875,0.0016228925272124123,0.0192373722285943,0.0491175612255404,1.3317265828742056e-05,0.009982632190004663,0.32340176824129363,1.331726582717737e-05,0.11602581932934489,0.006154098693125404,0.02454758962616766,1.3317265828730893e-05,0.014710045106167025,0.17560931291473528,1.3317265828124214e-05,0.008339187403596647,1.3317265828856284e-05,1.3317265829222368e-05
Natural Sciences,0.006826721902588744,0.05857697003164964,0.05698766713824235,0.03697421149530802,0.0005203847685323925,0.0841898100045195,0.024200603397335572,0.006584144285826253,0.03411029570059466,0.12572417395354732,0.01661038867767023,0.08941145487456827,0.023095333578869327,0.02686965734137833,0.016578466390276242,0.054059629557319806,0.032268893280763475,0.01887653994402997,0.007687743147530448,0.007180162753674787,0.028564785559436843,0.04405229360638139,0.17157592406282796,0.027078871416519774,0.0013948731306087103
"Politics, Government, and Law",0.024226283334184424,0.030836639701906348,0.013232010055616068,0.0002931741060028955,1.3681230888643226e-05,0.12021688762843652,0.012219872754085134,0.00288045107663846,0.0007089815572010855,0.0010716371201652582,0.31186656921902833,0.0002607350714662122,0.10706155463997445,0.09679796308770205,3.89274482911974e-05,0.08886491112120683,0.015584415379283578,0.013661085710789443,0.0007838636171162723,0.000364650921579039,0.06044607436271068,0.0009824635669573427,0.0028093472257374936,0.0013640481712780715,0.09341377189175415
Religion and Philosophy,0.06226491608222077,0.03600686330871571,0.021167212614877813,0.0003446328573701454,2.3748442626960018e-05,0.06669606138423874,0.006039948506970326,0.01759358982959418,0.00012491981247208579,0.002660520886695055,0.14533276442717055,0.0003386589132991885,0.36367613091007206,0.07120130462122537,0.00027405509792405807,0.02175692547929806,0.05740585468370069,0.011125953823949866,0.017729427375410493,0.07114599479993762,0.0013031378424765475,0.000733929165167827,0.022378825526350236,0.0018176890977827998,0.0008569345104528417
