decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
1850s,0.011534326051943364,0.02862068939856902,0.054518126335527835,0.019636675279310463,9.546832441482396e-05,0.16568151172517834,0.009845909269231406,0.009350769774873582,9.546832441783263e-05,0.02624374621906599,0.04888925634873011,0.039723668275220614,0.09298459584395116,0.028820999734059882,9.546832441503783e-05,0.21374873282404938,0.007367341403997173,0.009996033643039593,0.00746464061644831,0.0211908942729606,0.008409008672662484,0.038685716672885354,0.1430533109673002,0.0018352003111611233,0.012112441386586343
1860s,0.016897173899899913,0.034925523869490105,0.04554030773122629,0.0021911241923883483,0.0007408198870484858,0.04676624890211737,0.04389889059968945,0.0207267003304021,0.00042196480068099925,0.049341539787609946,0.08834976592732334,0.014730278787745603,0.07037336428029188,0.04336755276473064,0.06634753469905266,0.15664344666015234,0.023279237419537094,0.02343206762021318,0.004901142706434895,0.04232057202833194,0.0050998126491898456,0.014039950688702063,0.17371957880975775,0.008795390281250136,0.0031500106767336123
1870s,0.02407367747415504,0.050648020960443456,0.044738360654275666,0.0009309492875354591,3.3023283053814564e-05,0.06624574948506773,0.014191809236771817,0.04119363022679885,0.000716677832752914,0.01149151202124158,0.09252578412508278,0.01649559697823534,0.05415723629027139,0.08135618675449786,0.00068415163476112,0.06244067493097703,0.08521586549513441,0.04463497238183457,0.05726266345677121,0.05530250185925242,0.04049703007092143,0.047838308359749004,0.07931846845986722,0.0056343253747737545,0.022372823365774164
1880s,0.00716521122967335,0.03678577750599168,0.03385776473927334,0.00929358493484464,0.007846269676545628,0.1254284115937529,0.03813549650701055,0.03526830224136922,0.031959141304375126,0.025924715980246454,0.08891210281977184,0.0026732244804742117,0.06926608040452813,0.07529099841397276,0.03451868507663209,0.0820724043030205,0.008783807005270974,0.029076843202762,0.020055098849501417,0.0285961386919937,0.029108141349807354,0.004047005610499773,0.10192103430059482,0.04636147349980633,0.027652286278281212
1890s,0.012077171462622365,0.09130698266279039,0.11643073741660644,0.0007875536787521799,0.007714536764815589,0.04897688792766821,0.04325454952958109,0.020772434436553185,0.0021444708687194127,0.007069796006048221,0.13804782404322571,0.0011811407548686635,0.05746404351662485,0.0599863106979648,0.03541664340911693,0.06388265581268152,0.10643847714146067,0.04339634546514097,0.012608404010618971,0.015676299695851693,0.056273974572834506,0.002394005520185705,0.014827391116572849,0.002543655915931773,0.03932770757276336
1900s,0.045354953374706325,0.06731045601370002,0.07437974947552176,0.0003780208736288623,1.7050777252739297e-05,0.04819591311162256,0.04206788011962849,0.03538703983532718,0.017093409101204243,0.012675632615391254,0.1390128188505402,0.04209846370098145,0.09736491398644516,0.08087484790237733,0.00036511746552192893,0.07662438864977808,0.041407651767847234,0.0076277811938512815,0.0008763114272977464,0.0490914713491506,0.03679395486058625,0.0006764270377556005,0.048594109712195035,0.024529280734232297,0.011202356063456322
1910s,0.046679693959752,0.06643631913911575,0.057086757971325404,0.02128448820346,0.0068855660471168435,0.12478468995887962,0.018408987160326094,0.014193555232947947,0.00013080153338760294,0.06529767927842976,0.05336313587214953,0.058599593550632094,0.1358304030285303,0.07934327960244639,0.0006576469566173943,0.02969242586468192,0.01929186062810334,0.011323228583754126,0.004751873155654247,0.104679928379012,0.0149111445135237,0.00403026893828318,0.04853947375559076,0.008349908606878464,0.005447290079401528
1920s,0.03824325178603529,0.0979806876472496,0.05624256403243711,0.025771619867684923,0.003668697327830218,0.07650556659033952,0.01964251579265607,0.009403927216700128,0.004517106731225856,0.06841939442859683,0.11182297411528079,0.019451131577592335,0.15843981174973976,0.08955478301630741,0.0002578020243778664,0.03816718153027484,0.018075681540718324,0.021349334855239304,0.008818262600061601,0.06286026167610126,0.005266056427975633,0.0027861903295537697,0.03710549526561804,0.023017216609852786,0.0026324852605507246
1930s,0.016935594938195977,0.14333517942962423,0.024177530313263237,0.002283350733692038,0.006149310609241027,0.15606478120828435,0.004286502921781913,0.0050710168608049805,0.0021832371778548886,0.05814002993222992,0.029438776183109246,0.02128542149869742,0.2498790653008667,0.07982738268691371,0.0010142808305842758,0.031767848528393705,0.06154082874044794,0.023218902598448474,0.00551793596577348,0.041056377757559756,0.0037836608129299724,0.011728624945893962,0.01647056058328823,0.002880606048692702,0.001963193393427845
1940s,0.05654645918343963,0.025881214733328068,0.024208779713578182,2.4186256783871966e-05,2.4186256783008026e-05,0.035305783623673204,2.418625678539258e-05,0.19387416213686395,0.009714234491143135,2.4186256785254452e-05,0.044748699162886374,0.00660686250098376,2.4186256785185046e-05,0.023937341934395742,0.48359323393011505,0.010602809559376949,2.4186256784851e-05,0.016523115397186247,2.4186256785098046e-05,0.06158170347036225,2.4186256785659734e-05,2.418625678615594e-05,0.006609551338033066,2.4186256784843648e-05,2.418625678506218e-05
