model,K,topic_id,rank,word,weight
lda,25,0,1,god,569.5018420082671
lda,25,0,2,spirits,560.1949635259101
lda,25,0,3,worship,477.3313861425675
lda,25,0,4,day,388.1469198256712
lda,25,0,5,moon,352.7557595217377
lda,25,0,6,family,346.29091025161114
lda,25,0,7,dead,342.80536729133564
lda,25,0,8,sacrifice,341.65836046276775
lda,25,0,9,name,341.2064501841298
lda,25,0,10,man,314.06546774602543
lda,25,0,11,gods,303.46778247483655
lda,25,0,12,religion,300.1112485216559
lda,25,0,13,heaven,291.37783964172365
lda,25,0,14,called,289.7237627992924
lda,25,0,15,dragon,283.96240783637376
lda,25,0,16,human,266.6203146593586
lda,25,0,17,spirit,259.89160943876516
lda,25,0,18,names,243.81926147804842
lda,25,0,19,people,237.23292547353986
lda,25,0,20,said,231.27799301850015
lda,25,1,1,among,704.2107095189539
lda,25,1,2,northern,590.5055839010348
lda,25,1,3,tungus,577.0383553267575
lda,25,1,4,however,491.9837688630369
lda,25,1,5,even,436.53955447274876
lda,25,1,6,south,422.4632140878135
lda,25,1,7,north,408.1343670683635
lda,25,1,8,country,374.8604129025706
lda,25,1,9,early,365.4408232003219
lda,25,1,10,race,361.5969215270968
lda,25,1,11,history,361.46513486810267
lda,25,1,12,century,360.05728166287145
lda,25,1,13,language,357.73880193050945
lda,25,1,14,form,357.3916334509963
lda,25,1,15,period,331.13993747059465
lda,25,1,16,goldi,325.4058478477759
lda,25,1,17,groups,318.3901574236634
lda,25,1,18,new,313.80192540452856
lda,25,1,19,origin,312.76923144442884
lda,25,1,20,group,310.8226712981644
lda,25,2,1,day,608.9599108273372
lda,25,2,2,man,558.0314989586243
lda,25,2,3,men,545.0661387663263
lda,25,2,4,small,545.0153763335326
lda,25,2,5,little,508.5909887952728
lda,25,2,6,water,497.01120668960283
lda,25,2,7,women,481.3615568609594
lda,25,2,8,old,474.42740125703807
lda,25,2,9,head,451.8831003364737
lda,25,2,10,fish,405.1562766633141
lda,25,2,11,white,382.260242362497
lda,25,2,12,night,366.70677958948295
lda,25,2,13,good,357.02493285886146
lda,25,2,14,large,356.0520169665976
lda,25,2,15,back,347.1131784313499
lda,25,2,16,feet,329.295903845367
lda,25,2,17,people,328.41063838235885
lda,25,2,18,children,319.13788249172245
lda,25,2,19,away,312.9071903710704
lda,25,2,20,round,310.42557846479946
lda,25,3,1,birds,370.0827300327259
lda,25,3,2,seen,320.6036015604115
lda,25,3,3,orn,253.03999999999016
lda,25,3,4,bull,201.45639377301546
lda,25,3,5,form,198.79225386358317
lda,25,3,6,wen,181.57442305544186
lda,25,3,7,shuo,176.35990251171913
lda,25,3,8,soc,175.30043323946546
lda,25,3,9,notes,169.3474428806762
lda,25,3,10,zool,158.03999999995986
lda,25,3,11,fish,145.6664173527729
lda,25,3,12,ibis,145.53949995156492
lda,25,3,13,land,142.33098928808602
lda,25,3,14,species,140.51346377117468
lda,25,3,15,classifier,140.17882726369595
lda,25,3,16,der,139.6527202504225
lda,25,3,17,new,133.7318683604501
lda,25,3,18,pl,128.22858199428526
lda,25,3,19,side,127.24144576865001
lda,25,3,20,und,123.4657321112164
lda,25,4,1,the,1682.0399999999884
lda,25,4,2,of,1205.0399999999827
lda,25,4,3,and,628.0399999999809
lda,25,4,4,in,554.3692784114176
lda,25,4,5,to,550.6018881817291
lda,25,4,6,manchu,392.8849037567503
lda,25,4,7,is,383.8701503615874
lda,25,4,8,de,246.34465394557574
lda,25,4,9,that,219.03999999999127
lda,25,4,10,it,192.03999999995796
lda,25,4,11,as,187.03999999998715
lda,25,4,12,by,165.03999999998854
lda,25,4,13,are,156.85732986818655
lda,25,4,14,with,147.0399999999906
lda,25,4,15,library,140.52813687939673
lda,25,4,16,be,139.03999999994875
lda,25,4,17,vols,138.60335622809842
lda,25,4,18,le,134.58691863819595
lda,25,4,19,for,132.03999999999039
lda,25,4,20,bithe,125.03999999997897
lda,25,5,1,shanghai,1529.374054965251
lda,25,5,2,work,1294.3992648809617
lda,25,5,3,dr,1197.9468167912394
lda,25,5,4,mr,1036.5441666601896
lda,25,5,5,book,827.6272486515844
lda,25,5,6,books,774.1360736680472
lda,25,5,7,society,761.8468597018755
lda,25,5,8,history,611.4299478065449
lda,25,5,9,new,607.4578470768665
lda,25,5,10,given,458.4011055564678
lda,25,5,11,subject,451.0521138225518
lda,25,5,12,works,429.73511007133504
lda,25,5,13,notes,425.9794567518386
lda,25,5,14,peking,410.9568337518417
lda,25,5,15,author,408.09430494918826
lda,25,5,16,general,401.70235252756106
lda,25,5,17,language,383.23280095391937
lda,25,5,18,published,381.27999766583537
lda,25,5,19,written,380.09583041803324
lda,25,5,20,foreign,379.6510676228255
lda,25,6,1,road,1038.9458195640927
lda,25,6,2,river,856.8779449284481
lda,25,6,3,fu,799.5510921254535
lda,25,6,4,cheo,497.27685433183666
lda,25,6,5,route,458.7591111803337
lda,25,6,6,roads,454.30767524433617
lda,25,6,7,city,450.93108415316226
lda,25,6,8,province,448.4871975313735
lda,25,6,9,journey,442.23332706767866
lda,25,6,10,trade,392.56420753866047
lda,25,6,11,shan,388.04813050541566
lda,25,6,12,si,379.2528058055117
lda,25,6,13,ch,364.8112983204125
lda,25,6,14,north,355.0699214279378
lda,25,6,15,large,334.037859813834
lda,25,6,16,ho,310.54617184894994
lda,25,6,17,bridge,304.25937343049014
lda,25,6,18,west,295.15786429934747
lda,25,6,19,canal,287.4381998669221
lda,25,6,20,tai,279.97992291799784
lda,25,7,1,name,1057.095875746862
lda,25,7,2,shi,881.8018114015302
lda,25,7,3,city,749.8658913329042
lda,25,7,4,see,617.2608447257571
lda,25,7,5,mongol,592.2149123445972
lda,25,7,6,khan,584.8306768285104
lda,25,7,7,yuan,578.9855154879963
lda,25,7,8,country,555.2828763533
lda,25,7,9,history,509.71303934781236
lda,25,7,10,ch,506.8022467855411
lda,25,7,11,western,504.2824167143405
lda,25,7,12,mongols,463.4876750025067
lda,25,7,13,polo,440.2399298511193
lda,25,7,14,ancient,437.44026222062
lda,25,7,15,west,429.0989955066827
lda,25,7,16,ta,408.4732252206538
lda,25,7,17,century,406.9786998690992
lda,25,7,18,asia,390.09373945985766
lda,25,7,19,river,389.6082215092951
lda,25,7,20,called,389.0021094021505
lda,25,8,1,lour,2445.025128994631
lda,25,8,2,linn,1904.0423904444463
lda,25,8,3,sin,1862.4156345243514
lda,25,8,4,osb,1259.0399999999745
lda,25,8,5,cochin,1229.4832673093952
lda,25,8,6,canton,1197.3653765081488
lda,25,8,7,fl,935.5094512577062
lda,25,8,8,hgk,862.0399999999797
lda,25,8,9,et,850.6278195545816
lda,25,8,10,tab,822.2030008578542
lda,25,8,11,plant,748.4971924369138
lda,25,8,12,fig,703.4102797953517
lda,25,8,13,plants,678.4730619979101
lda,25,8,14,folio,671.9940323760967
lda,25,8,15,name,671.0513726072969
lda,25,8,16,chinensis,611.9235053527109
lda,25,8,17,foliis,564.039999999946
lda,25,8,18,cult,474.9072754730667
lda,25,8,19,india,461.671172381666
lda,25,8,20,chin,454.30790567816706
lda,25,9,1,flowers,606.1188124059067
lda,25,9,2,leaves,589.3464276277749
lda,25,9,3,porcelain,446.79117933465864
lda,25,9,4,white,433.94538668183196
lda,25,9,5,colour,406.3335732361669
lda,25,9,6,species,377.549010084039
lda,25,9,7,green,369.0103391163734
lda,25,9,8,red,303.34985878735677
lda,25,9,9,coal,290.4622217850517
lda,25,9,10,small,285.31168801842216
lda,25,9,11,short,283.2684621771711
lda,25,9,12,wares,244.75663195353258
lda,25,9,13,specimens,244.44144747639288
lda,25,9,14,large,236.82586245026016
lda,25,9,15,base,228.96453603377375
lda,25,9,16,black,226.89742270966948
lda,25,9,17,though,226.60843028196587
lda,25,9,18,blue,225.17483378537207
lda,25,9,19,mm,223.49726813365376
lda,25,9,20,forms,211.79134482984503
lda,25,10,1,upon,913.349347423057
lda,25,10,2,said,901.7006190358431
lda,25,10,3,people,853.0812529904296
lda,25,10,4,emperor,824.1186543581882
lda,25,10,5,man,807.6753608661289
lda,25,10,6,men,786.6503558148639
lda,25,10,7,shall,748.7896475148236
lda,25,10,8,father,741.4991772568021
lda,25,10,9,son,709.4589406135161
lda,25,10,10,death,698.9459502826383
lda,25,10,11,law,644.3838483363581
lda,25,10,12,life,639.0769717006127
lda,25,10,13,king,572.060111617903
lda,25,10,14,year,505.0979739795765
lda,25,10,15,sent,496.63400421630524
lda,25,10,16,old,485.1952360115039
lda,25,10,17,good,482.92566648203325
lda,25,10,18,family,470.79694855831815
lda,25,10,19,yu,453.09786351759294
lda,25,10,20,could,444.16222071773166
lda,25,11,1,species,606.6669910991186
lda,25,11,2,genus,565.8373154043896
lda,25,11,3,common,487.1558203174865
lda,25,11,4,family,407.29953983335014
lda,25,11,5,peking,363.59836074693305
lda,25,11,6,winter,348.7088903015291
lda,25,11,7,birds,334.81979407460403
lda,25,11,8,swinhoe,333.85505591064015
lda,25,11,9,seen,292.23963122662263
lda,25,11,10,bird,288.7425142372179
lda,25,11,11,north,280.6756442394683
lda,25,11,12,chihli,279.7526762220194
lda,25,11,13,chinkiang,278.3118546830753
lda,25,11,14,styan,266.0539509663696
lda,25,11,15,specimens,256.94190166398346
lda,25,11,16,april,255.57041567992118
lda,25,11,17,summer,255.27208441065162
lda,25,11,18,pall,223.41113285315333
lda,25,11,19,black,220.00794309918646
lda,25,11,20,white,215.45066993221454
lda,25,12,1,man,1438.4348135682887
lda,25,12,2,heaven,1083.3779407812096
lda,25,12,3,nature,1071.182462245217
lda,25,12,4,confucius,1002.2858612196923
lda,25,12,5,people,982.0862129220276
lda,25,12,6,life,979.4348275972544
lda,25,12,7,men,956.967975152758
lda,25,12,8,way,813.4430962816638
lda,25,12,9,things,758.556596059115
lda,25,12,10,mind,758.0260574338942
lda,25,12,11,without,733.026796734451
lda,25,12,12,good,711.5675317130549
lda,25,12,13,said,695.155182390903
lda,25,12,14,world,665.8776477010275
lda,25,12,15,thus,596.393545271818
lda,25,12,16,says,581.8620091923649
lda,25,12,17,tzu,568.7463404378174
lda,25,12,18,art,561.9317762367643
lda,25,12,19,therefore,559.044852950799
lda,25,12,20,principle,558.1138562140911
lda,25,13,1,ch,2677.073761061223
lda,25,13,2,dynasty,1987.3783292271198
lda,25,13,3,shih,1120.9704338169681
lda,25,13,4,wu,1038.8864311062136
lda,25,13,5,emperor,1016.2450447707932
lda,25,13,6,han,974.8509001109812
lda,25,13,7,ang,912.3409932969143
lda,25,13,8,ts,841.6887714561482
lda,25,13,9,period,823.5963345119126
lda,25,13,10,wang,815.3205646908741
lda,25,13,11,fu,786.6461688429962
lda,25,13,12,sung,781.4093096191782
lda,25,13,13,ming,778.9943940990771
lda,25,13,14,yuan,778.4914117328899
lda,25,13,15,ien,722.9016219182654
lda,25,13,16,ing,721.9201348965563
lda,25,13,17,ancient,685.5323747534833
lda,25,13,18,characters,670.2247146513658
lda,25,13,19,yu,655.5979501266597
lda,25,13,20,wen,653.7284070252384
lda,25,14,1,un,1898.344654542874
lda,25,14,2,une,1291.385921226175
lda,25,14,3,on,1126.5571120696652
lda,25,14,4,qu,1093.0403927639275
lda,25,14,5,plus,964.1853847987874
lda,25,14,6,ne,953.4109268487159
lda,25,14,7,se,849.5530592050413
lda,25,14,8,cette,431.8643457824771
lda,25,14,9,chine,392.8872925176628
lda,25,14,10,dont,384.6515959663725
lda,25,14,11,fut,353.6838399668822
lda,25,14,12,aux,347.1953747184869
lda,25,14,13,nom,319.3166832861336
lda,25,14,14,ont,316.6643876998007
lda,25,14,15,deux,309.22369649281603
lda,25,14,16,lui,301.7525837856953
lda,25,14,17,était,291.03999999998035
lda,25,14,18,bien,274.4545932683731
lda,25,14,19,après,271.7302087069543
