L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
Anthropology and Social Customs,0.06118416747177795,0.16735908529942561,0.07805968706221661,0.011528342273763242,0.011786992170172454,0.05124396386295657,0.017584489524689384,0.039184877384767426,3.9452038860940644e-05,0.007567706719953314,0.06563797152374502,0.00498126937289544,0.0493017718501278,0.03164666298417539,0.01442767089399023,0.015579461575113699,0.056740054159051985,0.02528845814622133,0.011560014558287915,0.06785368190739532,0.0019826080018268953,0.026525256619321286,0.016162847798865888,0.03311260939572196,0.007650693687524923,0.0020627603849521863,0.05641097519359601,0.027042920210954197,0.03978633342100639,0.0007072145066426642
Arts and Archaeology,0.010401755020580232,0.08758014709389557,0.014323447107024991,0.0026545938900598394,0.022359341328716566,0.08339205162826459,0.010508381818138242,0.012081800731474286,0.00012796733627578116,0.061037122972944696,0.024394426101958706,0.0035392320207231777,0.062498084226651054,0.09905855811723899,0.07361940069842189,0.046977355052800235,0.02582167836324387,0.03534649237331946,0.009436343848840296,0.15090173532606777,0.02913123872947245,0.020972908761292115,0.018774379643310194,4.527098933132426e-05,0.05924044473302521,0.00031867533213100784,0.008012309176633257,0.02655789596133645,3.119906109040094e-05,0.000855762555737368
"Economy, Trade, and Technology",0.0009077063604589897,0.026638957477216868,0.0036398165965563635,1.78213305079132e-05,0.01662629016531722,0.07007714232526646,0.1638831493433688,0.01956209774354202,1.7821330507904794e-05,0.0015596096606438211,0.02476529969458001,0.0007068453471770958,0.012836381191678946,0.009946101317306277,0.0012922715501213846,0.37616717309164655,0.004043182409684565,0.041575647764858406,0.007169749395744866,0.01699013171984244,0.003546973725041405,0.0275951734869755,0.0025413860367978157,0.0005786447381922358,0.01901453740109597,0.0016083012465401704,1.782133050790913e-05,0.061372166615350394,1.7821330507905374e-05,0.08528397827296379
Education,1.619279614816818e-05,0.07634786094379784,1.61927961481685e-05,0.0026996986815863884,0.09651945700848683,0.20745810396805472,1.6192796148164224e-05,0.01277120116212257,1.6192796148159975e-05,1.619279614817268e-05,0.008875774534630756,1.6192796148159162e-05,0.22152451622748257,0.019993272451880567,0.08641327403534312,0.010063869907545448,0.0014610892156362854,0.005603323953505843,0.008266113128768786,0.003996826897291398,1.6192796148155384e-05,0.2313473797500437,0.002755075486985516,0.0021261774335573575,0.0015826716595023114,1.6192796148164895e-05,1.6192796148166257e-05,1.6192796148166582e-05,1.619279614816188e-05,1.6192796148161564e-05
Geography and Travel,0.017106174869839497,0.04714719978293096,0.04900558241523971,0.004197373358303072,0.021954767506239724,0.063307708268066,0.12186502551797673,0.03418740260593004,0.0009698113566606069,0.01107471693348075,0.0553594914753942,0.0038676874014229408,0.06508542902002339,0.005337600801720376,0.005633963495297906,0.009727643207330853,0.0093271778915362,0.028367597512199978,0.015271631181522718,0.086600399513323,0.0010623064106362124,0.11909418856375575,0.014621832408901471,0.01734626611033517,0.0005081897450204208,0.004554925499583588,0.015247695634809228,0.10080233330745922,0.006235410428104451,0.06513246777695587
History and Chronology,0.015493735238090807,0.08158894074849572,0.013314442554097977,0.0005671763078505236,0.02424840189247281,0.09373532837959263,0.015644855429326067,0.051986565610182285,3.039808377656488e-05,0.0008151232811082754,0.20808875932339804,0.0001370714332214143,0.07431840165819868,0.008854201609609105,0.004896657941226501,0.024863558831613123,0.06839230460746291,0.012636067203504983,0.03431625437115803,0.031063350979167844,0.0030553559036122563,0.17074895279629967,0.008617374217062494,0.0016362032238766723,0.005908535731960542,0.0014421670173321813,0.022393457831206557,0.020907219768219215,0.000158927625734985,0.0001402104011411835
Literature and Language,0.022521004935236854,0.07193107767271284,0.0830534165436811,0.025069373259738754,0.05257394156347625,0.12651414187972831,0.004292184417322789,0.008896951762380062,0.0002274001484870632,0.048599418336476796,0.07418831848336704,0.0067578048628665,0.12752755258168386,0.02291261750994783,0.026723898045305613,0.008255753448009611,0.018166257930334526,0.08812028021933872,0.0030589020200896787,0.10516658456585848,0.0024456334018652034,0.020450448507991624,0.010158889382926958,0.00449136530027263,0.0007257816595000795,0.0006692820969344832,0.0160498161944134,0.019849297826613668,0.00014839035321149744,0.00045421509022779225
Military | Natural Sciences,0.02420850341280859,0.10062578379609538,0.005091032572090369,1.1097721521992912e-05,0.13750335664917998,0.027770946061561917,1.1097721521997865e-05,0.07649518216337313,1.1097721521993894e-05,0.0009671934343530117,0.14262629904217883,0.004811487412620456,0.0002707862799897524,0.09327304950699687,0.0190982950099582,0.2233355666713707,0.03045002297146982,0.05320953367799322,1.1097721521992913e-05,0.004946090355885047,1.1097721521995527e-05,0.023879583369685795,0.012585423922099687,0.004705871296588743,0.0016639579191521827,1.109772152199067e-05,1.1097721521992126e-05,0.012382154980850405,1.1097721521996186e-05,1.109772152198402e-05
Natural Sciences,0.02427439937660824,0.07013224855616244,0.03874681798775353,0.012572004958548391,0.011210358763677335,0.07112796557275894,0.017792721435790446,0.005432676054792607,0.03383188687472261,0.08612640631222772,0.014545160355611738,0.09416450708284595,0.02104287995743892,0.010653905732152903,0.005259546452115349,0.03289096161237667,0.03248551032035497,0.028130331740154595,0.005976963582967319,0.006616291157369476,0.023089950335577137,0.04093497211459199,0.026818296811217928,0.024148506673523955,0.0017160148066029716,0.04278198501916574,0.0025685653905607483,0.19589029009328074,0.002454918924183147,0.01658295594486555
"Politics, Government, and Law",0.014480038127098093,0.03267410023902812,0.0226290226173666,0.0024641244421906845,0.01901547825835205,0.07924717976317194,0.005771293182880409,0.007426028405790117,0.002201441596244176,1.1401025739384778e-05,0.20950457559543234,0.00021516613038223857,0.1057444697017837,0.002452457084358944,0.027426354552783944,0.2717746116758933,0.01759784984581664,0.04693237559428864,0.0021912930001417312,0.006514951807416831,0.0006221075203506775,0.01586364976088569,0.0032137650069922192,0.00023253008305013906,0.0003097465751984238,0.0008853219945827955,0.10073470213106327,0.0018411622302382136,1.1401025739380684e-05,1.1401025739379217e-05
