decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
1850s,0.021317490218792323,0.041249887708383656,0.027488613383016364,0.0015094736515742528,0.019985879605555847,0.13924309573521226,0.017940843993871372,0.00821417859318617,7.955693700739046e-05,0.02151712731606476,0.035528635996094696,0.04824651235879973,0.08010190888489994,0.021088644934779598,0.006019174869531574,0.027805545529029554,0.0076983255888091046,0.0023386796269805766,0.005394241778507134,0.013912342190415726,0.0008668915453396756,0.21486937733731665,0.07222881695526774,0.002170152536733707,0.011847726861158,0.040434818722282787,0.028163849769369323,0.0825649295747418,7.95569370073688e-05,9.372086027090042e-05
1860s,0.027395733365541807,0.04528717094316965,0.024032778551349953,0.000979348654299623,0.014459422532457817,0.0400465538843972,0.05175196406540356,0.01775884666235037,0.0003039534884191645,0.012644299456535436,0.07273299095667025,0.015866198176995125,0.06492884882092965,0.01693683361416821,0.004838078258366721,0.025392755913065,0.02894074209380665,0.013460730454709496,0.004226533221442875,0.05009444329352086,0.0013385613427869308,0.13194563477641882,0.027770088842996647,0.010070886506734137,0.004897271427957794,0.012736840638625263,0.029390735577867148,0.1732646061424818,0.009979935326179997,0.06652721301035204
1870s,0.045194720049120764,0.06165112457891538,0.024952484357574217,0.0027590522092694847,0.022999588717800203,0.0546406966777254,0.02259436197080811,0.04368023638021942,0.0005222917590270757,0.0038445599611390277,0.08067477826065803,0.008444458509541411,0.05320588929643885,0.03082669099484062,0.00701641324276576,0.013555556792907123,0.08880010827919801,0.051208075108208274,0.052094773437035544,0.05736969454768889,0.040226886758488664,0.04996754149022498,0.05069007565277679,0.004706474146672234,0.007025769267168913,0.0448799519553841,0.025502607522182114,0.045332366044060234,0.0047360845749284345,0.0008966874572319758
1880s,0.009092483158994418,0.04810556888247703,0.024547839487670677,0.008061167028599336,0.04303010115362755,0.10554073445461597,0.03591597465131971,0.036315214939555945,0.03181857851974267,0.015326579802747752,0.0753919277063075,0.0021520788032043836,0.0684042981483511,0.011960763870441656,0.012250912732696139,0.06712825425311307,0.015437778289929536,0.03609952880776553,0.015107764541550646,0.03404884928961585,0.0029514956120832957,0.04714510901428935,0.007118357124141292,0.043318129704031594,0.023445006095900132,0.003631000080472183,0.02072302904404739,0.11428189451341766,0.00657649409611783,0.035073086193172856
1890s,0.012630891886615748,0.09730570464465799,0.11500240759756128,0.0023150687520438226,0.013883320366543148,0.03564120157481686,0.03379031275127301,0.023617514346920186,0.005101785133039519,0.005440110851480282,0.10830176379152327,0.00022093711026961157,0.05413640146434594,0.013806751683467313,0.006367349185289861,0.10035064947131467,0.10130729630703816,0.028982351694573333,0.009633155168359872,0.022347505342909624,0.014556867555785285,0.03649503507220551,0.002808654120842952,0.002352936711994471,0.02346546569998176,0.001537630601784282,0.02395667775012332,0.016445012961681778,0.05538488687334094,0.03281435352821624
1900s,0.052753574888247314,0.0709818527639514,0.05179241939612337,0.0004215804113281697,0.012556336650742508,0.03736420729618244,0.062099591314747155,0.03569842161389221,0.01572075341470374,0.004127945847151191,0.11161413441906683,0.0407422516318279,0.10288751335446288,0.019021989277057096,0.005906981211032101,0.11093215152125811,0.04510975416748492,0.019248238131447708,0.00022250079962292995,0.05617830447338766,0.006733670923937306,0.030553201011040185,0.0027686747419143854,0.026454806869829182,0.005343826570788947,0.0006407120915366062,0.0283988394170782,0.03931877832930557,0.004045137133939817,0.0003618503269122241
1910s,0.04190245282718954,0.08468418164523157,0.03317330949100648,0.0025260808729076806,0.024097458400886812,0.09522265064417759,0.023352120665678093,0.013899198833727342,0.0003448333023430896,0.05164363411766485,0.03281346514647083,0.06842682285150663,0.10790334258103368,0.045074311696333406,0.04293958148420515,0.014042822281408072,0.021111629045583995,0.024703887425779683,0.0030295315512710182,0.10588535769972221,0.012269953114784607,0.029921612214999907,0.006309881084882946,0.0070332359547891354,0.005047114724823434,0.00443200460022135,0.04090307271863368,0.05007978060796067,0.006424522147309989,0.0008021502674666058
1920s,0.01646683641101312,0.11047408221413405,0.04644558976168724,0.0204468939723833,0.01793638075902899,0.061569013492460876,0.01961828544361749,0.011148473872665019,0.004493307843473058,0.06241582874404258,0.07823715827702865,0.019669457393100505,0.12987070467037112,0.016670238420721503,0.03979025181745802,0.016060339495959666,0.015088686962661533,0.04437849564542425,0.004500535775499595,0.09362621828670743,0.00215372779818759,0.03048265263923648,0.005582838579606846,0.018861290151649016,0.001175299365363037,0.0022981589087982947,0.06466692476495857,0.043593070831459024,0.0019073468217705595,0.00037191087953261247
1930s,0.006314577645094206,0.20031787546028534,0.017099251173699318,0.00555756216801379,0.04719644920202195,0.08979329880039061,0.0074036501096457034,0.0011640301213087505,0.0017658229594570754,0.04337127791252789,0.03208533593750481,0.0217007711791324,0.21480706270384475,0.006641628552868575,0.05149003373521272,0.006431820003474039,0.052877304525099915,0.03704152015756782,0.002494071255362772,0.05818458744237815,0.004659459615022946,0.02104764561734808,0.0011385929883737272,0.0026029223208286845,0.0011634078851802236,0.011763539095191457,0.03035236773195714,0.022715378841973194,3.359772908543002e-05,0.0007851571301485797
1940s,0.033832809337088536,0.03555703830742503,0.011687571757524327,2.015521398437536e-05,2.0155213984382845e-05,0.02815181248667181,2.015521398438674e-05,0.19305560411384529,0.014547562813509397,2.0155213984383956e-05,0.017995805255163973,0.025536631683927134,0.011534546695513773,2.015521398438479e-05,0.018530953834292777,2.0155213984387256e-05,2.0155213984381083e-05,0.022550958865221897,2.0155213984384817e-05,0.09210881996422253,0.0008928074134892381,0.01972797460149721,2.015521398437979e-05,2.01552139843866e-05,2.0155213984387832e-05,2.0155213984390543e-05,0.025880860661599704,0.007711631950608638,2.015521398438091e-05,0.4404345924766017
