L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Anthropology and Social Customs,0.07847630999588535,0.5036547375097414,0.033159015647947175,0.0648550587874245,0.14908623568560647,0.1321294488233542,0.02591891723868285,0.012720276311358084
Arts and Archaeology,0.18414991866907657,0.31054974377025363,0.014780056771643816,0.033168418438552144,0.17160801339548168,0.25587101960063297,0.028650553707429586,0.0012222756469296105
"Economy, Trade, and Technology",0.4608016721276302,0.06909144423924639,0.01647145517847817,0.0013273963290558058,0.09035996307487365,0.13804246704094683,0.2233123747461915,0.000593227263577519
Education,0.037058138774598945,0.41992129814197476,0.026431665129684652,0.0014920160699434803,0.41445981320211556,0.10051547523647823,6.079389236595262e-05,6.07995528384601e-05
Geography and Travel,0.07712193456747131,0.36765289964478953,0.06328361212319608,0.043308652762567,0.09578369449628857,0.12632288048200918,0.2172674349844949,0.009258890939183452
History and Chronology,0.12414018651599161,0.498591366131011,0.03607429380178765,0.002456480722080906,0.1589243457195689,0.14897072607946285,0.021328975745856356,0.009513625284240714
Literature and Language,0.029898507553245496,0.43851911345478434,0.013717662833152365,0.06954366023987457,0.24183586231694779,0.19122597038839556,0.013096210832327555,0.002163012381272296
Military | Natural Sciences,0.3488432579046952,0.1905347722871002,4.167615530169143e-05,0.01033003484218636,0.12029107035491768,0.32478416715981606,4.166764229741551e-05,0.005133353653685477
Natural Sciences,0.08286899360980322,0.18076312332908703,0.16055444690408704,0.22401844380355215,0.10903742351919117,0.08357190350777856,0.12516407445971794,0.0340215908667829
"Politics, Government, and Law",0.38903729244485236,0.3811417841605434,0.004912378043668821,0.0001254235469158964,0.10567344713104197,0.11447784722772981,0.0007533605998960852,0.003878466845351699
Religion and Philosophy,0.009006374792471275,0.7013719929173795,0.00848210158207638,0.0045271335086753545,0.09150123592947944,0.16774588406187213,0.01386419412570227,0.0035010830823435923
