decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
1850s,0.13293501139094555,0.3458535538753172,0.16542480257349393,0.07095857356304502,0.17684739690993706,0.03861673077197211,0.06856113751084084,0.0008027934044483307
1860s,0.11473140690759091,0.3885809082424593,0.08472138907833751,0.05220565588326794,0.06398624108502166,0.08408986804624342,0.20873011245015238,0.0029544183069269278
1870s,0.08451741007944544,0.37125111656807397,0.08888623102512165,0.04095455296532093,0.1358074920923885,0.20786728336541802,0.054365325200703855,0.01635058870352767
1880s,0.14988910027961605,0.28335440927366623,0.047675205397216786,0.07067328697920526,0.15959008271364694,0.13783559560539074,0.11285846468338284,0.03812385506787509
1890s,0.19469762364546764,0.424966157416285,0.04059715942339938,0.014266028617735505,0.11611448564622692,0.1294704100932417,0.0747654719436786,0.005122663213965224
1900s,0.1738240337169277,0.4501097275563587,0.018142987715231977,0.08694969924684963,0.05940272619507892,0.12982887138782867,0.06170402306554305,0.020037931116181355
1910s,0.06583985301756402,0.40727830272668475,0.049191684071515085,0.11917738458610695,0.16435536527864522,0.1543397982000475,0.036400918225333145,0.0034166938941033787
1920s,0.04265863930573097,0.4800035308133652,0.03657564864694916,0.1052305752067614,0.1293304520669083,0.16611487866791455,0.03313058014813865,0.00695569514423174
1930s,0.018532240974736092,0.4186658310668056,0.043342001963290966,0.06215202626602039,0.2896446076773143,0.1593484975724446,0.006888305663119872,0.001426488816268199
1940s,0.002878755110066127,0.24703287758328546,0.006192309186500427,0.039920141750497816,0.023677369672901245,0.19245639081784185,0.4585964715084755,0.029245684370431596
