master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.023877533932004466,0.03999703991482608,0.2388221332455717,0.0,0.013193744394612631,0.0,0.17211996027958693,0.23937182154247838,0.0,0.27261776669091986,nmf,10,9,0.27261776669091986
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.0,0.4739892621868191,0.032261245510621483,0.0,0.0807558650681971,0.002853460637764982,0.04679095471808317,0.2817774424819646,0.0,0.08157176939654955,nmf,10,1,0.4739892621868191
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.0,0.0,0.13795935690322397,0.0,0.02969007585109948,0.01839957169058252,0.0,0.8139509955550941,0.0,nmf,10,8,0.8139509955550941
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.15373390054607733,0.047230564116535985,0.05282714712745872,0.0,0.013664211658679452,0.0,0.43526683048725623,0.22777492623583198,0.06950241982816022,0.0,nmf,10,6,0.43526683048725623
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.06914972601661931,0.0004876483271005191,0.027838678090326897,0.015931689251954494,0.1640845179143213,0.0,0.0,0.7225077403996776,nmf,10,9,0.7225077403996776
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.11523767732904044,0.14427934576554488,0.0,0.0,0.009590066059799668,0.0,0.0,0.7308929108456149,0.0,0.0,nmf,10,7,0.7308929108456149
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.0,0.1448729818072991,0.0,0.0,0.0,0.0,0.8467896437723403,0.0,0.008337374420360606,nmf,10,7,0.8467896437723403
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.23059492026496792,0.5704009358198752,0.0,0.0,0.06782396198469497,0.0,0.0,0.1311801819304619,0.0,0.0,nmf,10,1,0.5704009358198752
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.0,0.0021855655393730345,0.0,0.0,0.0,0.9978144344606269,nmf,10,9,0.9978144344606269
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.02923984606321156,0.02417247780219497,0.7529159767446952,0.06379212457019476,0.0,0.0,0.0,0.06547551651026742,0.06440405830943617,0.0,nmf,10,2,0.7529159767446952
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.08997903506030809,0.0425478533554873,0.448595854207011,0.0,0.05891753093748783,0.032898786479630446,0.11227248249344247,0.0,0.04806661772323757,0.16672183974339524,nmf,10,2,0.448595854207011
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.07903043470915785,0.01782819252532282,0.0,0.0,0.050052120314604015,0.0,0.03612596261075525,0.7041870131361282,0.07181768169740792,0.04095859500662402,nmf,10,7,0.7041870131361282
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.14642596458123042,0.0,0.0037526470870234223,0.0,0.0,0.6199291531731118,0.0,0.22989223515863422,nmf,10,7,0.6199291531731118
,1859_07.txt,,,1859,1850s,,,en,0.0,0.3127416044611415,0.3032897624782279,0.0,0.024864237478481394,0.0,0.0,0.359104395582149,0.0,0.0,nmf,10,7,0.359104395582149
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.022731743927657835,0.0006234646399049227,0.0,0.0,0.9766447914324373,0.0,0.0,0.0,0.0,0.0,nmf,10,4,0.9766447914324373
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,10,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0045616563418035645,0.01825702758880884,0.9771813160693875,0.0,0.0,nmf,10,7,0.9771813160693875
