L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Anthropology and Social Customs,0.22265213114837082,0.07309309783891271,0.10855641917733981,0.09672139416928202,0.08603662120052147,0.013043881728709886,0.23176155248092886,0.058462236319722694,0.040988085618955054,0.06868458031725672
Arts and Archaeology,0.08609778291385657,0.07683021928263596,0.17811924005614901,0.16214929626876254,0.06723260342983671,0.008798864586600846,0.09521004991074569,0.014467964841868571,0.18310654851377167,0.12798743019577247
"Economy, Trade, and Technology",0.01309586925881126,0.1458656806916631,0.09212476833151913,0.0935074953013539,0.0011869638835088796,0.10052093371578312,0.009196029177225616,0.09196543853517446,0.4456562827837187,0.006880538321241851
Education,0.0,0.0,0.20065195575396053,0.053103884552504275,0.006290154727458129,0.009612981548137806,0.06131078260802422,0.3131420701198259,0.00962975677225838,0.34625841391783063
Geography and Travel,0.10443136454740162,0.2573855280449785,0.09301509124184697,0.12010564625676498,0.041293383008961376,0.09053720041218358,0.04992630477088488,0.14583995908248581,0.030648954782011285,0.06681656785248105
History and Chronology,0.08512673352101767,0.04560569864303813,0.12145766226367656,0.14005738421030559,0.0020886580876869477,0.016420915454509095,0.17995786552248708,0.30884783025022544,0.023067429529952548,0.07736982251710096
Literature and Language,0.17163950410365858,0.04964048164034687,0.24679761831764216,0.18365613676656678,0.09204783033985575,0.009870082071771084,0.06583951953917412,0.02939763016402002,0.015883520339160486,0.13522767671780414
Military | Natural Sciences,0.01776218140130988,0.009043745250684233,0.13759857109740592,0.2512194423650281,0.040483509884635505,0.0,0.14404309784903063,0.10290488958005925,0.2729596075435958,0.023984955028250828
Natural Sciences,0.0379010328277015,0.2482260806649516,0.1192348821957407,0.04435537630964688,0.27431031612614604,0.02786264443632859,0.08080056143315383,0.09110284332915813,0.049302400555975553,0.02690386212119718
"Politics, Government, and Law",0.2415079525623851,0.0025643763343438666,0.12217434814773476,0.1285992587057968,0.0,0.005483687948888808,0.028051253299160014,0.12970136940277344,0.1863623087170027,0.15555544488191456
Religion and Philosophy,0.16807134791403705,0.042015838735721046,0.07452318173113263,0.1307306686850686,0.007788524100361889,0.007511861194474512,0.10040995843090447,0.051023452673399465,0.004332208781566311,0.41359295775333405
