decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1850s,0.06965525306326416,0.13980944554491015,0.1766431104043566,0.018690799477371102,0.09694069304666247,0.004912329500163976,0.04013019617438212,0.27682403236672926,0.05815630914789568,0.11823783127426449
1860s,0.0897959986956654,0.25273846843389297,0.052814050843828245,0.06407718673877366,0.0601056886693176,0.0724019282290124,0.07855593273095593,0.19737389048177115,0.04405800250213963,0.08807885267464309
1870s,0.11697881675777662,0.11269342993777826,0.14000936317863574,0.14092236054726523,0.0770082011129085,0.029540017798404025,0.1827129252498862,0.11210496222916226,0.034923674870087275,0.05310624831809593
1880s,0.07302497887575596,0.14576594514399896,0.17240874687596766,0.10263484266796233,0.09313003362270623,0.05407275404105532,0.08801508765020749,0.09392609172512908,0.10376652661118341,0.07325499278603356
1890s,0.16683330542992125,0.05776422909006542,0.08080484978573618,0.08839676669714629,0.0403624808006404,0.05825217380558052,0.19320435022447704,0.07753782979907103,0.1665232932728956,0.07032072109446627
1900s,0.16057319643534818,0.115427900920317,0.06313773969609719,0.10377603058986805,0.08961213164609506,0.00276591847839848,0.1403850429391604,0.09128948617551247,0.11761047939487393,0.11542207372432928
1910s,0.1396793274727038,0.11441287442413159,0.16624125038448895,0.11288053271799603,0.13570596702818094,0.0109772916995772,0.08204174497682108,0.044135514763734986,0.04167273762194984,0.1522527589104156
1920s,0.1412831982672991,0.09343176669777375,0.10686041283379534,0.15822588724590078,0.12182612885946055,0.01033369486943329,0.09131372614880297,0.06728957786413466,0.022772522919786504,0.18666308429361306
1930s,0.062220713191966794,0.045917995731240856,0.16846834902400262,0.10367952948283071,0.08894306577119641,0.009439263827406567,0.16963274505110026,0.07268187756195368,0.025778923841180548,0.2532375365171216
1940s,0.09368288946437814,0.06470789542490582,0.03841223525406486,0.18042003465284953,0.009404652966112209,0.5042490801970372,0.0568273682683897,0.05229584377226261,0.0,0.0
