L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
Anthropology and Social Customs,0.1965615723576754,0.0675835320854272,0.09345171912334284,0.08911194757711839,0.058474285534435545,0.010371758465402977,0.2177556109196239,0.05310667571740885,0.03608221919669206,0.060153306060568554,0.06739892979508352,0.04994844316722078
Arts and Archaeology,0.05910255699689543,0.06216095363080295,0.09598867495384829,0.13136563574809185,0.03014626688661309,0.008526068364577451,0.06727224138682114,0.014955486522567925,0.15830507029721244,0.04525746751289708,0.30861845621333733,0.018301121486335045
"Economy, Trade, and Technology",0.012969987490832127,0.14532823163659755,0.1029865028943132,0.0949703861408404,0.0009366328901163282,0.09936471291668592,0.006923172420173665,0.08092985882126093,0.42981746733607085,0.004427642224514811,0.019418064322020746,0.001927340906573495
Education,0.0,0.0,0.13898905788117902,0.05168264935453756,0.0,0.007319364096986254,0.06256142629035519,0.29963810173187067,0.008244033936895255,0.20035471865155835,0.22963974920088742,0.00157089885573027
Geography and Travel,0.09376599240158237,0.2469258928989929,0.08490196330738409,0.11310039000425537,0.024523423753653115,0.08803126959780146,0.046386252878794464,0.13709831928295074,0.026184682232606726,0.06377386982061281,0.045326858553066375,0.029981085268299564
History and Chronology,0.07818286511678864,0.046493118462059134,0.12660770622000825,0.13405751255381887,0.0031198756001365314,0.014178565337038889,0.18214821739147397,0.2820103041533743,0.022925768596792184,0.08537696260077202,0.022187842585458434,0.0027112613822787225
Literature and Language,0.15498152923726444,0.043433937455578116,0.21932134255170518,0.1708541234146095,0.07955691237971083,0.008968121216479844,0.06330922508246781,0.024145128778852165,0.013566409127913353,0.11220166122468911,0.08407165124651306,0.025589958284216636
Military | Natural Sciences,0.013448168121662125,0.007292824681077996,0.11971263534790508,0.2357671214971798,0.007309921906591568,0.0,0.11998153238818168,0.09153230454673747,0.24966357774355372,0.0,0.10839682679058336,0.046895086976527195
Natural Sciences,0.028138221307749404,0.22660290448725046,0.10633520653677851,0.04015346976971029,0.2330687222224853,0.024376467503261955,0.07439546440007805,0.07802186966759961,0.04438499321906638,0.02158529289464151,0.03442453839211294,0.0885128495992656
"Politics, Government, and Law",0.23226386046932385,0.0029487832466956495,0.14379341081959357,0.12811425955145375,0.0,0.0033758506314819957,0.02483543812938078,0.10895984430520286,0.1811574842966765,0.15073043625907465,0.02277087958528808,0.001049752705828332
Religion and Philosophy,0.149498338197972,0.039304270695038335,0.06625691300116573,0.11784361874070907,0.00765139293653527,0.006123842285711615,0.0963829136309217,0.04323123466557006,0.004387702427567592,0.38814949704341534,0.07493998664157502,0.006230289733818284
