decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
1850s,0.05894962949999568,0.12908793572850327,0.16982903000903546,0.018482479208090447,0.11552505290406583,0.004405229243256308,0.03881280542299666,0.25806404000869226,0.05474725609041667,0.11069521651892165,0.03641206234149413,0.0049892630245316075
1860s,0.07388350947117735,0.24090529768796182,0.04794072120067631,0.05907680903087895,0.06197796258333455,0.07191903790689601,0.07767286285861401,0.18338804091545893,0.039268845468538614,0.08868900186898253,0.03454502048054593,0.02073289052693503
1870s,0.1029379525158307,0.10087968496350477,0.13204305324398996,0.12920796478054733,0.08658630994617339,0.025134014660998606,0.17718487478142125,0.09618669576431636,0.0339362406426954,0.050283060563736645,0.047017239871123724,0.01860290826566188
1880s,0.06585641905281192,0.1404328157619663,0.16022396626707774,0.0952962929772301,0.03276992179674572,0.04910348208604603,0.08612101636303408,0.08351729234397788,0.09794265847991193,0.06903001291863745,0.04320806839225023,0.07649805356031061
1890s,0.14680693169076614,0.053168252379189776,0.07185185132575951,0.08481135770171669,0.0514674888391217,0.05563594044294836,0.1829607027598001,0.06795191684263371,0.1594859756820983,0.06241634462536104,0.05640282480902934,0.007040412901575384
1900s,0.14869766314015329,0.11183724351086557,0.05747145274922251,0.09500418552564742,0.05649080561356842,0.0022592898312364398,0.13743901986464738,0.07947203310494222,0.11097227764903149,0.11292496085377207,0.03784046565125568,0.04959060250565753
1910s,0.11555559598290424,0.09909337277736843,0.1227602112413031,0.09836521158193891,0.11631430402189599,0.010330304353897434,0.07247068778638364,0.03815792708592824,0.031882197331331553,0.11994003036574122,0.14445399483922783,0.03067616263207941
1920s,0.12569495924095248,0.08538831831061049,0.08841347092709333,0.14516969780435024,0.07865119439812335,0.008641766799040848,0.07626002994466449,0.059740832020939744,0.017931344267185102,0.14922772314913646,0.11293963048192954,0.05194103265597395
1930s,0.05184353987187726,0.03650765098397546,0.1336371350167249,0.09356806771997066,0.07254322951962809,0.009020704005624797,0.14907256442269634,0.06430280690963543,0.017601392527034077,0.21094993394708195,0.1434219230972888,0.017531051978462265
1940s,0.08844312230629081,0.06357243615363972,0.04593320508592035,0.17643488650908992,0.01376101965660734,0.49893897065340703,0.0518399592642943,0.044133501309591816,0.0,0.0,0.01694289906115871,0.0
