master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.0070924686620683275,0.024755662735470273,0.26299202844668057,0.0,0.02241185794693908,0.0,0.15434704293375465,0.18455483477775675,0.0,0.20567677978475388,0.11759372416170985,0.0,0.0,0.0,0.02057560055086654,nmf,15,2,0.26299202844668057
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.0,0.206692383576558,0.01650025347133018,0.0,0.01848526815076775,0.0021330142401170243,0.0,0.05153306841080471,0.0,0.052191712393358826,0.024862375369580778,0.0,0.6226443217179858,0.0,0.004957602669496947,nmf,15,12,0.6226443217179858
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.0,0.0,0.13637826951733611,0.0,0.017751720841075663,0.023406726363202734,0.0,0.7626532231032331,0.0,0.0,0.0,0.0,0.05981006017515219,0.0,nmf,15,8,0.7626532231032331
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.1248535346278058,0.028813698143379526,0.02692260230674721,0.0,0.0,0.0,0.38246420765200245,0.1895260782935057,0.04947233530312725,0.0,0.09214715019662464,0.014651040115674665,0.050240910759209674,0.0023177431567706426,0.03859069944515251,nmf,15,6,0.38246420765200245
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.03751528176624634,0.0,0.014545151247653626,0.007832688388987938,0.14210511506018964,0.0,0.0,0.5991409260733245,0.1289914871485198,0.010921979809530422,0.0,0.05894737050554781,0.0,nmf,15,9,0.5991409260733245
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.06768685555086058,0.1371506699238407,0.0,0.0,0.03060165733534976,0.0,0.0,0.6269207633743775,0.0,0.0,0.026937976635317964,0.0,0.06363533284466255,0.0,0.04706674433559094,nmf,15,7,0.6269207633743775
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.0,0.22510188064834558,0.0,0.0,0.002473649507492046,0.0,0.6750125997132402,0.0,0.0,0.0,0.0,0.09741187013092215,0.0,0.0,nmf,15,7,0.6750125997132402
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.11670603140972761,0.471490332958648,0.0,0.0,0.1902260246707088,0.0,0.0,0.1281830775158468,0.0,0.0,0.0,0.0,0.0,0.0,0.09339453344506879,nmf,15,1,0.471490332958648
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nmf,15,9,1.0
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.024376752348849975,0.027128128520006862,0.8100649410815951,0.07292088521629975,0.0,0.0,0.0006041657250512014,0.014630883633950325,0.034751483510904665,0.0,0.0,0.0,0.0,0.0,0.015522759963342124,nmf,15,2,0.8100649410815951
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.009328476988216428,0.015890396599619046,0.29408369843672144,0.0,0.11755757838909357,0.024976309387464368,0.1118544388598372,0.0,0.03596920743073313,0.1689869349377885,0.07264297034770692,0.0,0.0,0.12277344192442026,0.02593654669839908,nmf,15,2,0.29408369843672144
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.047907864385894734,0.0,0.0,0.0,0.054599697555566526,0.0,0.012727369625587756,0.6226804771259422,0.04756881260278907,0.003652846391806427,0.11630762318541407,0.0003995536330058967,0.0,0.0,0.09415575549399341,nmf,15,7,0.6226804771259422
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.1605953781986395,0.0,0.0,0.0,0.0,0.5184990396453967,0.0,0.1507905724092327,0.13665106119645037,0.0,0.0,0.0,0.03346394855028073,nmf,15,7,0.5184990396453967
,1859_07.txt,,,1859,1850s,,,en,0.0,0.0,0.028645216684989764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9582513954545059,0.0,0.01310338786050423,nmf,15,12,0.9582513954545059
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,15,4,1.0
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,15,1,1.0
MASTER_00014,1859_10.txt,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai","Fedorovitch, J.",1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0024702029103022384,0.0008806932649642418,0.8494455725244242,0.0,0.0,0.0,0.0,0.14353993335124568,0.003663597949063585,0.0,nmf,15,7,0.8494455725244242
MASTER_00024,1859_11.txt,Sketches of the Miau - tsze,"Bridgman, E. C.",1859,1850s,Anthropology and Social Customs,Ethnology,en,0.48662512360698595,0.0835724969011185,0.0,0.09058827860592363,0.17572414588159582,0.0,0.05758345235711486,0.0,0.062298452691376995,0.0,0.0,0.0006578046006625685,0.0,0.0,0.04295024535522176,nmf,15,0,0.48662512360698595
MASTER_00018,1860_01.txt,The Small Chinese Lark,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.01754552258704159,0.0,0.0,0.0,0.9320519477496276,0.0,0.0,0.0,0.0,0.0504025296633309,0.0,0.0,0.0,0.0,0.0,nmf,15,4,0.9320519477496276
MASTER_00019,1860_02.txt,On the Banishment of Criminals in China,"Macgowan, D. J.",1859,1850s,"Politics, Government, and Law",Law,en,0.1342021744249298,0.0,0.03335438771079628,0.04535602284690387,0.0,0.0,0.11810761070252,0.3219700582265777,0.24263162434895602,0.07318825340353254,0.0,0.00944252097006319,0.0,0.0,0.02174734736572052,nmf,15,7,0.3219700582265777
MASTER_00020,1860_03.txt,Cotton in China,"Robertson, D. B.",1859,1850s,Natural Sciences,Agriculture,en,0.0323329668983038,0.09680064690203558,0.05046756559505198,0.0067093775833150255,0.01961556743233651,0.0,0.0989131114862897,0.060585318222543746,0.37879835012269164,0.012939429039086752,0.00995233628427728,0.11199939459864987,0.0018722940858882657,0.0,0.11901364174952984,nmf,15,8,0.37879835012269164
MASTER_00022,1860_04.txt,A Sketch of the Tauist Mythology in its modern form,"Edkins, J.",1859,1850s,Anthropology and Social Customs,Mythology,en,0.1780178167370514,0.0,0.0,0.1928480824979542,0.0,0.006060217794498077,0.16712016621324294,0.0,0.0,0.419627854710562,0.0,0.0,0.011123625074548222,0.0,0.02520223697214332,nmf,15,9,0.419627854710562
MASTER_00023,1860_05.txt,Narrative of the American Embassy to Peking,"Williams, S. W.",1859,1850s,History and Chronology,"History, Modern (20th century)",en,0.15152838031764987,0.068263285844013,0.08637714770897756,0.010052738965534793,0.0,0.0,0.017134102220201307,0.5961464778549905,0.0,0.029540653042493637,0.0,0.0,0.0,0.04095721404613922,0.0,nmf,15,7,0.5961464778549905
MASTER_00021,1860_06.txt,"Meteorological tables, from observations made in Japan",,1859,1850s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14620633362220323,0.0,0.0,0.0,0.0,0.8537936663777967,0.0,0.0,nmf,15,12,0.8537936663777967
MASTER_00031,1860_07.txt,A Sketch of the Life of Confucius,"Edkins, J.",1860,1860s,Religion and Philosophy,Confucianism,en,0.06121719697860236,0.04045242172455337,0.0,0.08728757485355573,0.0,0.0016931947012573548,0.01942701919682815,0.0,0.0,0.7899225925452029,0.0,0.0,0.0,0.0,0.0,nmf,15,9,0.7899225925452029
MASTER_00028,1860_08.txt,"The Ethics of the Chinese, with special reference to the doctrine of Human Nature and Sin","John, G.",1860,1860s,Religion and Philosophy,Philosophy,en,0.10519989735029467,0.20609867598645185,0.0,0.0,0.027119998730054915,0.0,0.04491530701446496,0.0,0.009754618825110264,0.38774021283184296,0.0,0.0006627619590491765,0.21794040061587375,0.0,0.0005681266868575114,nmf,15,9,0.38774021283184296
MASTER_00032,1860_09.txt,Supplemental memorandum on the present state of the magnetic elements in China and places adjacent,"Shadwell, C. F. A.",1860,1860s,Natural Sciences,Meteorology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33519639863857326,0.0,0.0,0.0,0.0,0.2828432826320063,0.0,0.38196031872942043,nmf,15,14,0.38196031872942043
MASTER_00034,1860_11.txt,Winds and weather at Chefoo,Editorial Committee,1860,1860s,Natural Sciences,Meteorology,en,0.0,0.07241929572908906,0.05739166370709147,0.0,0.004312614749644841,0.0,0.0,0.17560732987040317,0.016653545467006852,0.0,0.0,0.0,0.5980347112139434,0.022229111443352465,0.05335172781946886,nmf,15,12,0.5980347112139434
MASTER_00065,1866_01.txt,"Notes of a Journey from Peking to Chefoo via Grand Canal , Yen -chow -foo, &c","Williamson, A.",1865,1860s,Geography and Travel,Travel,en,0.1195845967758482,0.5224955005289518,0.0,0.11293781617543913,0.0,0.009177928517425618,0.06015840115336715,0.029058120674831617,0.0,0.12433508493709827,0.022252551237038155,0.0,0.0,0.0,0.0,nmf,15,1,0.5224955005289518
INDEX_00062,1866_02.txt,"Account of an Overland Journey from Peking to Shanghai, made in February and March 1866",,1866,1860s,Geography and Travel,Travel,en,0.01854617048052297,0.5554737521836416,0.09367103467876853,0.06671579394701889,0.0,0.014705149153074817,0.022355228594957654,0.10168763126083609,0.020413173884431923,0.06209608224582835,0.0,0.0,0.0,0.010940640270378138,0.03339534330054099,nmf,15,1,0.5554737521836416
INDEX_00063,1866_03.txt,An account of a translation of a Japanese Manuscript,,1866,1860s,History and Chronology,History,en,0.24516084462516724,0.0,0.0,0.0,0.0,0.0,0.1553094871688418,0.21551723971538173,0.006746582027058525,0.2680705136218676,0.0,0.006102605139067999,0.0,0.10309272770261496,0.0,nmf,15,9,0.2680705136218676
MASTER_00064,1866_04.txt,Description of the Great Examination Hall at Canton,"Keer, J. G.",1865,1860s,Arts and Archaeology,Architecture,en,0.2957397219204125,0.11109113056269683,0.28147884258229333,0.06027360392532261,0.0,0.0,0.0,0.15016160274141965,0.0,0.0,0.09870271237599668,0.0,0.0,0.0,0.002552385891858497,nmf,15,0,0.2957397219204125
MASTER_00068,1866_05.txt,Notes on the opinions of the Chinese with regard to eclipses,"Wylie, A.",1866,1860s,Natural Sciences,Astronomy,en,0.12467909972272825,0.0,0.15169519951961188,0.01469810021043746,0.2033215583371741,0.002441189529078149,0.10401069613240403,0.07600266902866597,0.05932002160263248,0.009536434061336191,0.029156047629585666,0.09817807662681977,0.0376333159127171,0.07368577946580505,0.015641812221003887,nmf,15,4,0.2033215583371741
MASTER_00069,1866_06.txt,Political intercourse between China and Lewchew,"Williams, S. W.",1866,1860s,History and Chronology,History,en,0.1874984878039443,0.0,0.0,0.09161034014590046,0.0,0.0,0.2119971923749445,0.39902714878927414,0.007885584689847935,0.09385741335145821,0.0,0.0,0.0,0.008123832844630446,0.0,nmf,15,7,0.39902714878927414
MASTER_00067,1866_07.txt,Notes on some outlying coal-fields in the south-eastern provinces of China,"Kingsmill, T. W.",1865,1860s,Natural Sciences,Geology,en,0.0,0.006509826489877952,0.0,0.029947731405004403,0.0,0.0,0.010662531520269516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9528799105848481,nmf,15,14,0.9528799105848481
MASTER_00072,1866_08.txt,"Short sketch of the Chinese game of chess, Seang - kh'e, A *","Hollingworth, H. G.",1866,1860s,Anthropology and Social Customs,Manners and customs,en,0.09566110139156285,0.06376474875573514,0.0,0.08795243042483773,0.37411463861858785,0.017941869053565384,0.1050038735203744,0.0,0.19466357331582645,0.0,0.06089776491951023,0.0,0.0,0.0,0.0,nmf,15,4,0.37411463861858785
MASTER_00071,1866_09_retrospects_of_events.txt,"Retrospect of events in the north of China, 1866","Butcher, C. H.",1866,1860s,History and Chronology,"History, Modern (20th century)",en,0.0,0.10124269038006833,0.2709105906662492,0.00035338747017703753,0.0,0.0017065713802402365,0.0,0.5003119854536278,0.03644241384680912,0.0,0.0,0.0,0.08048619045813103,0.005609258452269723,0.002936911892427573,nmf,15,7,0.5003119854536278
MASTER_00098,1869_01.txt,"Notes on the Shantung Province, being a journey from Chefoo to Tsiuhsien, the city of Mencius","Markham, J.",1869,1860s,Geography and Travel,Travel,en,0.11173195258859456,0.40404169442033017,0.0,0.038976131433393395,3.654835985543579e-05,0.0,0.0,0.004202335067191446,0.04661870479595594,0.0021197410946663157,0.1003425448427464,0.008903817408605475,0.0,0.052507904921960634,0.2305186250667002,nmf,15,1,0.40404169442033017
MASTER_00099,1869_02.txt,"On Wen - ch'ang, the god of literature, his history and worship","Mayers, W. F.",1869,1860s,Religion and Philosophy,Religion,en,0.1854239631992125,0.0,0.0,0.33560280719587154,0.0,0.0,0.3084543103964037,0.0,0.0,0.09600690297399471,0.07451201623451759,0.0,0.0,0.0,0.0,nmf,15,3,0.33560280719587154
MASTER_00100,1869_03.txt,The Fabulous source of the Hoang-ho,"Eitel, E. J.",1869,1860s,Religion and Philosophy,Buddhism,en,0.0,0.6063610977382947,0.0,0.0,0.0,0.0015420195100115746,0.3019243741972438,0.0,0.0,0.039223718559316376,0.0,0.0,0.0,0.05094878999513346,0.0,nmf,15,1,0.6063610977382947
,1869_04.txt,,,1869,1860s,,,fr,0.0,0.0,0.0,0.0,0.0,0.9991944728751728,0.0,0.0008055271248272091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,15,5,0.9991944728751728
MASTER_00102,1869_05.txt,"On the Introduction and use of gunpower and firearms among the Chinese, with notes on some ancient engines of warfare","Mayers, W. F.",1869,1860s,Military | Natural Sciences,Military art and science | Science,en,0.022248167491180693,0.0,0.06949153448123067,0.2243289471063369,0.01161340430536984,0.0,0.22783628851191196,0.07090115620900672,0.016249482722898355,0.0,0.1847947522779548,0.07860419171750635,0.0,0.03047752663538475,0.06345454854121883,nmf,15,6,0.22783628851191196
MASTER_00103,1869_06.txt,The Chinese game of chess as compared with that practised by Western nations,"Himly, K.",1869,1860s,Anthropology and Social Customs,Manners and customs,en,0.0,0.0,0.05273986602423734,0.25808678264521795,0.14873789444543195,0.0,0.36945123240886407,0.04785813518689646,0.0,0.03947316185939089,0.020137468251763435,0.0,0.0,0.0635154591781978,0.0,nmf,15,6,0.36945123240886407
