L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
Anthropology and Social Customs,0.16922670790568045,0.06663220130250527,0.06490896779166754,0.07929073450151786,0.0684130162536586,0.002699023775717123,0.2010209874029986,0.047319724931014835,0.033628307308748884,0.05539719784762673,0.06194049541103261,0.0433549521523238,0.027282095480848874,0.06679542171936408,0.012090166215294768
Arts and Archaeology,0.05011342241975685,0.05023475523636084,0.09105126848260699,0.11747883837772503,0.027330618419984767,0.0044763812223599705,0.0599132547859724,0.010756045315430108,0.1486239024640718,0.04252842849872383,0.2941873981125573,0.016814353906769365,0.027152405367309264,0.03570346143911914,0.023635465951252387
"Economy, Trade, and Technology",0.01230931942976367,0.1539925064713777,0.1071526581903644,0.08483180710860351,0.00019160434036825575,0.09281268573333466,0.005760226964241245,0.06383524962234302,0.4010799417280631,0.0029257344963591384,0.017795516144035458,0.0009720105876867077,0.009088961378806656,0.03393796310146229,0.013313814703190202
Education,0.0,0.0,0.16537452691321486,0.045670316703251015,0.0,0.0031342916517317354,0.0586394116626793,0.2620131784920261,0.00668847325351774,0.19697765354153243,0.19569513790834756,2.1287100794613058e-05,0.0,0.04890289656805692,0.016882826204847646
Geography and Travel,0.07381406676990357,0.22436092658040188,0.0666631377332713,0.09626348845853808,0.02816042262613975,0.07646369835380012,0.04120610682194724,0.11294714738688315,0.02284144255642058,0.05860829696868785,0.04300063354253733,0.024721149133786827,0.026557620082535323,0.06493199832908084,0.039459864656066136
History and Chronology,0.07006116166137587,0.050755068083767195,0.10849435497025674,0.12066203770429249,0.0037403005163342226,0.002862549264230474,0.16791015064615866,0.2516647591586455,0.0200108623863259,0.07861709379581962,0.01911557178178779,0.0006817848953841411,0.02460387222015454,0.07149307901401779,0.009327353901449021
Literature and Language,0.13512656139442758,0.04558142195405012,0.21327515143956832,0.1572044804102763,0.07750530921098663,0.00823693728126948,0.06343486183630163,0.01824326020977173,0.009542266096677842,0.1058641816414125,0.0695709036031058,0.02742020703890725,0.017923864233632892,0.04463695253290385,0.006433641116708034
Military | Natural Sciences,0.011124083745590346,0.0,0.1138729751371482,0.22122226225125013,0.01422342595859609,0.0,0.11391814425595598,0.09258814249686091,0.22936424403120487,0.0,0.0923973761389774,0.039302095858753175,0.0,0.040259975855053344,0.03172727427060942
Natural Sciences,0.019767128050535893,0.1345777484080734,0.08729701889402045,0.03466552052791467,0.16741218380491815,0.018569126402596458,0.05571620200182502,0.03938986136148318,0.02748469443745808,0.017325545200212785,0.02422291873325106,0.08395679086107823,0.13686792602363035,0.039214610928786774,0.11353272436421552
"Politics, Government, and Law",0.2229964667359281,0.002662109650209758,0.1408668482864933,0.12415726790806972,7.595061739499623e-05,0.0025270137570200676,0.021025984401292414,0.10160608456074001,0.16314133135959738,0.1357414157377116,0.019730358504155065,0.001060876068679519,0.0013907222315554428,0.05064140483635665,0.012376165344795987
Religion and Philosophy,0.14933858963919266,0.03942216590711789,0.042007157065649274,0.10730880843989617,0.007003379441680186,0.0027288344322546356,0.08592479184004895,0.038161675194302906,0.0036609567328601254,0.36341427413020955,0.07747450344452395,0.004652440982025959,0.016219133386604127,0.05644928479791826,0.0062340045657153405
