decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
1850s,0.0445269826870452,0.10184481652758907,0.1513403409987918,0.01732360451296747,0.10906830814714802,0.002349086347722929,0.03517159975931271,0.18299766863986736,0.04823978524795842,0.1074021844804837,0.026394907953268903,0.004171174956955752,0.1238917638491106,0.019283534077203884,0.02599424181457423
1860s,0.06233644402009989,0.16455477406939234,0.05024227464014138,0.05118372211415193,0.053779863801979064,0.06991698364606878,0.06327483104436095,0.14724204614352054,0.026401886451792315,0.08075313494461414,0.027006295755138566,0.016484786222074773,0.057274541454154775,0.0189293573452473,0.1106190583472632
1870s,0.08724772977231303,0.0738419689543173,0.07056905572699695,0.10688507463842829,0.04126256130721439,0.005630101506048652,0.15189747412672028,0.07059388234266291,0.025846219534577424,0.04485629498423975,0.0426258115668463,0.009954581697566828,0.11675050368801033,0.11739870715624917,0.03464003299780837
1880s,0.059529724464494435,0.10374080855666189,0.13910678356428915,0.0854338309643685,0.02936938774376289,0.037614634667613396,0.07778115855856357,0.07221425070009277,0.0880305869303961,0.06292469487225676,0.03723754251906171,0.06707439554368623,0.02044283776937679,0.07439469030783748,0.04510467283753828
1890s,0.1259456617446538,0.05539857917796069,0.04464603887969842,0.0749858748471925,0.057154495917003986,0.045807386380610535,0.1613130954136088,0.062037735397525925,0.15372269774533995,0.05952483839231325,0.054297739247072596,0.005313453907452912,0.025856557312067752,0.0708071245690057,0.0031887210684931446
1900s,0.13079776022001513,0.1148312781966515,0.0633846590584065,0.088210488856637,0.061796231981217135,0.001743063110008611,0.13448574582366105,0.07438238919633798,0.10202840189748326,0.10637552013758259,0.03451107665995065,0.04517768859817475,0.013844791899885685,0.01722551577187618,0.011205388592111972
1910s,0.1025693627015709,0.085967620624099,0.1171117358382268,0.08829483788252762,0.09897708489422188,0.008349709080864446,0.0642565877690898,0.028828026838825786,0.02661935113042163,0.10997431286069234,0.1351360918570724,0.030997378339457173,0.04776438840616954,0.03289649940802183,0.022257012368738886
1920s,0.11448776651601279,0.07108808619763304,0.07506811228414798,0.13436041742801882,0.06443268104861809,0.005360261262964191,0.07220210428983143,0.04695319248660293,0.012596570854546907,0.13864521699115331,0.1074651051037032,0.052626908341834644,0.029035773324698783,0.04378373142736794,0.031894072442865955
1930s,0.048796000342295504,0.030322534967265443,0.11727156920112579,0.08729629196316933,0.05294208639946601,0.006379674417115862,0.12465293444332028,0.04738739127037925,0.013477212718112747,0.19950752082624157,0.12873034133383013,0.018445552927111513,0.07530404275540435,0.039261724095060575,0.010225122340101615
1940s,0.07007599787045703,0.06563875611654633,0.0,0.12974401165047963,0.015263609315614917,0.4843867628250621,0.03160566435149797,0.04013236983769286,0.0,0.0,0.02411406272094149,0.0016935541441318635,0.0,0.13734521116757592,0.0
