master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.0,0.00449032368387944,0.24646904185383256,0.0,0.013051359414999986,0.0,0.14432428388207033,0.14978652480012197,0.0,0.19082122994544773,0.0,0.0,0.0,0.0,0.021540447468950525,0.0,0.08570150646524827,0.0,0.0,0.14381528248544925,nmf,20,2,0.24646904185383256
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.007150679740110494,0.1644535980431207,0.012619534228981993,0.0,0.0,0.001986345210245762,0.0,0.022857407284990038,0.0,0.03590298023174439,0.0,0.0,0.5833256056506201,0.0,0.013666541143723353,0.0,0.10736438697051466,0.0,0.015259907136739628,0.035413014359208635,nmf,20,12,0.5833256056506201
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.005974431469193806,0.0,0.13629178428090985,0.0,0.020656665026369054,0.030631830063221753,0.0,0.7101363611319111,0.0,0.013945408176188289,0.0,0.0,0.06309739024769548,0.0,0.0,0.0,0.019266129604510605,0.0,0.0,nmf,20,8,0.7101363611319111
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.07614986215650398,0.0001992720128866692,0.022476867371207805,0.0,0.0,0.0,0.3255035360956344,0.128490696504398,0.028328349093745278,0.0,0.06477387098051268,0.019091870774344134,0.052249827683633836,0.0014251292097763415,0.02824540540483046,0.0,0.15330557700980135,0.0,0.0,0.09975973570272514,nmf,20,6,0.3255035360956344
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0,0.042500429860962204,0.0,0.022461631731298018,0.008757356085813423,0.13934044088609837,0.0,0.0,0.55702446620888,0.0,0.0,0.0,0.0490216131308584,0.0,0.0,0.0,0.024509165049913014,0.0,0.15638489704617636,nmf,20,9,0.55702446620888
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.0,0.008501061309098007,0.0,0.0,0.0,0.0,0.0,0.43942644707585266,0.0,0.0,0.0,0.0,0.07439298766636489,0.0,0.042544511355097826,0.0,0.4351349925935867,0.0,0.0,0.0,nmf,20,7,0.43942644707585266
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.0,0.21128618056605047,0.0,0.0,0.0015070200506300956,0.0,0.5899993004016877,0.0,0.007060101537628339,0.0,0.0,0.08890143919231074,0.0,0.0,0.0,0.0,0.0916309366190847,0.009615021632607978,0.0,nmf,20,7,0.5899993004016877
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.0,0.1272898778347475,0.0,0.0,0.0,0.0,0.0,0.01940128337340889,0.0,0.0,0.0,0.0,0.0,0.00023811329746212506,0.10212146212953348,0.0,0.7290669133351756,0.0,0.021882350029672534,0.0,nmf,20,16,0.7290669133351756
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.08366054269926781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163394573007321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,9,0.9163394573007321
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.056785525996342116,0.032941597583587064,0.7564280996536433,0.054546385813470294,0.0,0.0,0.0,0.008173961902072166,0.027763069388329405,0.0,0.03887050280310157,0.0,0.0,0.0,0.016287341294986626,0.0,0.0,0.0,0.008203515564467441,0.0,nmf,20,2,0.7564280996536433
MASTER_00009,1859_04.txt,On the Musical Notation of the Chinese,"Syle, E. W.",1859,1850s,Arts and Archaeology,Music,en,0.0,0.0,0.24335136203452823,0.0,0.009548674337172153,0.02166259741642541,0.0822972901570337,0.0,0.004095022687978086,0.11340256303873444,0.0,0.0,0.0,0.11884701274922152,0.005104210505069375,0.0,0.2808570648459375,0.0,0.0,0.12083420222789966,nmf,20,16,0.2808570648459375
MASTER_00015,1859_05.txt,Lecture on Japan,"Williams, S. W.",1859,1850s,Geography and Travel,Travel,en,0.003173735110030619,0.0,0.0,0.0,0.019145098586541707,0.0,0.014723141646967444,0.49093668602077367,0.03457898922821336,0.013407302423903825,0.007338836017750937,0.0,0.003596918161503866,0.0,0.07529610691192389,0.0,0.22096660613518487,0.0,0.0016025750120442351,0.11523400474516159,nmf,20,7,0.49093668602077367
MASTER_00013,1859_06.txt,On the Study of the Natural Sciences in Japan,"Pompe van Meedervoort, J. L. C.",1859,1850s,Education,Education,en,0.0,0.0,0.13878159386464245,0.0,0.0,0.0,0.0,0.4374266950569446,0.0,0.15028123928217157,0.0,0.0,0.0,0.0,0.021548931050565615,0.0,0.04626199978864632,0.0,0.0,0.20569954095702941,nmf,20,7,0.4374266950569446
,1859_07.txt,,,1859,1850s,,,en,0.0,0.0,0.02177819341826198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9782218065817381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,12,0.9782218065817381
MASTER_00017,1859_08.txt,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850s,Natural Sciences,Zoology,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nmf,20,18,1.0
MASTER_00012,1859_09.txt,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow","Ward, J.",1859,1850s,Natural Sciences,Hydrology,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,20,1,1.0
