L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Anthropology and Social Customs,0.07232789803088391,0.032247815993428346,0.054048674597739134,0.059134078471803915,0.0064568526843028305,0.002327613670975396,0.1729935685108332,0.029266522998119594,0.019069529947128,0.04427210571398352,0.09840514834626758,0.040833677970111164,0.01990347326317741,0.054703424935264165,0.009187382035555984,0.007420319828364137,0.19180047046759577,0.005973532129228358,0.02641196628849946,0.053215944116738134
Arts and Archaeology,0.011594837470102193,0.02932711210379579,0.08236845276476978,0.08940151296315106,0.01554458196932909,0.0041883175300367,0.05061042942992287,0.007163490743166149,0.13304742850470475,0.034019501488894335,0.1169127838613544,0.011248447855132756,0.020471210957758605,0.03098809967988611,0.02040714635622448,0.005633256370470405,0.058720737613059334,0.005471521123478134,0.011157584759611624,0.26172354645515145
"Economy, Trade, and Technology",0.018635550397991415,0.16842422937632248,0.10404558228072297,0.08318824489235326,0.0006095328578624028,0.09221531648799425,0.006066636258744501,0.06166235231189319,0.354530691445423,0.0024274154473702325,0.012886067732221458,0.002191174528372324,0.009423999675435451,0.03100241136012888,0.012187266121233288,0.00207092170063243,0.013894348565923831,0.00047500620822065565,0.0034420507043955786,0.02062120164675844
Education,0.0,0.0,0.1512873421886965,0.046147814685722516,0.0,0.0025174306272561665,0.05642625221037546,0.22215588812759357,0.005532835590903309,0.17292780043511857,0.0,0.0008222052727096157,0.0,0.0463778623144459,0.011256477489043074,0.003389318379845893,0.01959649712523591,0.0,0.0,0.2615622755530535
Geography and Travel,0.019233266017531107,0.14956350416248035,0.05832006712535766,0.07754118173741514,0.005868500261243616,0.0756002741313212,0.035378857186583734,0.0800547190327749,0.01407144323963555,0.04845684439222321,0.07874238565166498,0.013687004212578383,0.024205634372987016,0.053282418197795264,0.03695772618799057,0.013163996029162647,0.1620781125261414,0.013735575629519086,0.009204942304822288,0.030853547600771913
History and Chronology,0.04320206954919253,0.04218940010787541,0.09992801238238416,0.10330269324782201,0.0006630820233946847,0.002837236374526678,0.14935604673307631,0.21168638650624755,0.01566823079427671,0.07160479902602435,0.06846770398322365,0.0005103700477311065,0.020648183068318955,0.062402471416462414,0.009120428013426959,0.014785887497677163,0.05552535463229096,0.00417914319525412,0.002127321054588766,0.021795180346205537
Literature and Language,0.04904296481727179,0.02597950473210894,0.18429263702653817,0.13925856918215423,0.06592594673231092,0.006123989603378045,0.0542798764521832,0.01211100905418417,0.006833177083929889,0.10022741613681632,0.03154604985220834,0.005253124112054741,0.009125211682082824,0.037685528303463424,0.004027365406126501,0.012718194131237167,0.15291161729607153,0.003145309590742212,0.02202909766437477,0.0774834111407628
Military | Natural Sciences,0.03445060180039124,0.0,0.1113926386654155,0.2017572668349495,0.00121406648754269,0.0,0.09649850415974989,0.07004218470026644,0.18855478994586103,0.0,0.03952979803628691,0.031207705023771914,0.0,0.03520065529854935,0.02337145044560153,0.0,0.034962236177409636,0.022128277238146855,0.00993049930085395,0.09975932588520353
Natural Sciences,0.008475678847055202,0.1191071883748951,0.0723775033046764,0.02890457338811393,0.07152111131307445,0.0181733160554154,0.048991484228723625,0.028159707869626235,0.019132888912970592,0.01568502872913309,0.007859912756664075,0.018647063973163285,0.1139380642564468,0.02702931330875378,0.10667070787787018,0.006748075151033032,0.0683856998672321,0.06117203253815898,0.1306400289586755,0.028380620288318243
"Politics, Government, and Law",0.38188941032094914,0.015261891919468045,0.10711069635272474,0.11959277435622828,0.0008339452815439204,0.0022352848336969393,0.010016213520675929,0.04919129471250109,0.10957897515807459,0.07415938953255408,0.0031697124939756133,0.0028353478268424988,0.004234979110248007,0.015390228742458257,0.012435041896611057,0.0037114870360734466,0.037953455453305224,0.003685778715852796,0.003034080789450363,0.04368001194676599
Religion and Philosophy,0.037020366126570815,0.02856929608817503,0.03768235104471056,0.07516833070602116,0.004209009676151325,0.002576037019735868,0.06419412137622175,0.027126200051535355,0.0028673899556489447,0.31419163063672434,0.15548082880021308,0.0036625233591208173,0.009215031555345943,0.035616062991620914,0.004197091164646986,0.10165079273514555,0.028111416721461335,0.003811166932656044,0.005505817182343246,0.05914453587595092
