decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
1850s,0.02552121236555197,0.07581354496059928,0.13899410807447266,0.011649905452031222,0.004069908743159502,0.0021003876813870895,0.027385917855202124,0.14572609288628977,0.03717268676356234,0.0919618553858948,0.03274787247737751,0.0025494747697159467,0.1246447250870972,0.018119085684430984,0.020709716019252353,0.0030796432819793105,0.11911951404980987,0.0025366210967307265,0.08087215666209421,0.035225570703361145
1860s,0.017473322450500837,0.13177116303600103,0.041989093128016304,0.035140618713146735,0.010234419683248149,0.06924694264912563,0.049759602248467,0.12042337827206435,0.01778426383975212,0.06725963669026293,0.08198942684098481,0.010052319695907863,0.05064485723964072,0.013960761711671814,0.1040554372122144,0.015076739399029463,0.0989707523694504,0.0098814084844094,0.033598143858988405,0.02068771247711764
1870s,0.05209210387859611,0.0515946844168481,0.060083931815013904,0.08460660893973888,0.006054414124770099,0.0052260889181978566,0.13474532121630717,0.05109131663770362,0.018445393405138684,0.039281743222039575,0.0683409205020899,0.0070266243169383145,0.1010472071215258,0.09563980248995692,0.030859545231753424,0.013383891759298813,0.09851784025794953,0.011844443083264022,0.036111124841427575,0.03400699382144173
1880s,0.05734541924242513,0.08903774832431201,0.1254860698936276,0.07416960973725607,0.018920272144128416,0.037553660827299606,0.06619643267547415,0.05584596605559145,0.0690936579834039,0.05525247368371092,0.035534316632982954,0.03145835697142758,0.01770458402320458,0.06009137660566408,0.04232405368115544,0.006900395850345367,0.05883643472788762,0.04643481245079512,0.01620483687163736,0.03560952161767066
1890s,0.10440011803963703,0.041504898102189505,0.03494984362665735,0.06474695018511968,0.006023159103911305,0.043977589706225104,0.14641015565930002,0.033608515345689864,0.1302345177949707,0.04546039755602056,0.02732509156479258,0.0037025686238369077,0.02323622019273961,0.056215976929558896,0.0032856664592781533,0.015949646309797522,0.13724585626945746,0.005469781331187684,0.017794087622341477,0.05845895957728862
1900s,0.07574717885050142,0.0785318286537377,0.04460152133654197,0.0749783956163571,0.00507744945212782,0.0014271140145117555,0.12032624458626442,0.05221403913861996,0.07887615811966446,0.08074692383955412,0.07978267401161764,0.011284816849704352,0.010292064862140916,0.011349558158175718,0.00969580440284394,0.00995994068644187,0.13451671683248426,0.03873022742710766,0.04306932010465708,0.03879202305694584
1910s,0.022319490019080318,0.05540689969241385,0.10204885694575255,0.0676879447033618,0.03393604867126535,0.008138781516196568,0.05400947536057824,0.01828901218225979,0.020284481477046312,0.09260823863462492,0.11179738126809072,0.014826163366007932,0.03163448282393666,0.02318979670180562,0.018777445647740608,0.024745701809338112,0.09821881928488312,0.009510942023503917,0.07381708293387783,0.11875295493823575
1920s,0.03580752483534937,0.047228540653782465,0.06446534579156779,0.10968000025318905,0.049893356652772336,0.0045289915852643955,0.059246830226632116,0.035152450479353024,0.009341470500749485,0.12111374524120201,0.0756205039638745,0.02745283101559292,0.019124570482884996,0.029548714232018315,0.029478764728593572,0.04031702409302189,0.09760031321152571,0.013577493330135628,0.0326450726361316,0.09817645608635885
1930s,0.007327546072660874,0.019925026495743212,0.10097338961880209,0.07657981244639389,0.02846970120528018,0.006282628293578778,0.09861224337685055,0.03998835611623534,0.009963063238412723,0.18161265123324108,0.06476433258413125,0.0051586207538037426,0.05172813250585626,0.03583382911136227,0.007603936594352618,0.04135648324299014,0.042614740481328676,0.011076122779214393,0.03463583679298254,0.13549354705677935
1940s,0.029990297111480678,0.057548229387427784,0.0,0.10079910104818353,0.00031370104294693095,0.4715260247406667,0.028783094462719455,0.03145658772351215,0.0,0.0,0.08330902000087118,0.0010135965052251387,0.0,0.10172822541184333,0.0,0.020695582602001297,0.0371643148581286,0.005932845244980457,0.025581554375132563,0.004157825484880267
