master_id,filename,title,author,year,decade,L1,L2,language,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,model,K,dominant_topic,dominant_topic_weight
MASTER_00159,1858_01.txt,The Climate of Eastern Asia,"Fritsche, H.",1877,1870s,Natural Sciences,Meteorology,en,0.02306877111904309,0.003929986754352698,0.1432382879702219,0.0,0.002910720762679247,0.0,0.03857508993280413,0.12456961747351715,0.0,0.13086059635382472,0.0,0.0,0.0,0.0,0.011850094760717063,0.0392006880165942,0.0,0.0,0.11372643617914338,0.0,0.07896984846335814,0.0,0.0,0.012265430134275203,0.27683443207946895,nmf,25,24,0.27683443207946895
MASTER_00004,1858_02.txt,"On Cyclones , or the Law of Storms","Nicolson, F. W.",1858,1850s,Natural Sciences,Meteorology,en,0.06128515950815252,0.1780802160270035,0.0031628538061202905,0.0,0.0,0.0024632446204026033,0.0,0.02365267926216289,0.0,0.02799601564119631,0.0,0.0,0.5521737422746285,0.0,0.012272078134390161,0.006101298758419031,0.018790616148354176,0.0,0.015788228469850896,0.0,0.03849556566433112,0.018574972652239622,0.002317232048905224,0.0,0.038846096983843205,nmf,25,12,0.5521737422746285
MASTER_00002,1858_03.txt,Coins of the Ta - ts'ing or present dynasty of China *,"Wylie, A.",1858,1850s,Arts and Archaeology,Numismatics,en,0.0,0.0,0.0,0.11228158920630803,0.0,0.022634973871574343,0.03947019587615214,0.0,0.6107019911080878,0.0,0.08586601991342102,0.0,0.0,0.053229909843901725,0.0,0.0,0.0,0.019412094162570396,0.0,0.0,0.0,0.0,0.0,0.014235135155264261,0.04216809086272047,nmf,25,8,0.6107019911080878
MASTER_00003,1858_04.txt,Contribution to the ethnology of Eastern Asia,"Macgowan, D. J.",1858,1850s,Anthropology and Social Customs,Ethnology,en,0.04778524060776345,0.006667682196786971,0.011992674847296632,0.0,0.0,0.0,0.2141372215243881,0.09424422615113238,0.0231890449916054,0.0,0.0,0.012270319491692062,0.03634444309884077,0.0,0.021221285245219202,0.11646686095808495,0.0,0.0,0.17482686168081008,0.0,0.04724657849800751,0.10294532259427612,0.0,0.0,0.09066223811409634,nmf,25,6,0.2141372215243881
MASTER_00001,1858_05.txt,"A Buddhist Shastra , Translated from the Chinese","Edkins, J.",1858,1850s,Religion and Philosophy,Buddhism,en,0.0,0.0016656199458194305,0.0,0.0,0.0,0.010474563947782418,0.06249389441802971,0.0,0.0,0.32730158322346925,0.0,0.0007700117669193633,0.0,0.0030016970197582612,0.0,0.0,0.002339271756241762,0.013649203216764876,0.033084621063258435,0.0,0.07343568090194512,0.0,0.2656024769074132,0.03566055664142253,0.1705208191911757,nmf,25,9,0.32730158322346925
MASTER_00006,1858_06.txt,Visit to Simoda and Hakodadi in Japan,"Foote, A. H.",1858,1850s,Geography and Travel,Travel,en,0.289207445073658,0.004356818321654272,0.0,0.0,0.0,0.0,0.0,0.5605581197653671,0.0,0.0,0.0,0.0,0.09075046131447749,0.0,0.046637130413101614,0.0,0.0,0.0,0.0,0.0,0.008041626881800799,0.0,0.0,0.00044839822994078394,0.0,nmf,25,7,0.5605581197653671
MASTER_00213,1858_07_record_of_occurence.txt,Where was Ta - ts ' in ?,"Allen, H. J.",1886,1880s,Geography and Travel,Geography,en,0.0,0.004730058472551835,0.2385674286494817,0.0,0.0,0.0015529035348529788,0.0,0.5623298313348193,0.0,0.013993072939366184,0.0,0.0,0.07665956838693966,0.0,0.0,0.0,0.012967453411895554,0.07758237059765191,0.0,0.0006513387317878724,0.0,0.0,0.0,0.0,0.010965973940652957,nmf,25,7,0.5623298313348193
MASTER_00016,1859_01.txt,Narrative of a visit to the island of Formosa,"Swinhoe, R.",1859,1850s,Geography and Travel,Travel,en,0.6222691446897383,0.15043880087341077,0.0,0.0,0.0,0.0,0.0,0.020321869844570604,0.0,0.0,0.0,0.0,0.0,0.008183079608419783,0.15870082017850684,0.0,0.04008628480535376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nmf,25,0,0.6222691446897383
MASTER_00010,1859_02.txt,Notices of the character and writings of Meh tsi,"Edkins, J.",1859,1850s,Religion and Philosophy,Philosophy,en,0.0,0.0,0.0,0.0,0.00311387696936969,0.0,0.0,0.0,0.0,0.9461976096181294,0.005035524561429772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04565298885107107,0.0,0.0,0.0,nmf,25,9,0.9461976096181294
MASTER_00007,1859_03.txt,Chinese bibliography,"Macgowan, D. J.",1859,1850s,Literature and Language,Literature,en,0.0,0.007906561599887918,0.5983925346256338,0.04039325083121184,0.0,0.0,0.03219251917143143,0.005444162385459995,0.018454118445221046,0.0,0.07281163818229294,0.0,0.0,0.0,0.016535211768461584,0.0,0.010084397302278352,0.0,0.0,0.0,0.0,0.08890970028168757,0.0,0.0,0.1088759054064334,nmf,25,2,0.5983925346256338
