L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
Anthropology and Social Customs,0.09724041487092953,0.025626052680187857,0.03521739588312084,0.04708578053790132,0.0052665025931111385,0.0020297842370618764,0.10739987857233783,0.02173451189246878,0.015753346013086637,0.02318797186082697,0.03760769120880485,0.03390709321412377,0.011553696793207485,0.04436772655513915,0.00787152957679819,0.09405507722825754,0.02103919135434493,0.004261294179684501,0.10619651468400819,0.005792301628678243,0.027135227438727948,0.09293420791386071,0.023126194540499488,0.026873595659265434,0.08273701888356677
Arts and Archaeology,0.01723058817998112,0.012629407560272738,0.04960432448946283,0.06665990532228395,0.009832743481219954,0.0037806980341204654,0.03653572034334812,0.005150472177393346,0.11997463376809597,0.020745055597742715,0.13950016817859667,0.008278446483961765,0.015460017358001715,0.022455088623479162,0.014595663673011596,0.029132045180398376,0.008839262738997204,0.00416749023062979,0.012926369212777091,0.005034035841369171,0.2143182195463988,0.016173112274670026,0.02231508039556506,0.03047377566934258,0.11418767563887981
"Economy, Trade, and Technology",0.00660722849309336,0.16431431082970777,0.09524950415271498,0.08339717191785735,0.0011569708606461665,0.09279620657115563,0.001558278413020344,0.048088492873871375,0.31479343803319226,0.0019464352844725632,0.017606417927225834,0.0012096045830264732,0.006307656532139487,0.02734686902370886,0.012951798587613922,0.012555784392685761,0.002087539605075367,0.0006257946466801195,0.055601223143599506,0.0017804646355703557,0.017317389477725837,0.030812500317366275,0.002012944255798991,0.00047300223185493183,0.0014029732101964877
Education,0.0,0.0,0.016739097621161707,0.03184276320323018,0.0,0.0015922359337129399,0.004196110870079566,0.1894888368381858,0.00218466417173905,0.12344010412738377,0.001637773482531452,0.0008037919867121608,0.0,0.034207459906990804,0.0,0.0,0.0,0.0,0.0108497258134326,0.005262266755092974,0.12231007036680928,0.0,0.0,0.0,0.4554450989229377
Geography and Travel,0.09935481857181602,0.12767521840094462,0.042931879071225865,0.06845201605966801,0.009242911464999235,0.0756841581660371,0.021671754901403835,0.07301149430049357,0.0118480192650877,0.02756281333710768,0.08375604931912184,0.01134641256807887,0.022205631742907746,0.04667867920911087,0.03705609529049012,0.04702902012343487,0.006762062489612201,0.011394410830953945,0.054841612196731254,0.01142330087870772,0.01974515083370592,0.026075947135507645,0.025261574467603333,0.0048144590495976525,0.034174510325652385
History and Chronology,0.02890232028020112,0.031043552461341856,0.09172725708868239,0.08047923914104164,0.0005248072409527306,0.002794918383860943,0.14505462059906488,0.18201631863772852,0.010992698703664424,0.06229280655281315,0.04621333199207549,0.0003510786437667,0.013716885731950162,0.05427482441219034,0.008398101969895797,0.05862909313214317,0.002476102487401685,0.003196316825871831,0.01999690809129719,0.012407220021077903,0.01372480162040852,0.0547300703220782,0.019939894856948085,0.0010343169607862988,0.05508251384275693
Literature and Language,0.058253991330989525,0.020797069335773924,0.1159703963887263,0.1115304443391415,0.04186409556786351,0.005488160955404732,0.016614331115167268,0.008895771937607426,0.0033584026762705633,0.0746737705717178,0.02151224809863213,0.0016443528008028372,0.006281259370002604,0.028823940854750842,0.0012036325228346062,0.04356491926174021,0.01582336952858068,0.0021667718781884296,0.016628343387911568,0.01085261601713205,0.055935374999946545,0.07670886768562059,0.02519961717240176,0.046839017669893096,0.18936923453289947
Military | Natural Sciences,0.007228800767839733,0.0,0.06041402377567141,0.16787523843806568,0.0,0.0,0.067015102801149,0.05307216648894715,0.1421981401840795,0.0,0.05982704900529599,0.022394281046303716,0.0,0.02745945532383876,0.017539801999658284,0.016304317238708965,0.004940410102818977,0.01716140609662537,0.07970634263472415,0.0,0.05521424141318257,0.05736082863018807,0.0,0.02363448894142351,0.12065390511147918
Natural Sciences,0.02985260567003292,0.11210110060176781,0.056714017612700535,0.02539670249651227,0.059837548772005776,0.01804037688825427,0.03519602733136512,0.026995784908180664,0.016920514198000322,0.009245910532164496,0.012504873751515452,0.013207235594435887,0.09843402102588025,0.024797426678395146,0.10183514124472948,0.01684556280627049,0.12042769320350517,0.05192094755081906,0.03777804109454304,0.00653324956736073,0.014574248831489408,0.01286463014829307,0.005248960751011846,0.043146990620690655,0.049580388120076126
"Politics, Government, and Law",0.013809264060378537,0.014536877050704274,0.08528173972119582,0.11131667733924185,0.00032050845259904955,0.002195856483773967,0.0026098555108193303,0.036255945872777105,0.08251997040511305,0.0585530605704885,0.0026411268304262457,0.0016399639198425775,0.0015408213337636534,0.009359095566286571,0.009587813288469013,0.00857380692074025,0.0019444612809232911,0.0029274721004046585,0.016938279333391433,0.0031009389985082445,0.018284955545345042,0.45656232758979615,0.013596992696201992,0.0002897222574888636,0.045612466871320576
Religion and Philosophy,0.01055461966670758,0.021827801332406725,0.014590996585431405,0.056965293473507185,0.0024159516155375757,0.002320328520875575,0.04624718979541629,0.020494041811057455,0.002006241348266596,0.21601307083073865,0.057060266625374806,0.0019289637549283407,0.005453467876958454,0.021714372471523958,0.00292454902060611,0.15300840764169304,0.004391733385992772,0.002123277464434195,0.0328643418663791,0.08455528454342812,0.030170152105738337,0.03714323961119349,0.11295269556587433,0.005701645521965339,0.05457206756396458
