decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
1850s,0.06765987606137348,0.07531679995354365,0.10859597306216558,0.01050509670218304,0.004614735630851967,0.0019065755329453452,0.020743756567429206,0.1405014416266885,0.030930097181320965,0.07129195422648124,0.015860460338882384,0.0016904668284753207,0.11872220478256718,0.013144740154594431,0.02214790986850092,0.031241348585035165,0.0792826209235212,0.001343291680708591,0.011923749175461244,0.0029472544178061146,0.006880437583785612,0.034533494595147124,0.009703103698888209,0.005996476793396969,0.11251613402824653
1860s,0.044432280313563624,0.11479235034209652,0.03539123902105991,0.02557358128512077,0.013213776888113923,0.06891244673810112,0.04863153751213315,0.10908502212264291,0.01438143434636139,0.04970862399625336,0.06922508691985184,0.008121950729812985,0.0403700898382815,0.01073289276352313,0.09921592594393576,0.0568375258967628,0.03347196551823547,0.006423431353182489,0.021456457715863995,0.011178486908627234,0.011196632049910801,0.023889508985566646,0.015076967410556944,0.013836435195330808,0.05484435020511091
1870s,0.04614452789895013,0.039668690167510914,0.03972036078588293,0.060161016318081365,0.00844608332565794,0.004889043201804047,0.12046555531662058,0.04540907715417422,0.015273090634430745,0.029543213087645157,0.08259563776043144,0.005314839715674696,0.0874278000188927,0.08391779978862389,0.026274129706876405,0.0359359425230361,0.033389468501390615,0.008583773504391117,0.015019870662785678,0.012357597247111869,0.020950949375732837,0.06829191114321609,0.011405979759884785,0.010531629011465862,0.08828201338972792
1880s,0.027804249294348573,0.08413286518870998,0.09017984824164714,0.06256550982054349,0.00991630793308966,0.037574326993730825,0.05937426939034272,0.04625705612747807,0.059344892297112435,0.0376794860484484,0.04242115978285441,0.02909999763058217,0.014270951258985223,0.0517472626145565,0.04058456987150374,0.019702985771075356,0.013570285004993164,0.0421523352941973,0.01866884904134375,0.005940640573932856,0.02314655222355605,0.07241968997336233,0.030311959842266967,0.019274694389747028,0.06185925539159185
1890s,0.06127184204935893,0.03796381575580414,0.01899766796621504,0.054029678376917176,0.006991450964180887,0.04403467226123029,0.10285853304132431,0.02959198914005558,0.114447869689103,0.027082562405512118,0.024106273604458054,0.002584359310531305,0.015682894905219073,0.045172708910062906,0.0025348600255578626,0.030810329643822763,0.01626307726599197,0.003296102926269391,0.05457222716641519,0.010121853019926777,0.033778090253615306,0.13450406212633778,0.026672444735186762,0.014947879759709107,0.08768275469719429
1900s,0.06879086498766598,0.06551164118869507,0.038561163468397705,0.057877969480848016,0.010956607559333318,0.0012722471835986374,0.09910504805058064,0.03867666736255155,0.07093539403437443,0.06967186378162536,0.058634200438950554,0.009211865283234765,0.006132119255441735,0.008029987430527774,0.009341950388449594,0.06797506755062399,0.04027744811501701,0.034841966883053875,0.041784574094730596,0.008124661537958681,0.021251383375281138,0.09383422146180133,0.014256176171072558,0.012942056795857807,0.052002854120327895
1910s,0.04264066542351519,0.04374718255797838,0.06846878788926371,0.054226382785326224,0.02244973907352531,0.00795394715332265,0.023858342092160666,0.014192565914682044,0.017272701116663656,0.052610391324922845,0.058568304742220835,0.01095226273117554,0.023846963306563353,0.016251893912639617,0.01580387509255218,0.09913494115608669,0.0678609838116457,0.006446709369023836,0.05049891321602702,0.01925926398933824,0.0845901778731293,0.028212752222825477,0.045277227695023355,0.036541239360412474,0.08933378618997571
1920s,0.05096811094811801,0.0358280069283566,0.04710580110069066,0.09365510191853406,0.03970515506603531,0.00440141694557015,0.02533807903149131,0.027260971556267406,0.007618503152397855,0.0841820504902831,0.03844095676351485,0.02088237147066499,0.01483058415507504,0.022054179717711463,0.026767394553148496,0.07075883680807105,0.025201225481165036,0.010935876500852757,0.07654416182711228,0.03512895797128858,0.07313226602484071,0.044848589741348206,0.0527412856430021,0.028738240375261872,0.042931875829198114
1930s,0.013530748606112824,0.01541761496852339,0.04507011165730888,0.06366357605315306,0.027069969116587097,0.005520650207004725,0.031990631341093916,0.029070978011241838,0.004509276734592409,0.12611787853739895,0.013249144241524,0.0018227303460977657,0.03777667684093428,0.027954583343491334,0.005159035820662346,0.08393559178449062,0.027053097165370615,0.007118816099887637,0.08058570894976962,0.038883112365967656,0.09502416027247691,0.010142830762054961,0.014324031504055978,0.01807568049227427,0.17693336477792496
1940s,0.005976429544440484,0.026070562495078758,0.0,0.07572527186252961,0.0005530851802905616,0.4736048230279929,0.0,0.011456566934305759,0.0,0.0,0.09377255691888788,0.0,0.0,0.06753645002862053,0.0,0.006097347157176848,0.01554071848324893,0.004542214002494182,0.12937092612726117,0.021750246769562866,0.0,0.04598573335879393,0.021593744071658472,0.0001332504494358606,0.0002900735882212172
