model,K,topic_id,rank,word,weight
nmf,30,0,1,village,0.7736205937572921
nmf,30,0,2,miao,0.7147453331334181
nmf,30,0,3,savages,0.5498954992222316
nmf,30,0,4,women,0.5097732402036274
nmf,30,0,5,day,0.4834956879627971
nmf,30,0,6,us,0.455290815779982
nmf,30,0,7,boat,0.42020139029903364
nmf,30,0,8,rice,0.40965879872422817
nmf,30,0,9,small,0.39289167606919984
nmf,30,0,10,little,0.37800997644015005
nmf,30,0,11,men,0.37751797384732166
nmf,30,0,12,house,0.36803590563141436
nmf,30,0,13,people,0.36205585097296017
nmf,30,0,14,hills,0.3565362795097265
nmf,30,0,15,bamboo,0.3530325386941537
nmf,30,0,16,water,0.3443458989180514
nmf,30,0,17,wear,0.3371839595460511
nmf,30,0,18,fish,0.3355587714594873
nmf,30,0,19,large,0.33108376091942754
nmf,30,0,20,night,0.3210946517806936
nmf,30,1,1,river,0.9857916489894125
nmf,30,1,2,miles,0.5177526145103655
nmf,30,1,3,water,0.5011037047640218
nmf,30,1,4,bank,0.479000468096548
nmf,30,1,5,feet,0.47680348646567006
nmf,30,1,6,canal,0.4234938094818852
nmf,30,1,7,channel,0.40751439440737874
nmf,30,1,8,level,0.2947019755249515
nmf,30,1,9,sea,0.260008421034401
nmf,30,1,10,lake,0.25953275642807055
nmf,30,1,11,plain,0.2528376386936889
nmf,30,1,12,island,0.24707162065028163
nmf,30,1,13,yellow,0.24447204435278228
nmf,30,1,14,bed,0.23147452833860174
nmf,30,1,15,ho,0.22803318709478704
nmf,30,1,16,south,0.21699873715797546
nmf,30,1,17,stream,0.21352989832350422
nmf,30,1,18,city,0.2128548421739621
nmf,30,1,19,course,0.20879327759689884
nmf,30,1,20,banks,0.19805789148779174
nmf,30,2,1,retrospect,0.4355748340777487
nmf,30,2,2,government,0.39326655785359993
nmf,30,2,3,shanghai,0.3665081450397033
nmf,30,2,4,foreign,0.3647385345357372
nmf,30,2,5,british,0.2984865396505013
nmf,30,2,6,foreigners,0.27490832553030103
nmf,30,2,7,events,0.2724979615289527
nmf,30,2,8,peking,0.258143324666183
nmf,30,2,9,year,0.2445209089697748
nmf,30,2,10,settlement,0.2438583246446101
nmf,30,2,11,mr,0.23979386129178734
nmf,30,2,12,treaty,0.23774870465505504
nmf,30,2,13,canton,0.19611969489986594
nmf,30,2,14,emperor,0.18751032369885232
nmf,30,2,15,country,0.1840219658792309
nmf,30,2,16,french,0.17712951791201684
nmf,30,2,17,imperial,0.16047074603269773
nmf,30,2,18,japan,0.15790655549083238
nmf,30,2,19,city,0.1526023772567281
nmf,30,2,20,troops,0.15166228635243653
nmf,30,3,1,salt,1.81788687792128
nmf,30,3,2,taels,0.9700698675834889
nmf,30,3,3,tls,0.6710484498012632
nmf,30,3,4,tax,0.5839841875604538
nmf,30,3,5,ch,0.3543810540547764
nmf,30,3,6,revenue,0.29226209323287816
nmf,30,3,7,likin,0.2659127853176415
nmf,30,3,8,brine,0.23647046676595326
nmf,30,3,9,magistrate,0.23473413121271064
nmf,30,3,10,chou,0.23158421965955875
nmf,30,3,11,nan,0.23137833917064868
nmf,30,3,12,fu,0.2292771710444915
nmf,30,3,13,per,0.22835745108074057
nmf,30,3,14,catties,0.21454078076858593
nmf,30,3,15,uan,0.21186924792844009
nmf,30,3,16,kiang,0.21015907441062612
nmf,30,3,17,si,0.20740772508932953
nmf,30,3,18,manchu,0.20061508022214652
nmf,30,3,19,year,0.20016917672353288
nmf,30,3,20,ssuch,0.19766527765935682
nmf,30,4,1,flowers,1.4079561867103267
nmf,30,4,2,leaves,1.3671159696081019
nmf,30,4,3,species,1.054688533867005
nmf,30,4,4,slender,0.7848156346055849
nmf,30,4,5,mm,0.7241224022076272
nmf,30,4,6,plants,0.6727971045691837
nmf,30,4,7,plant,0.6443955127593577
nmf,30,4,8,flower,0.4465793507208455
nmf,30,4,9,leaflets,0.40841126152247653
nmf,30,4,10,flora,0.4051128557488967
nmf,30,4,11,green,0.37636499494590586
nmf,30,4,12,glabrous,0.37373079193410436
nmf,30,4,13,lanceolate,0.36102728917615695
nmf,30,4,14,white,0.3570061949305476
nmf,30,4,15,ovate,0.3561286705818056
nmf,30,4,16,common,0.33833652369654044
nmf,30,4,17,calyx,0.33061435258004945
nmf,30,4,18,erect,0.32509545965971015
nmf,30,4,19,base,0.3167109192327364
nmf,30,4,20,seed,0.3165072147100573
nmf,30,5,1,on,0.7325310489658818
nmf,30,5,2,une,0.5853781889286077
nmf,30,5,3,un,0.5513029246967248
nmf,30,5,4,qu,0.49967660309309186
nmf,30,5,5,plus,0.4267413783307813
nmf,30,5,6,ne,0.41746965274333314
nmf,30,5,7,se,0.30527594015590953
nmf,30,5,8,cette,0.22108196256325247
nmf,30,5,9,dont,0.18446922232624136
nmf,30,5,10,aux,0.1770988129342001
nmf,30,5,11,chine,0.1692133765272546
nmf,30,5,12,autres,0.16791074905212397
nmf,30,5,13,ont,0.16482554520264434
nmf,30,5,14,était,0.1564653868990616
nmf,30,5,15,après,0.15014017855177886
nmf,30,5,16,lui,0.14637831030159698
nmf,30,5,17,quelques,0.13907005554614763
nmf,30,5,18,bien,0.1383158449206934
nmf,30,5,19,leurs,0.13748333947426555
nmf,30,5,20,deux,0.1374238000473565
nmf,30,6,1,king,0.5997585878335258
nmf,30,6,2,parthia,0.33253761798303594
nmf,30,6,3,shi,0.3317101289184961
nmf,30,6,4,country,0.2956051996610564
nmf,30,6,5,hiung,0.284494614288621
nmf,30,6,6,name,0.2791544940300185
nmf,30,6,7,ta,0.273609584564264
nmf,30,6,8,bactria,0.2682637409651856
nmf,30,6,9,called,0.24716569012671197
nmf,30,6,10,oxus,0.21817112002892913
nmf,30,6,11,son,0.21096909414977985
nmf,30,6,12,countries,0.20741183514435388
nmf,30,6,13,west,0.20717984130559539
nmf,30,6,14,sent,0.20332645310171152
nmf,30,6,15,kingdom,0.20043887348284983
nmf,30,6,16,city,0.19235091172738297
nmf,30,6,17,hirth,0.1917473149513851
nmf,30,6,18,strabo,0.19072510825344074
nmf,30,6,19,nu,0.18926141204336625
nmf,30,6,20,sogdiana,0.18911740038990615
nmf,30,7,1,ch,1.6714419114162715
nmf,30,7,2,dynasty,0.8633925510918279
nmf,30,7,3,wang,0.8197440568162518
nmf,30,7,4,yuan,0.7431401647680125
nmf,30,7,5,shih,0.7389374498742304
nmf,30,7,6,emperor,0.6223688043982925
nmf,30,7,7,ts,0.6205198222847957
nmf,30,7,8,yu,0.5955934479247154
nmf,30,7,9,ai,0.5279212488045162
nmf,30,7,10,sung,0.5182687612116091
nmf,30,7,11,wu,0.4996255876453023
nmf,30,7,12,ang,0.4731539361777753
nmf,30,7,13,ien,0.46094462752790233
nmf,30,7,14,lu,0.45840824335086117
nmf,30,7,15,huang,0.4455697585138555
nmf,30,7,16,ing,0.41992856317596866
nmf,30,7,17,tsung,0.418537018646845
nmf,30,7,18,ssu,0.41073744238000615
nmf,30,7,19,han,0.4089619860709332
nmf,30,7,20,ao,0.39964144896381315
nmf,30,8,1,cash,1.3531113824291476
nmf,30,8,2,coins,1.1979056330086153
nmf,30,8,3,silver,0.8637763596189341
nmf,30,8,4,currency,0.779299513981801
nmf,30,8,5,reverse,0.6789992050476219
nmf,30,8,6,coinage,0.6692571411510033
nmf,30,8,7,mint,0.6363131840952548
nmf,30,8,8,tael,0.6268891154067354
nmf,30,8,9,coin,0.6056104163169942
nmf,30,8,10,copper,0.55985954384064
nmf,30,8,11,obverse,0.5441696391840376
nmf,30,8,12,gold,0.3993665531847219
nmf,30,8,13,taels,0.38994000563571596
nmf,30,8,14,corea,0.37688572082767446
nmf,30,8,15,issued,0.35021291339231075
nmf,30,8,16,value,0.31956791502281945
nmf,30,8,17,money,0.29361921838278254
nmf,30,8,18,weight,0.2910791568190275
nmf,30,8,19,circulation,0.2815214812274162
nmf,30,8,20,pieces,0.27351490011450763
nmf,30,9,1,confucius,0.8098058724068355
nmf,30,9,2,man,0.5129560110628899
nmf,30,9,3,love,0.40612773121904683
nmf,30,9,4,tsi,0.3865356435984977
nmf,30,9,5,mencius,0.37460722658563417
nmf,30,9,6,nature,0.37176104085934597
nmf,30,9,7,destiny,0.36340182290109513
nmf,30,9,8,heaven,0.3611621271093301
nmf,30,9,9,tzu,0.35624706184695
nmf,30,9,10,men,0.3496309731362245
nmf,30,9,11,doctrine,0.34312149367580996
nmf,30,9,12,life,0.33609064681135153
nmf,30,9,13,people,0.3207034381705066
nmf,30,9,14,virtue,0.30046002390174126
nmf,30,9,15,tao,0.29781941663046596
nmf,30,9,16,principle,0.29714968383157625
nmf,30,9,17,things,0.2959440335039908
nmf,30,9,18,duke,0.2893173018465468
nmf,30,9,19,moral,0.28741797363644206
nmf,30,9,20,said,0.28167495576199303
nmf,30,10,1,temple,0.5506432558398663
nmf,30,10,2,tombs,0.43604624837534345
nmf,30,10,3,stone,0.4129955958128227
nmf,30,10,4,tomb,0.3374077050014499
nmf,30,10,5,city,0.3113177331626697
nmf,30,10,6,wall,0.2392398020089259
nmf,30,10,7,confucius,0.23682405816336338
nmf,30,10,8,gate,0.23142615892199858
nmf,30,10,9,pagoda,0.23062897413916034
nmf,30,10,10,fu,0.22064849307556078
nmf,30,10,11,architecture,0.21673673415959374
nmf,30,10,12,figures,0.21510630871228695
nmf,30,10,13,dynasty,0.2132961429471213
nmf,30,10,14,pillars,0.21290653861919884
nmf,30,10,15,hall,0.21014016553888357
nmf,30,10,16,feet,0.2055637284022666
nmf,30,10,17,buildings,0.20555280606880325
nmf,30,10,18,marble,0.20478037279561992
nmf,30,10,19,monuments,0.19131573643145186
nmf,30,10,20,built,0.19085872601993273
nmf,30,11,1,cm,2.1865506039970226
nmf,30,11,2,fig,1.078508002227839
nmf,30,11,3,pl,0.8923630501039593
nmf,30,11,4,manchuria,0.7116307882296705
nmf,30,11,5,breadth,0.6824199196560706
nmf,30,11,6,fruits,0.6521323005563567
nmf,30,11,7,length,0.5184545823019008
nmf,30,11,8,skvortzow,0.44894110224008527
nmf,30,11,9,var,0.41929354372372896
nmf,30,11,10,taro,0.4156473288864092
nmf,30,11,11,gourd,0.36476526511743096
nmf,30,11,12,variety,0.36311247018412307
nmf,30,11,13,rice,0.32266715914047045
nmf,30,11,14,varieties,0.32058973011083797
nmf,30,11,15,apricot,0.31715618641379023
nmf,30,11,16,cultivated,0.30061557988016463
nmf,30,11,17,melons,0.29712787263417
nmf,30,11,18,vegetable,0.28604533090924394
nmf,30,11,19,see,0.2844750153558674
nmf,30,11,20,harbin,0.2805389175073144
nmf,30,12,1,aryan,0.43652835326157396
nmf,30,12,2,calendar,0.42167831638828474
nmf,30,12,3,year,0.42157174490548827
nmf,30,12,4,myth,0.4105186736648417
nmf,30,12,5,lunar,0.4093259219226002
nmf,30,12,6,solar,0.37913927714216583
nmf,30,12,7,cycle,0.36580209650124795
nmf,30,12,8,indian,0.36352824792435096
nmf,30,12,9,ancient,0.3601006417313346
nmf,30,12,10,sanscrit,0.32316362075179333
nmf,30,12,11,greek,0.29688504569894825
nmf,30,12,12,moon,0.28552621744205137
nmf,30,12,13,name,0.28398776636799566
nmf,30,12,14,jupiter,0.2759616653772001
nmf,30,12,15,king,0.2735804269776835
nmf,30,12,16,stars,0.2721098314231588
nmf,30,12,17,chow,0.26525942098059824
nmf,30,12,18,asterisms,0.2581191697158608
nmf,30,12,19,history,0.2519286980313107
nmf,30,12,20,kurus,0.25051844688811287
nmf,30,13,1,de,1.152197304488702
nmf,30,13,2,la,0.6643177586524451
nmf,30,13,3,les,0.570114657299255
nmf,30,13,4,le,0.5289785345628686
nmf,30,13,5,et,0.5184169342941172
nmf,30,13,6,que,0.30610548994208764
nmf,30,13,7,des,0.3040025523424924
nmf,30,13,8,du,0.2917185732734434
nmf,30,13,9,en,0.27050422392220497
nmf,30,13,10,garnier,0.2618704927110673
nmf,30,13,11,tong,0.2546407322146963
nmf,30,13,12,vol,0.21670527390989697
nmf,30,13,13,dans,0.19257480629163184
nmf,30,13,14,nous,0.1880517728349829
nmf,30,13,15,qui,0.17865053658632646
nmf,30,13,16,sur,0.17709686938976893
nmf,30,13,17,chine,0.155650949437139
nmf,30,13,18,au,0.1517714162158809
nmf,30,13,19,pour,0.15168219654287662
nmf,30,13,20,pp,0.14995091332694813
nmf,30,14,1,coal,1.2694262819559727
nmf,30,14,2,limestone,0.4790510808072095
nmf,30,14,3,rocks,0.44047398533950416
nmf,30,14,4,rock,0.2629034121099235
nmf,30,14,5,carboniferous,0.2609726204923497
nmf,30,14,6,mines,0.2562812174050068
nmf,30,14,7,sandstone,0.22985550815328046
nmf,30,14,8,deg,0.22353306103483853
nmf,30,14,9,per,0.22329000181082578
nmf,30,14,10,beds,0.22126654049045955
nmf,30,14,11,formations,0.21516819267815
nmf,30,14,12,strata,0.21144138994348638
nmf,30,14,13,ton,0.18999014794982835
nmf,30,14,14,shan,0.18884303778888747
nmf,30,14,15,shale,0.18606827688796707
nmf,30,14,16,geology,0.1749440800189817
nmf,30,14,17,hills,0.17301545854286002
nmf,30,14,18,sediments,0.17232320574564788
nmf,30,14,19,fossils,0.15255347735625566
nmf,30,14,20,quartz,0.14860446433112207
nmf,30,15,1,heaven,0.7828757914778963
nmf,30,15,2,god,0.6692811134803852
nmf,30,15,3,spirits,0.4208767635888362
nmf,30,15,4,worship,0.35929215065980846
nmf,30,15,5,dragon,0.3505815832376059
nmf,30,15,6,earth,0.31296877027390413
nmf,30,15,7,altar,0.3103284414199617
nmf,30,15,8,gods,0.29970769761066496
nmf,30,15,9,spirit,0.2760816308438019
nmf,30,15,10,sacrifice,0.2710468082515639
nmf,30,15,11,incense,0.26728955802759813
nmf,30,15,12,religion,0.24942164848203746
nmf,30,15,13,moon,0.24310495969571252
nmf,30,15,14,ruler,0.23202430343834388
nmf,30,15,15,hall,0.20575503369769116
nmf,30,15,16,emperor,0.20519534657828167
nmf,30,15,17,people,0.19741889641728055
nmf,30,15,18,day,0.19519740712783856
nmf,30,15,19,man,0.19026907504787408
nmf,30,15,20,temple,0.18372949129819735
nmf,30,16,1,genus,0.5597018468996335
nmf,30,16,2,species,0.5133528369796095
nmf,30,16,3,bill,0.45403738224249685
nmf,30,16,4,birds,0.4448820164387223
nmf,30,16,5,bird,0.42885192954796075
nmf,30,16,6,brown,0.3971226045684112
nmf,30,16,7,tail,0.35712110309409956
nmf,30,16,8,swinhoe,0.3037321092077762
nmf,30,16,9,wing,0.2887776099903854
nmf,30,16,10,formosa,0.2647444695659899
nmf,30,16,11,tenths,0.2434166364949225
nmf,30,16,12,black,0.2280542315968849
nmf,30,16,13,family,0.22450290330809555
nmf,30,16,14,styan,0.21525367340869608
nmf,30,16,15,pall,0.20334826417617205
nmf,30,16,16,white,0.20124173799515835
nmf,30,16,17,migrant,0.19329648305519714
nmf,30,16,18,yellowish,0.19043190816386468
nmf,30,16,19,feathers,0.18463068293087603
nmf,30,16,20,specimens,0.18392772804435878
nmf,30,17,1,lour,1.1823751957217057
nmf,30,17,2,linn,0.9932414995993991
nmf,30,17,3,osb,0.6806672209545653
nmf,30,17,4,hgk,0.48464131596422744
nmf,30,17,5,cochin,0.44944452440136246
nmf,30,17,6,sin,0.4470784125001069
nmf,30,17,7,fl,0.4195026735525467
nmf,30,17,8,tab,0.359945699443608
nmf,30,17,9,fig,0.29744795826654263
nmf,30,17,10,folio,0.2876792378023878
nmf,30,17,11,canton,0.2813702636402985
nmf,30,17,12,foliis,0.2798602114887268
nmf,30,17,13,chinensis,0.271990331234443
nmf,30,17,14,var,0.2479135900089902
nmf,30,17,15,plants,0.2442386786751067
nmf,30,17,16,plant,0.23281135082707263
nmf,30,17,17,et,0.20413475521825925
nmf,30,17,18,isl,0.20075420664199625
nmf,30,17,19,chusan,0.1776995379361721
nmf,30,17,20,pl,0.15993903203374055
nmf,30,18,1,shanghai,0.658224142527496
nmf,30,18,2,mr,0.5685478405360711
nmf,30,18,3,society,0.5254676681358623
nmf,30,18,4,dr,0.492950541204298
nmf,30,18,5,library,0.4727600288349969
nmf,30,18,6,books,0.383392071462786
nmf,30,18,7,esq,0.3670376992239274
nmf,30,18,8,members,0.36232725960734447
nmf,30,18,9,work,0.3152727769312109
nmf,30,18,10,collection,0.2873724693818366
nmf,30,18,11,reviews,0.27412540870031793
nmf,30,18,12,mrs,0.25766520380752234
nmf,30,18,13,book,0.25566250359251663
nmf,30,18,14,works,0.24909655239744355
nmf,30,18,15,journal,0.23090375004549027
nmf,30,18,16,museum,0.2259482382632119
nmf,30,18,17,history,0.2235352188131908
nmf,30,18,18,rev,0.22305711569198108
nmf,30,18,19,proceedings,0.21026646638194757
nmf,30,18,20,volume,0.2006569915394861
nmf,30,19,1,art,0.7806984695822045
nmf,30,19,2,bronze,0.31366354064483126
nmf,30,19,3,greek,0.2961367725539911
nmf,30,19,4,bronzes,0.25533474292360026
nmf,30,19,5,porcelain,0.21881234564449104
nmf,30,19,6,painting,0.21155356368279876
nmf,30,19,7,artistic,0.2082574341563369
nmf,30,19,8,design,0.20502423091863606
nmf,30,19,9,work,0.18479540111414594
nmf,30,19,10,pottery,0.18172205299068225
nmf,30,19,11,buddhist,0.17507686265940997
nmf,30,19,12,dynasty,0.17083237035347418
nmf,30,19,13,culture,0.1652319917012762
nmf,30,19,14,period,0.15637205235249074
nmf,30,19,15,beauty,0.15520406053102243
nmf,30,19,16,nature,0.15485211257989873
nmf,30,19,17,decorative,0.1534659610683428
nmf,30,19,18,ancient,0.1515906650190633
nmf,30,19,19,colour,0.14924853410784705
nmf,30,19,20,beautiful,0.14883720193360012
nmf,30,20,1,law,0.7155295214209109
nmf,30,20,2,family,0.4823382980454905
nmf,30,20,3,wife,0.4181761385597223
nmf,30,20,4,marriage,0.41769615089512224
nmf,30,20,5,husband,0.3782176865015994
nmf,30,20,6,father,0.3216740147316992
nmf,30,20,7,magistrate,0.31680929838640576
nmf,30,20,8,son,0.31387316875015536
nmf,30,20,9,code,0.25398984601352503
nmf,30,20,10,death,0.24494887584955385
nmf,30,20,11,parents,0.22661131749840738
nmf,30,20,12,mother,0.21270220693033537
nmf,30,20,13,children,0.21088327456297912
nmf,30,20,14,case,0.18960073185524287
nmf,30,20,15,sons,0.17770826639296305
nmf,30,20,16,exogamy,0.16794195850692098
nmf,30,20,17,yu,0.16166597672357624
nmf,30,20,18,property,0.15950665045033557
nmf,30,20,19,upon,0.15710106483251193
nmf,30,20,20,man,0.15508140608283014
nmf,30,21,1,mohammed,1.0139006552354073
nmf,30,21,2,prophet,0.7805915204337185
nmf,30,21,3,moslem,0.46187578623125525
nmf,30,21,4,moslems,0.32950145197479486
nmf,30,21,5,mosque,0.2180796504514609
nmf,30,21,6,arabic,0.20461266087248783
nmf,30,21,7,wakkas,0.19632035130815523
nmf,30,21,8,islam,0.191563063529856
nmf,30,21,9,mecca,0.17720593640312376
nmf,30,21,10,prayer,0.1709478764055151
nmf,30,21,11,abu,0.16728141704120034
nmf,30,21,12,koran,0.14012326144592988
nmf,30,21,13,pp,0.13487444675685778
nmf,30,21,14,ibn,0.13099432325839636
nmf,30,21,15,religion,0.12600741448993483
nmf,30,21,16,year,0.12405528787352452
nmf,30,21,17,faith,0.12337579328229598
nmf,30,21,18,god,0.12161548081417307
nmf,30,21,19,said,0.11840856795157449
nmf,30,21,20,liu,0.10564261586473347
nmf,30,22,1,mm,0.473492469212075
nmf,30,22,2,dip,0.46370474211847706
nmf,30,22,3,magnetic,0.4570442002431648
nmf,30,22,4,observations,0.40793670897319134
nmf,30,22,5,temperature,0.313931096647506
nmf,30,22,6,feb,0.2727578390719641
nmf,30,22,7,mean,0.24053779433597847
nmf,30,22,8,apr,0.2355813246911318
nmf,30,22,9,sept,0.2247937221702658
nmf,30,22,10,aug,0.2173324496714935
nmf,30,22,11,june,0.19517815569378838
nmf,30,22,12,july,0.19126735397529263
nmf,30,22,13,shanghai,0.1907275855540959
nmf,30,22,14,dec,0.1858538026165318
nmf,30,22,15,oct,0.18540166157034985
nmf,30,22,16,needle,0.18254723681078414
nmf,30,22,17,jan,0.1713779437131974
nmf,30,22,18,nov,0.16949908428650665
nmf,30,22,19,variation,0.16791300962549804
nmf,30,22,20,magnetism,0.16368408388382502
nmf,30,23,1,christ,0.635974826452926
nmf,30,23,2,nestorian,0.44269786095492686
nmf,30,23,3,giles,0.4038285559161521
nmf,30,23,4,buddha,0.3625142511327873
nmf,30,23,5,picture,0.3273009182865506
nmf,30,23,6,tzu,0.2863656774676632
