L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
Anthropology and Social Customs,0.09948334668943362,0.10832831783100506,0.08603875784275795,0.11127713845600072,0.11842438311602997,0.01707154121683913,0.24249402837305958,0.216882486474874
Arts and Archaeology,0.22129073598945842,0.10574847479267774,0.10151745037784352,0.22118845589185138,0.09474546243187176,0.013665181205814805,0.09550775493945879,0.14633648437102356
"Economy, Trade, and Technology",0.08575439040335187,0.18103475995099338,0.3915166099394507,0.19732545276261274,0.017794818010343622,0.10524722441197205,0.00803894270807648,0.013287801813199204
Education,0.27849028041877805,0.0,0.3335634075938667,0.06789708016417978,0.0,0.01000168444368655,0.06304284426669932,0.2470047031127896
Geography and Travel,0.08022145361752618,0.2901524289775878,0.16499078995464908,0.13547430617949333,0.05316047656001819,0.09515185947159366,0.05757286592355952,0.12327581931557224
History and Chronology,0.09279080265009299,0.05339958510620797,0.3451907067429135,0.15093022972759176,0.0041655668924541695,0.019865852303477167,0.1996269992720259,0.13403025730523652
Literature and Language,0.2346829281420491,0.06793727282950511,0.05543533504634166,0.20723930280920871,0.11224393727860238,0.011002055397874256,0.06894513650591616,0.2425140319905026
Military | Natural Sciences,0.1215879579965069,0.014237724692581803,0.2640145888935447,0.3748649822973494,0.05953986169689878,0.0,0.14511073907150362,0.02064414535161492
Natural Sciences,0.1015747274122707,0.27141267628949467,0.12223002826401023,0.051814008806767134,0.3006560940699476,0.03012052940553826,0.08472069665870244,0.03747123909326897
"Politics, Government, and Law",0.10670298535285493,0.01484602275716792,0.2817022277385769,0.19466930478494895,0.006857424848516487,0.009439746387998504,0.04119920269934767,0.3445830854305887
Religion and Philosophy,0.09462552890778639,0.048888995420549856,0.05645652596597298,0.1464860951774567,0.009188581346961036,0.009447072959142854,0.11009704526105321,0.524810154961077
