decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
1850s,0.16083190988329157,0.16055793584642047,0.33423859218741,0.035142500339143706,0.11047710434235175,0.007101273909105171,0.045145332225825424,0.14650535126645192
1860s,0.0430728800208683,0.2786927669875834,0.22663057102167217,0.0737558046565765,0.07583161296016826,0.07289707837499552,0.08618869242133348,0.1429305935568024
1870s,0.10938224828226974,0.12961358414407909,0.14328033356551803,0.15514688285078604,0.09552859961779396,0.03655613426012315,0.199015076791957,0.131477140487473
1880s,0.1552196192242264,0.16734897147005945,0.15822912128948566,0.14095643395622165,0.10249284584382423,0.06089518830191017,0.09547548461232051,0.11938233530195196
1890s,0.07506343265524942,0.07856816956899684,0.1918832411355585,0.13653080282414595,0.06351998852041921,0.06319726020994416,0.20781696040494496,0.183420144680741
1900s,0.05882373903209496,0.14616027240842921,0.16978708301908121,0.13207932974464662,0.12038530821979569,0.003380393464568835,0.1493913535085027,0.21999252060288083
1910s,0.17278601277539404,0.14308881731364087,0.06391314112774973,0.12980050922678138,0.16096799344092583,0.013026399582765406,0.08449676281409682,0.23192036371864594
1920s,0.11830527787751399,0.11273912973250812,0.08494795881264354,0.1746130000782257,0.13671170015484763,0.011845271069787689,0.0957083492814841,0.2651293129929892
1930s,0.19447309700213744,0.051985431346814936,0.09619150245831228,0.12380339330376088,0.09964141512604287,0.011203543424602362,0.17752623284917546,0.2451753844891538
1940s,0.016693680789162918,0.08078948917865124,0.05329738420793755,0.186243373813591,0.01788284722913826,0.5076751724388969,0.07259094535536412,0.06482710698725803
