L1,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
Anthropology and Social Customs,0.4567901234567901,0.4691358024691358,0.2962962962962963,0.4444444444444444,0.32098765432098764,0.32098765432098764,0.4074074074074074,0.345679012345679,0.5925925925925926,0.38271604938271603,0.4691358024691358,0.48148148148148145,0.48148148148148145,0.5308641975308642,0.48148148148148145,0.38271604938271603,0.38271604938271603,0.2716049382716049,0.5555555555555556,0.2716049382716049
Arts and Archaeology,0.4918032786885246,0.39344262295081966,0.5573770491803278,0.3770491803278688,0.21311475409836064,0.4262295081967213,0.26229508196721313,0.4098360655737705,0.3442622950819672,0.22950819672131148,0.39344262295081966,0.3442622950819672,0.32786885245901637,0.4262295081967213,0.29508196721311475,0.39344262295081966,0.29508196721311475,0.14754098360655737,0.45901639344262296,0.16393442622950818
"Economy, Trade, and Technology",0.25,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.25,0.25,0.5833333333333334,0.5,0.5,0.3333333333333333,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.5833333333333334,0.08333333333333333,0.25,0.75
Education,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.25,1.0,0.25,0.0,0.25,0.75,0.25,0.25,0.5,0.5,0.0,0.25,0.5
Geography and Travel,0.5342465753424658,0.6164383561643836,0.410958904109589,0.4794520547945205,0.2465753424657534,0.4931506849315068,0.6027397260273972,0.3150684931506849,0.3835616438356164,0.3972602739726027,0.5342465753424658,0.4246575342465753,0.5205479452054794,0.4931506849315068,0.4794520547945205,0.3561643835616438,0.4383561643835616,0.5342465753424658,0.3287671232876712,0.5068493150684932
History and Chronology,0.625,0.6607142857142857,0.25,0.17857142857142858,0.19642857142857142,0.14285714285714285,0.42857142857142855,0.4642857142857143,0.6428571428571429,0.6071428571428571,0.375,0.6607142857142857,0.5892857142857143,0.48214285714285715,0.5714285714285714,0.75,0.625,0.16071428571428573,0.23214285714285715,0.5357142857142857
Literature and Language,0.32653061224489793,0.24489795918367346,0.4897959183673469,0.3469387755102041,0.16326530612244897,0.22448979591836735,0.22448979591836735,0.2857142857142857,0.40816326530612246,0.2857142857142857,0.12244897959183673,0.4489795918367347,0.2857142857142857,0.32653061224489793,0.3877551020408163,0.3877551020408163,0.1836734693877551,0.12244897959183673,0.32653061224489793,0.04081632653061224
Military | Natural Sciences,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.5,1.0
Natural Sciences,0.18699186991869918,0.35772357723577236,0.14634146341463414,0.25203252032520324,0.2032520325203252,0.5447154471544715,0.4959349593495935,0.23577235772357724,0.35772357723577236,0.11382113821138211,0.43902439024390244,0.1951219512195122,0.3252032520325203,0.4715447154471545,0.21951219512195122,0.15447154471544716,0.23577235772357724,0.6178861788617886,0.2764227642276423,0.2926829268292683
"Politics, Government, and Law",0.5294117647058824,0.7058823529411765,0.5882352941176471,0.11764705882352941,0.23529411764705882,0.0,0.17647058823529413,0.4117647058823529,0.8235294117647058,0.7647058823529411,0.35294117647058826,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.5882352941176471,0.9411764705882353,0.0,0.4117647058823529,0.7058823529411765
Religion and Philosophy,0.7564102564102564,0.5128205128205128,0.48717948717948717,0.34615384615384615,0.20512820512820512,0.20512820512820512,0.21794871794871795,0.44871794871794873,0.6538461538461539,0.6282051282051282,0.20512820512820512,0.5384615384615384,0.44871794871794873,0.5641025641025641,0.5512820512820513,0.7435897435897436,0.44871794871794873,0.0641025641025641,0.5769230769230769,0.14102564102564102
