decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
1850s,0.2222222222222222,0.3888888888888889,0.05555555555555555,0.2222222222222222,0.1111111111111111,0.3888888888888889,0.3333333333333333,0.1111111111111111,0.3055555555555556,0.25,0.25,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.2222222222222222,0.3055555555555556,0.2777777777777778,0.3333333333333333,0.19444444444444445,0.3888888888888889
1860s,0.45,0.5,0.15,0.26666666666666666,0.16666666666666666,0.43333333333333335,0.6,0.3333333333333333,0.43333333333333335,0.38333333333333336,0.4166666666666667,0.3333333333333333,0.45,0.48333333333333334,0.38333333333333336,0.36666666666666664,0.31666666666666665,0.38333333333333336,0.18333333333333332,0.48333333333333334
1870s,0.5737704918032787,0.6229508196721312,0.2786885245901639,0.4262295081967213,0.36065573770491804,0.32786885245901637,0.5081967213114754,0.45901639344262296,0.6065573770491803,0.4918032786885246,0.5245901639344263,0.5901639344262295,0.5081967213114754,0.5901639344262295,0.5245901639344263,0.5573770491803278,0.4426229508196721,0.29508196721311475,0.47540983606557374,0.39344262295081966
1880s,0.2978723404255319,0.425531914893617,0.35106382978723405,0.2765957446808511,0.3191489361702128,0.3191489361702128,0.3723404255319149,0.39361702127659576,0.4148936170212766,0.2978723404255319,0.3617021276595745,0.425531914893617,0.425531914893617,0.43617021276595747,0.26595744680851063,0.35106382978723405,0.40425531914893614,0.3404255319148936,0.24468085106382978,0.4148936170212766
1890s,0.475,0.5,0.225,0.225,0.325,0.175,0.325,0.425,0.575,0.375,0.475,0.55,0.625,0.575,0.525,0.475,0.4,0.2,0.425,0.45
1900s,0.6451612903225806,0.7096774193548387,0.41935483870967744,0.45161290322580644,0.22580645161290322,0.3548387096774194,0.5161290322580645,0.5161290322580645,0.6129032258064516,0.6129032258064516,0.45161290322580644,0.6129032258064516,0.6451612903225806,0.6129032258064516,0.6774193548387096,0.5483870967741935,0.5806451612903226,0.3225806451612903,0.45161290322580644,0.41935483870967744
1910s,0.48514851485148514,0.3564356435643564,0.4752475247524752,0.33663366336633666,0.19801980198019803,0.4158415841584158,0.31683168316831684,0.32673267326732675,0.48514851485148514,0.3069306930693069,0.37623762376237624,0.36633663366336633,0.38613861386138615,0.49504950495049505,0.3564356435643564,0.38613861386138615,0.3564356435643564,0.27722772277227725,0.46534653465346537,0.1782178217821782
1920s,0.5106382978723404,0.475177304964539,0.475177304964539,0.3829787234042553,0.16312056737588654,0.3333333333333333,0.3475177304964539,0.3191489361702128,0.5177304964539007,0.41843971631205673,0.2978723404255319,0.4397163120567376,0.40425531914893614,0.46808510638297873,0.48226950354609927,0.48226950354609927,0.41134751773049644,0.2907801418439716,0.48936170212765956,0.1773049645390071
1930s,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.125,0.20833333333333334,0.25,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.125,0.20833333333333334,0.25,0.20833333333333334,0.375,0.25,0.2916666666666667,0.25,0.16666666666666666,0.5,0.041666666666666664
1940s,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
