model,K,anchor_strength,topic_id,rank,word,weight
corex_anchored,20,3.0,0,1,temple,0.40470230699795257
corex_anchored,20,3.0,0,2,buddhist,0.3197797098451832
corex_anchored,20,3.0,0,3,buddhism,0.2804758736797868
corex_anchored,20,3.0,0,4,everything,0.2287822439203199
corex_anchored,20,3.0,0,5,things,0.22354397036036172
corex_anchored,20,3.0,0,6,men,0.21750679767177578
corex_anchored,20,3.0,0,7,story,0.21647458318540236
corex_anchored,20,3.0,0,8,evil,0.21577738785911166
corex_anchored,20,3.0,0,9,life,0.2114504477978995
corex_anchored,20,3.0,0,10,thought,0.20457889206497282
corex_anchored,20,3.0,0,11,nothing,0.2042943401287362
corex_anchored,20,3.0,0,12,saying,0.20130200717499913
corex_anchored,20,3.0,0,13,ritual,0.19907921318080318
corex_anchored,20,3.0,0,14,asked,0.19720732159958337
corex_anchored,20,3.0,0,15,heart,0.19435151447519322
corex_anchored,20,3.0,0,16,person,0.19321515240234377
corex_anchored,20,3.0,0,17,says,0.18527501779476446
corex_anchored,20,3.0,0,18,man,0.18298016443730264
corex_anchored,20,3.0,0,19,spirit,0.18283800320413857
corex_anchored,20,3.0,0,20,saw,0.17700695979565595
corex_anchored,20,3.0,1,1,trade,0.45699794714467656
corex_anchored,20,3.0,1,2,customs,0.3518667756753069
corex_anchored,20,3.0,1,3,treaty,0.23921304079562572
corex_anchored,20,3.0,1,4,passed,0.2163564701149332
corex_anchored,20,3.0,1,5,took,0.2112049618582501
corex_anchored,20,3.0,1,6,went,0.21037437172621126
corex_anchored,20,3.0,1,7,carried,0.20059774211650983
corex_anchored,20,3.0,1,8,state,0.19021659404969887
corex_anchored,20,3.0,1,9,since,0.18805266703140816
corex_anchored,20,3.0,1,10,back,0.187946877257204
corex_anchored,20,3.0,1,11,gave,0.1844400554090329
corex_anchored,20,3.0,1,12,open,0.1837467220675187
corex_anchored,20,3.0,1,13,became,0.18220611621131927
corex_anchored,20,3.0,1,14,reached,0.17929616102383494
corex_anchored,20,3.0,1,15,days,0.1785216385317447
corex_anchored,20,3.0,1,16,city,0.1771012519524034
corex_anchored,20,3.0,1,17,land,0.17582936763611895
corex_anchored,20,3.0,1,18,commerce,0.17563991496233827
corex_anchored,20,3.0,1,19,taking,0.17469540573559872
corex_anchored,20,3.0,1,20,entered,0.17257941489170558
corex_anchored,20,3.0,2,1,shih,0.2946621555295289
corex_anchored,20,3.0,2,2,yuan,0.2612018703187884
corex_anchored,20,3.0,2,3,tzu,0.2566279329574754
corex_anchored,20,3.0,2,4,hsi,0.2500481144762751
corex_anchored,20,3.0,2,5,ch,0.23166674771445533
corex_anchored,20,3.0,2,6,chih,0.22683465212064075
corex_anchored,20,3.0,2,7,huang,0.22026979946619074
corex_anchored,20,3.0,2,8,chien,0.21601579232919466
corex_anchored,20,3.0,2,9,hsien,0.2071784690133171
corex_anchored,20,3.0,2,10,ching,0.20671410270759405
corex_anchored,20,3.0,2,11,chi,0.20649725871801367
corex_anchored,20,3.0,2,12,hsiang,0.20634975273454795
corex_anchored,20,3.0,2,13,ssu,0.2035683434407754
corex_anchored,20,3.0,2,14,chia,0.19944256204896343
corex_anchored,20,3.0,2,15,chin,0.19532234712082797
corex_anchored,20,3.0,2,16,chou,0.19426313982889354
corex_anchored,20,3.0,2,17,ao,0.1920280183928405
corex_anchored,20,3.0,2,18,feng,0.18894575790101537
corex_anchored,20,3.0,2,19,fu,0.18616407761344006
corex_anchored,20,3.0,2,20,ai,0.18574864633446736
corex_anchored,20,3.0,3,1,foot,0.21300859014114332
corex_anchored,20,3.0,3,2,hair,0.1775930332922247
corex_anchored,20,3.0,3,3,bright,0.15752424008778543
corex_anchored,20,3.0,3,4,fish,0.1551313873008992
