L2,rank,term,tfidf_score
Agriculture,1,salt,0.11620026356685202
Agriculture,2,chinese,0.09167926297245829
Agriculture,3,river,0.08675939942762753
Agriculture,4,min,0.085736900234721
Agriculture,5,water,0.08515232742208702
Agriculture,6,one,0.08322876950290582
Agriculture,7,dam,0.08318398659139321
Agriculture,8,deg,0.06917483995994773
Agriculture,9,china,0.06673991698270007
Agriculture,10,shuh,0.06436131839523772
Agriculture,11,made,0.06308669074831448
Agriculture,12,shan,0.061674652227741676
Agriculture,13,cotton,0.06043763271016348
Agriculture,14,two,0.05976399040366922
Agriculture,15,samshu,0.05963900442660526
Agriculture,16,millet,0.05959015581784261
Agriculture,17,large,0.05732562555124088
Agriculture,18,lui,0.055086546883073975
Agriculture,19,chemical,0.05498421979211693
Agriculture,20,une,0.05437507136574165
Agriculture,21,plus,0.05437507136574165
Agriculture,22,seals,0.05386839544504432
Agriculture,23,time,0.05073581916051201
Agriculture,24,miles,0.05059050440931785
Agriculture,25,feet,0.049562675240073226
Agriculture,26,sea,0.04950313276380295
Agriculture,27,found,0.04777677445310242
Agriculture,28,coal,0.04744492984522997
Agriculture,29,kwanhsien,0.047033271134981416
Agriculture,30,works,0.04622935444382374
Antiquities,1,rock,0.10648555386958426
Antiquities,2,worship,0.07426691104929785
Antiquities,3,tombs,0.0662459690229558
Antiquities,4,chow,0.056929460634978835
Antiquities,5,stone,0.05609873977719468
Antiquities,6,hsien,0.05458482841977551
Antiquities,7,year,0.05448876046720597
Antiquities,8,characters,0.05130414602994575
Antiquities,9,phallism,0.049511274032865225
Antiquities,10,hill,0.0485349667157208
Antiquities,11,hier,0.0469325618436535
Antiquities,12,sacred,0.0469325618436535
Antiquities,13,north,0.04353899135573394
Antiquities,14,table,0.043313014489618606
Antiquities,15,tablet,0.042994909262666706
Antiquities,16,side,0.04244181291464735
Antiquities,17,yentai,0.04236816381675639
Antiquities,18,shrine,0.041259395027387694
Antiquities,19,inscriptions,0.041121374284993184
Antiquities,20,vessel,0.040663900453556306
Antiquities,21,may,0.03996357617720235
Antiquities,22,chinese,0.03989874495244633
Antiquities,23,memory,0.03953259310068987
Antiquities,24,swatow,0.039110468203044584
Antiquities,25,ruht,0.039110468203044584
Antiquities,26,island,0.039110468203044584
Antiquities,27,den,0.039110468203044584
Antiquities,28,written,0.038162514634388
Antiquities,29,tsu,0.0349206828756409
Antiquities,30,yumoto,0.033007516021910155
Archaeology,1,one,0.07603119010401915
Archaeology,2,chinese,0.07262272219704209
Archaeology,3,ancient,0.05809644407772213
Archaeology,4,found,0.051581228838548175
Archaeology,5,china,0.04998627831316616
Archaeology,6,cambodia,0.048599294435304634
Archaeology,7,dynasty,0.04762873177764213
Archaeology,8,may,0.04655075065911674
Archaeology,9,city,0.0445094833763819
Archaeology,10,temple,0.044015300321876664
Archaeology,11,great,0.04322433619094232
Archaeology,12,stone,0.04125410114138288
Archaeology,13,two,0.04088061990734164
Archaeology,14,first,0.04067582897268471
Archaeology,15,bones,0.03649490064927519
Archaeology,16,kambodia,0.03571547295387704
Archaeology,17,putoshan,0.0352464190716646
Archaeology,18,time,0.03458711449786491
Archaeology,19,name,0.03382463135090559
Archaeology,20,many,0.03351004374114356
Archaeology,21,also,0.03324947083370137
Archaeology,22,characters,0.032211049020287645
Archaeology,23,priest,0.032063214766685555
Archaeology,24,shuh,0.03180789866521715
Archaeology,25,country,0.030253482901139984
Archaeology,26,king,0.030172626386624334
Archaeology,27,emperor,0.029657193951934432
Archaeology,28,situated,0.029472679045555512
Archaeology,29,people,0.02886486582281909
Archaeology,30,year,0.027327654491182716
Architecture,1,chinese,0.07463139335510144
Architecture,2,architecture,0.042120950719765654
Architecture,3,one,0.04149831790536876
Architecture,4,ling,0.040803671359143624
Architecture,5,pagodas,0.03798237604118473
Architecture,6,tent,0.037938301492816476
Architecture,7,hall,0.033026291639970964
Architecture,8,roof,0.03215864725580871
Architecture,9,essays,0.030155094853875006
Architecture,10,would,0.029674388174921358
Architecture,11,examination,0.02794436626480161
Architecture,12,feet,0.02782774191388733
Architecture,13,china,0.026999699502133146
Architecture,14,two,0.025416789835897072
Architecture,15,buildings,0.025136884256504285
Architecture,16,also,0.02492525146110734
Architecture,17,rooms,0.024279491635698775
Architecture,18,members,0.023955129888719617
Architecture,19,pagoda,0.02364159330747297
Architecture,20,tents,0.023585599051798238
Architecture,21,stages,0.022863436407184197
Architecture,22,emperor,0.022745376479143542
Architecture,23,entrance,0.021245044940505456
Architecture,24,tower,0.021119630035949265
Architecture,25,cells,0.01951212019956618
Architecture,26,hsi,0.01904192658572649
Architecture,27,first,0.0190254512757973
Architecture,28,great,0.018857282728891388
Architecture,29,like,0.01865715969925187
Architecture,30,theory,0.01828671249300647
Art,1,chinese,0.16806647829601454
Art,2,art,0.1292798673459555
Art,3,bottles,0.12926737965262924
Art,4,china,0.09703712212422669
Art,5,one,0.08563954101617308
Art,6,paper,0.07898179455875516
Art,7,greek,0.06928995086149198
Art,8,rubbings,0.06878568088387045
Art,9,wares,0.06762449579900014
Art,10,pictures,0.06453748258680383
Art,11,porcelain,0.06228998483392144
Art,12,colour,0.06191765707220471
Art,13,found,0.05946354573527103
Art,14,work,0.05889201664558394
Art,15,may,0.0580212148938073
Art,16,egypt,0.05370507035604225
Art,17,iacovleff,0.0510218660870841
Art,18,used,0.04956367347185403
Art,19,dial,0.04863339842339697
Art,20,inscriptions,0.04729246103225715
Art,21,nature,0.04473449378193337
Art,22,silk,0.0435735740182949
Art,23,human,0.04324823709321529
Art,24,made,0.043075476978102226
Art,25,ancient,0.04195284473095395
Art,26,life,0.040921739640929
Art,27,small,0.040834400511873474
Art,28,red,0.03850005384210378
Art,29,also,0.03838139559754066
Art,30,time,0.03661595073488245
Asia,1,fol,0.5800699922466656
Asia,2,shih,0.38743668279511406
Asia,3,ahmad,0.08053745615536319
Asia,4,iii,0.06995374295560366
Asia,5,xiii,0.05702890643051203
Asia,6,vii,0.05673357289125511
Asia,7,xii,0.05673357289125511
Asia,8,viii,0.05673357289125511
Asia,9,history,0.05079854301709176
Asia,10,sung,0.04822781289612733
Asia,11,yen,0.04793823395565173
Asia,12,made,0.04328681338899726
Asia,13,one,0.04015944504518349
Asia,14,historical,0.03589191638954451
Asia,15,monk,0.03436944063102453
Asia,16,dynasty,0.03417762168184857
Asia,17,october,0.031711438777712216
Asia,18,clan,0.02998017555240157
Asia,19,chinese,0.026531073990037332
Asia,20,historian,0.026307107686709987
Asia,21,kao,0.026179323268856032
Asia,22,ssu,0.02335621740885833
Asia,23,son,0.023128698120914903
Asia,24,first,0.022586728913699474
Asia,25,great,0.022561454299165652
Asia,26,may,0.021993904594021802
Asia,27,finchan,0.021544581688792606
Asia,28,sons,0.0210941980414258
Asia,29,two,0.020966198824763853
Asia,30,kau,0.02095391461027876
"Associations, institutions, etc.",1,society,0.02825
"Associations, institutions, etc.",2,esq,0.019
"Associations, institutions, etc.",3,years,0.016
"Associations, institutions, etc.",4,chinese,0.01325
"Associations, institutions, etc.",5,china,0.012
"Associations, institutions, etc.",6,president,0.00875
"Associations, institutions, etc.",7,rev,0.00725
"Associations, institutions, etc.",8,first,0.007
"Associations, institutions, etc.",9,many,0.007
"Associations, institutions, etc.",10,honorary,0.00675
"Associations, institutions, etc.",11,sir,0.00675
"Associations, institutions, etc.",12,members,0.006500000000000001
"Associations, institutions, etc.",13,journal,0.00625
"Associations, institutions, etc.",14,member,0.006
"Associations, institutions, etc.",15,shanghai,0.00575
"Associations, institutions, etc.",16,time,0.0055
"Associations, institutions, etc.",17,work,0.0055
"Associations, institutions, etc.",18,one,0.005
"Associations, institutions, etc.",19,joined,0.00375
"Associations, institutions, etc.",20,became,0.00375
"Associations, institutions, etc.",21,much,0.00375
"Associations, institutions, etc.",22,asiatic,0.00375
"Associations, institutions, etc.",23,present,0.0035
"Associations, institutions, etc.",24,contributed,0.0035
"Associations, institutions, etc.",25,library,0.0035
"Associations, institutions, etc.",26,meeting,0.0035
"Associations, institutions, etc.",27,may,0.0035
