decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1850s,0.19444444444444445,0.2222222222222222,0.3333333333333333,0.3055555555555556,0.3055555555555556,0.3888888888888889,0.2777777777777778,0.08333333333333333,0.4166666666666667,0.25
1860s,0.38333333333333336,0.38333333333333336,0.48333333333333334,0.38333333333333336,0.4,0.4666666666666667,0.35,0.26666666666666666,0.45,0.36666666666666664
1870s,0.5245901639344263,0.6229508196721312,0.639344262295082,0.5737704918032787,0.4262295081967213,0.4262295081967213,0.29508196721311475,0.36065573770491804,0.5081967213114754,0.3442622950819672
1880s,0.2765957446808511,0.3191489361702128,0.3723404255319149,0.3829787234042553,0.3191489361702128,0.44680851063829785,0.30851063829787234,0.35106382978723405,0.4148936170212766,0.3829787234042553
1890s,0.5,0.425,0.5,0.475,0.425,0.525,0.175,0.425,0.6,0.325
1900s,0.7096774193548387,0.5806451612903226,0.6451612903225806,0.6129032258064516,0.5161290322580645,0.41935483870967744,0.3870967741935484,0.41935483870967744,0.7096774193548387,0.16129032258064516
1910s,0.4158415841584158,0.4752475247524752,0.33663366336633666,0.42574257425742573,0.40594059405940597,0.31683168316831684,0.3069306930693069,0.32673267326732675,0.3069306930693069,0.16831683168316833
1920s,0.48936170212765956,0.5319148936170213,0.4326241134751773,0.46808510638297873,0.41843971631205673,0.3120567375886525,0.2765957446808511,0.3262411347517731,0.3617021276595745,0.1276595744680851
1930s,0.25,0.2916666666666667,0.125,0.2916666666666667,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.16666666666666666,0.125,0.125
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
