decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14
1850s,0.2777777777777778,0.2777777777777778,0.1388888888888889,0.2222222222222222,0.3611111111111111,0.3055555555555556,0.3055555555555556,0.4444444444444444,0.08333333333333333,0.3888888888888889,0.2222222222222222,0.19444444444444445,0.25,0.2777777777777778,0.2222222222222222
1860s,0.4,0.4666666666666667,0.38333333333333336,0.38333333333333336,0.5166666666666667,0.5166666666666667,0.38333333333333336,0.5,0.25,0.36666666666666664,0.4,0.15,0.31666666666666665,0.43333333333333335,0.4166666666666667
1870s,0.5573770491803278,0.32786885245901637,0.5409836065573771,0.5409836065573771,0.36065573770491804,0.5245901639344263,0.5901639344262295,0.5901639344262295,0.4262295081967213,0.36065573770491804,0.5737704918032787,0.47540983606557374,0.3770491803278688,0.5901639344262295,0.45901639344262296
1880s,0.3404255319148936,0.30851063829787234,0.2978723404255319,0.3829787234042553,0.425531914893617,0.3191489361702128,0.3829787234042553,0.43617021276595747,0.35106382978723405,0.5,0.30851063829787234,0.35106382978723405,0.24468085106382978,0.30851063829787234,0.3829787234042553
1890s,0.5,0.175,0.425,0.625,0.375,0.45,0.575,0.6,0.425,0.4,0.45,0.45,0.325,0.3,0.45
1900s,0.7096774193548387,0.45161290322580644,0.6129032258064516,0.5483870967741935,0.41935483870967744,0.6451612903225806,0.6129032258064516,0.7096774193548387,0.41935483870967744,0.5806451612903226,0.6129032258064516,0.2903225806451613,0.5806451612903226,0.5161290322580645,0.5161290322580645
1910s,0.3465346534653465,0.3465346534653465,0.43564356435643564,0.5148514851485149,0.27722772277227725,0.37623762376237624,0.42574257425742573,0.39603960396039606,0.3465346534653465,0.2871287128712871,0.43564356435643564,0.22772277227722773,0.44554455445544555,0.3465346534653465,0.48514851485148514
1920s,0.48226950354609927,0.3049645390070922,0.46099290780141844,0.5106382978723404,0.23404255319148937,0.45390070921985815,0.49645390070921985,0.46099290780141844,0.3333333333333333,0.3191489361702128,0.45390070921985815,0.24113475177304963,0.46808510638297873,0.3900709219858156,0.48936170212765956
1930s,0.16666666666666666,0.125,0.20833333333333334,0.4583333333333333,0.125,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.2916666666666667,0.25,0.5
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
