decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
1850s,0.2222222222222222,0.19444444444444445,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.2222222222222222,0.25,0.3611111111111111,0.2777777777777778,0.25,0.25,0.2222222222222222,0.25,0.1111111111111111,0.05555555555555555,0.3611111111111111,0.3333333333333333,0.08333333333333333,0.2777777777777778,0.2777777777777778
1860s,0.36666666666666664,0.4,0.5333333333333333,0.45,0.4,0.36666666666666664,0.3333333333333333,0.4666666666666667,0.5166666666666667,0.4166666666666667,0.35,0.18333333333333332,0.5,0.16666666666666666,0.2,0.4666666666666667,0.5666666666666667,0.31666666666666665,0.4166666666666667,0.45
1870s,0.5573770491803278,0.47540983606557374,0.5901639344262295,0.5245901639344263,0.6065573770491803,0.6229508196721312,0.45901639344262296,0.3770491803278688,0.5409836065573771,0.5081967213114754,0.3114754098360656,0.4918032786885246,0.5901639344262295,0.3442622950819672,0.3770491803278688,0.5737704918032787,0.47540983606557374,0.36065573770491804,0.2786885245901639,0.5081967213114754
1880s,0.2765957446808511,0.24468085106382978,0.44680851063829785,0.32978723404255317,0.46808510638297873,0.3617021276595745,0.3191489361702128,0.425531914893617,0.3829787234042553,0.35106382978723405,0.2978723404255319,0.2765957446808511,0.3404255319148936,0.3191489361702128,0.3829787234042553,0.3829787234042553,0.35106382978723405,0.3404255319148936,0.35106382978723405,0.46808510638297873
1890s,0.525,0.375,0.575,0.575,0.575,0.525,0.35,0.475,0.35,0.25,0.175,0.4,0.5,0.35,0.35,0.55,0.325,0.4,0.275,0.525
1900s,0.6451612903225806,0.5806451612903226,0.6129032258064516,0.6774193548387096,0.6774193548387096,0.5483870967741935,0.5806451612903226,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.3548387096774194,0.45161290322580644,0.6451612903225806,0.22580645161290322,0.3225806451612903,0.6129032258064516,0.45161290322580644,0.3870967741935484,0.3548387096774194,0.5161290322580645
1910s,0.40594059405940597,0.36633663366336633,0.5346534653465347,0.3564356435643564,0.33663366336633666,0.46534653465346537,0.42574257425742573,0.1782178217821782,0.3564356435643564,0.37623762376237624,0.37623762376237624,0.504950495049505,0.4158415841584158,0.19801980198019803,0.43564356435643564,0.39603960396039606,0.2871287128712871,0.1485148514851485,0.25742574257425743,0.3465346534653465
1920s,0.46099290780141844,0.4397163120567376,0.5460992907801419,0.4326241134751773,0.4326241134751773,0.48936170212765956,0.48226950354609927,0.19858156028368795,0.36879432624113473,0.3829787234042553,0.2907801418439716,0.49645390070921985,0.46099290780141844,0.1702127659574468,0.45390070921985815,0.46099290780141844,0.3333333333333333,0.19148936170212766,0.2198581560283688,0.3829787234042553
1930s,0.25,0.16666666666666666,0.375,0.16666666666666666,0.041666666666666664,0.4583333333333333,0.3333333333333333,0.041666666666666664,0.25,0.20833333333333334,0.16666666666666666,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.2916666666666667,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.25
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
