decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24
1850s,0.19444444444444445,0.3888888888888889,0.3055555555555556,0.2777777777777778,0.19444444444444445,0.25,0.2222222222222222,0.08333333333333333,0.3888888888888889,0.3333333333333333,0.3611111111111111,0.3055555555555556,0.2777777777777778,0.25,0.4722222222222222,0.16666666666666666,0.19444444444444445,0.25,0.2777777777777778,0.3055555555555556,0.05555555555555555,0.1388888888888889,0.3055555555555556,0.3055555555555556,0.3333333333333333
1860s,0.3333333333333333,0.5,0.45,0.35,0.4,0.4,0.2833333333333333,0.3,0.4,0.4166666666666667,0.4666666666666667,0.5666666666666667,0.36666666666666664,0.2833333333333333,0.4666666666666667,0.1,0.3,0.43333333333333335,0.48333333333333334,0.48333333333333334,0.08333333333333333,0.3,0.4,0.45,0.45
1870s,0.4426229508196721,0.6065573770491803,0.6065573770491803,0.5409836065573771,0.5901639344262295,0.5901639344262295,0.4426229508196721,0.4262295081967213,0.29508196721311475,0.47540983606557374,0.3770491803278688,0.5901639344262295,0.45901639344262296,0.32786885245901637,0.36065573770491804,0.4098360655737705,0.39344262295081966,0.47540983606557374,0.4918032786885246,0.3770491803278688,0.14754098360655737,0.45901639344262296,0.5737704918032787,0.4262295081967213,0.5409836065573771
1880s,0.23404255319148937,0.4148936170212766,0.43617021276595747,0.39361702127659576,0.32978723404255317,0.30851063829787234,0.35106382978723405,0.39361702127659576,0.3191489361702128,0.2872340425531915,0.4148936170212766,0.35106382978723405,0.39361702127659576,0.22340425531914893,0.425531914893617,0.2978723404255319,0.2127659574468085,0.39361702127659576,0.35106382978723405,0.39361702127659576,0.2127659574468085,0.4148936170212766,0.3723404255319149,0.3723404255319149,0.39361702127659576
1890s,0.4,0.55,0.55,0.575,0.425,0.475,0.4,0.4,0.175,0.45,0.375,0.375,0.475,0.275,0.425,0.375,0.325,0.5,0.3,0.225,0.125,0.5,0.5,0.5,0.35
1900s,0.5161290322580645,0.6774193548387096,0.6774193548387096,0.5483870967741935,0.6774193548387096,0.6774193548387096,0.41935483870967744,0.3870967741935484,0.3225806451612903,0.5806451612903226,0.3225806451612903,0.6774193548387096,0.6451612903225806,0.5161290322580645,0.41935483870967744,0.22580645161290322,0.41935483870967744,0.45161290322580644,0.5483870967741935,0.5161290322580645,0.0,0.4838709677419355,0.5806451612903226,0.5161290322580645,0.45161290322580644
1910s,0.46534653465346537,0.45544554455445546,0.33663366336633666,0.46534653465346537,0.3465346534653465,0.40594059405940597,0.4158415841584158,0.3564356435643564,0.3564356435643564,0.36633663366336633,0.26732673267326734,0.38613861386138615,0.3564356435643564,0.32673267326732675,0.1782178217821782,0.21782178217821782,0.3465346534653465,0.43564356435643564,0.4158415841584158,0.21782178217821782,0.07920792079207921,0.4158415841584158,0.44554455445544555,0.39603960396039606,0.2871287128712871
1920s,0.5035460992907801,0.5390070921985816,0.475177304964539,0.48226950354609927,0.46808510638297873,0.49645390070921985,0.46808510638297873,0.3262411347517731,0.2978723404255319,0.3971631205673759,0.2198581560283688,0.40425531914893614,0.3829787234042553,0.3262411347517731,0.14184397163120568,0.1773049645390071,0.3829787234042553,0.4326241134751773,0.5035460992907801,0.2553191489361702,0.07092198581560284,0.46099290780141844,0.3829787234042553,0.3546099290780142,0.24822695035460993
1930s,0.3333333333333333,0.2916666666666667,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.4583333333333333,0.125,0.20833333333333334,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.20833333333333334,0.3333333333333333,0.20833333333333334,0.041666666666666664,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.125
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
