decade,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29
1850s,0.25,0.19444444444444445,0.08333333333333333,0.3888888888888889,0.3055555555555556,0.19444444444444445,0.19444444444444445,0.3333333333333333,0.3611111111111111,0.25,0.19444444444444445,0.2222222222222222,0.19444444444444445,0.4166666666666667,0.2222222222222222,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.05555555555555555,0.4722222222222222,0.25,0.19444444444444445,0.2777777777777778,0.2777777777777778,0.4166666666666667,0.5277777777777778,0.19444444444444445,0.4166666666666667,0.2222222222222222
1860s,0.4,0.38333333333333336,0.2833333333333333,0.45,0.5,0.31666666666666665,0.3,0.5166666666666667,0.5,0.4666666666666667,0.15,0.45,0.2833333333333333,0.38333333333333336,0.48333333333333334,0.4666666666666667,0.43333333333333335,0.48333333333333334,0.35,0.08333333333333333,0.45,0.43333333333333335,0.36666666666666664,0.25,0.3,0.48333333333333334,0.7333333333333333,0.45,0.45,0.35
1870s,0.5409836065573771,0.5409836065573771,0.4426229508196721,0.3442622950819672,0.5573770491803278,0.3770491803278688,0.4262295081967213,0.5573770491803278,0.3770491803278688,0.6229508196721312,0.45901639344262296,0.6721311475409836,0.5573770491803278,0.4918032786885246,0.6065573770491803,0.39344262295081966,0.5245901639344263,0.4098360655737705,0.32786885245901637,0.14754098360655737,0.47540983606557374,0.5737704918032787,0.6229508196721312,0.4098360655737705,0.4098360655737705,0.47540983606557374,0.639344262295082,0.3442622950819672,0.3442622950819672,0.4918032786885246
1880s,0.2872340425531915,0.2978723404255319,0.3829787234042553,0.3404255319148936,0.43617021276595747,0.2978723404255319,0.2553191489361702,0.3617021276595745,0.425531914893617,0.5,0.39361702127659576,0.30851063829787234,0.32978723404255317,0.3404255319148936,0.3829787234042553,0.2978723404255319,0.3723404255319149,0.46808510638297873,0.44680851063829785,0.2127659574468085,0.3723404255319149,0.3404255319148936,0.3723404255319149,0.2872340425531915,0.32978723404255317,0.4148936170212766,0.4148936170212766,0.3617021276595745,0.3404255319148936,0.30851063829787234
1890s,0.525,0.375,0.425,0.225,0.575,0.25,0.475,0.525,0.375,0.75,0.425,0.475,0.525,0.525,0.525,0.25,0.475,0.425,0.35,0.15,0.475,0.4,0.475,0.4,0.425,0.35,0.5,0.35,0.35,0.375
1900s,0.6451612903225806,0.6451612903225806,0.3870967741935484,0.45161290322580644,0.6451612903225806,0.5161290322580645,0.5161290322580645,0.5806451612903226,0.3225806451612903,0.6451612903225806,0.3225806451612903,0.6774193548387096,0.5483870967741935,0.6451612903225806,0.6451612903225806,0.45161290322580644,0.6129032258064516,0.5483870967741935,0.3548387096774194,0.12903225806451613,0.6451612903225806,0.4838709677419355,0.5806451612903226,0.5806451612903226,0.5161290322580645,0.45161290322580644,0.4838709677419355,0.5483870967741935,0.5483870967741935,0.4838709677419355
1910s,0.46534653465346537,0.33663366336633666,0.36633663366336633,0.36633663366336633,0.5148514851485149,0.33663366336633666,0.504950495049505,0.33663366336633666,0.2871287128712871,0.6039603960396039,0.2376237623762376,0.3465346534653465,0.4752475247524752,0.297029702970297,0.44554455445544555,0.39603960396039606,0.45544554455445546,0.2871287128712871,0.13861386138613863,0.12871287128712872,0.36633663366336633,0.43564356435643564,0.42574257425742573,0.27722772277227725,0.4752475247524752,0.32673267326732675,0.18811881188118812,0.24752475247524752,0.1782178217821782,0.36633663366336633
1920s,0.524822695035461,0.4326241134751773,0.3900709219858156,0.3262411347517731,0.524822695035461,0.4326241134751773,0.524822695035461,0.3333333333333333,0.23404255319148937,0.6453900709219859,0.2127659574468085,0.475177304964539,0.48226950354609927,0.3900709219858156,0.49645390070921985,0.3617021276595745,0.5319148936170213,0.3049645390070922,0.14184397163120568,0.12056737588652482,0.45390070921985815,0.46808510638297873,0.41843971631205673,0.3900709219858156,0.4326241134751773,0.3546099290780142,0.12056737588652482,0.3404255319148936,0.19148936170212766,0.3617021276595745
1930s,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.2916666666666667,0.16666666666666666,0.5416666666666666,0.125,0.125,0.75,0.2916666666666667,0.08333333333333333,0.4166666666666667,0.125,0.375,0.125,0.20833333333333334,0.08333333333333333,0.08333333333333333,0.125,0.25,0.3333333333333333,0.25,0.2916666666666667,0.5,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.041666666666666664,0.20833333333333334
1940s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
