left_model,left_K,left_topic_id,right_model,right_K,right_topic_id,jaccard_top_words,overlapping_words
bertopic_chunk_dual_stopworded,,0,bertopic,,0,1.0,breadth; chinensis; chusan; cochin; folio; genus; infra; sinensis; tab; var
nmf,10,8,nmf,12,8,1.0,cash; coin; coinage; coins; copper; currency; gold; mint; money; obverse; per; reverse; salt; silver; tael; taels; tax; tls; value; weight
lda,12,8,lda,15,8,1.0,canton; chinensis; cochin; cultivated; et; fig; fl; folio; hgk; leaves; linn; lour; name; osb; plant; plants; see; sin; tab; tree
bertopic_chunk_dual_stopworded,,24,bertopic,,24,1.0,heen; iii iii; itinerary; kabaran; keang; mun; tsz; tze; yeh; yukan
bertopic_chunk_dual_stopworded,,25,bertopic,,25,1.0,attraction; axis; dip; hemisphere; magnetic; magnetism; nucleus; periodical; terrestrial; terrestrial magnetism
nmf,10,3,nmf,12,3,1.0,ai; ang; ch; city; dynasty; emperor; fu; han; huang; ien; ing; lu; shih; sung; ts; tsung; wang; wu; yu; yuan
nmf,10,5,nmf,12,5,1.0,après; autres; aux; bien; cette; chine; deux; dont; leurs; lui; ne; on; ont; plus; qu; quelques; se; un; une; était
bertopic_chunk_dual_stopworded,,2,bertopic,,2,1.0,altar; architecture; coffin; marble; monuments; offerings; pagodas; pillars; terrace; towers
nmf,10,5,nmf,15,5,1.0,après; autres; aux; bien; cette; chine; deux; dont; leurs; lui; ne; on; ont; plus; qu; quelques; se; un; une; était
nmf,10,5,nmf,20,5,1.0,après; autres; aux; bien; cette; chine; deux; dont; leurs; lui; ne; on; ont; plus; qu; quelques; se; un; une; était
nmf,10,5,nmf,25,5,1.0,après; autres; aux; bien; cette; chine; deux; dont; leurs; lui; ne; on; ont; plus; qu; quelques; se; un; une; était
nmf,10,5,nmf,30,5,1.0,après; autres; aux; bien; cette; chine; deux; dont; leurs; lui; ne; on; ont; plus; qu; quelques; se; un; une; était
lda,15,2,lda,20,2,1.0,annual; asia; aug; dec; eastern; feb; jan; july; june; mean; mm; nov; observations; oct; peking; sea; sept; table; temperature; year
lda,10,8,lda,12,8,1.0,canton; chinensis; cochin; cultivated; et; fig; fl; folio; hgk; leaves; linn; lour; name; osb; plant; plants; see; sin; tab; tree
lda,10,8,lda,15,8,1.0,canton; chinensis; cochin; cultivated; et; fig; fl; folio; hgk; leaves; linn; lour; name; osb; plant; plants; see; sin; tab; tree
bertopic_chunk_dual_stopworded,,23,bertopic,,23,1.0,islam; jews; koran; mecca; medina; mohammed; moslem; moslems; mosque; prophet
nmf,25,22,nmf,30,23,1.0,buddha; buddhist; christ; confucius; giles; god; holy; jesus; kneeling; lao; mother; nestorian; picture; portraits; priest; priests; professor; tai; trinity; tzu
nmf,25,23,nmf,30,24,1.0,anterior; aperture; bristle; bristles; broad; curved; dorsal; edge; fig; figure; hairs; length; plate; posterior; side; slender; slightly; specimens; tarsus; ventral
