model,K,topic_id,top_words,representative_documents,dominant_decades,dominant_L1,dominant_L2,suggested_label,researcher_label,interpretation_notes,keep_merge_drop
bertopic_chunk_dual_stopworded,,0,cochin; tab; chinensis; folio; sinensis; var; genus; breadth; chusan; infra,,,,,,,,
bertopic_chunk_dual_stopworded,,1,coal; limestone; mile; left bank; right bank; gorge; shore; sandstone; tide; navigable,,,,,,,,
bertopic_chunk_dual_stopworded,,2,altar; marble; pillars; pagodas; terrace; architecture; towers; monuments; offerings; coffin,,,,,,,,
bertopic_chunk_dual_stopworded,,3,treaty; garnier; tong-king; treaties; commissioners; kweiliang; mandarins; negotiations; americans; audience,,,,,,,,
bertopic_chunk_dual_stopworded,,4,kwo; rebels; eldest son; eunuch; an-shih; wang an-shih; annam; rebel; generals; defeat,,,,,,,,
bertopic_chunk_dual_stopworded,,5,aug; feb; mar; nov dec; jan feb; jan; july aug; aug sept; dec; sept oct,,,,,,,,
bertopic_chunk_dual_stopworded,,6,mint; obverse; coin; tael; coinage; annam; minor currency; annam minor; dollar; obverse reverse,,,,,,,,
bertopic_chunk_dual_stopworded,,7,wares; pottery; bronzes; porcelains; painting; chinese art; bronze; chinese porcelain; potteries; artistic,,,,,,,,
bertopic_chunk_dual_stopworded,,8,tom; western asia; central western; mohammedan; medieval geography; history central; turkish; notices medieval; uigurs; samarcand,,,,,,,,
bertopic_chunk_dual_stopworded,,9,destiny; ultimate; taoism; immortality; holy men; immaterial; plato; senses; cosmic; tse,,,,,,,,
bertopic_chunk_dual_stopworded,,10,road shanghai; honorary; branch asiatic; election; hon; society's; s'hai; robert; list members; histories,,,,,,,,
bertopic_chunk_dual_stopworded,,11,great drought; tls; likin; land-tax; taels year; hkiang; catties; tax; ch'wan; revenue,,,,,,,,
bertopic_chunk_dual_stopworded,,12,classifier; tones; shuo; corean; vowels; ideographic; elementary characters; elementary; k'ang hsi; vowel,,,,,,,,
bertopic_chunk_dual_stopworded,,13,chinese musical; musical instruments; holes; diameter; inches long; pipe; drum; inches diameter; pipes; gong,,,,,,,,
bertopic_chunk_dual_stopworded,,14,cycle; lunar; solar; eclipses; jupiter; equinox; solstice; astronomical; zodiac; asterisms,,,,,,,,
