master_id,year,volume,author,page,page_original,content_page_number,subject,title,year_start,year_end,Article?,In PDF?,notes,url,article_id,source,In Index?,need to check subject?,toc_source_pdf
MASTER_00001,1858,OS 1 Part 1,"Edkins, J.",107,107-128,,Buddhism,"A Buddhist Shastra , Translated from the Chinese",1858,1858,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=125,_1858_05,source_b,,,v.1-2 1858-60.pdf
MASTER_00002,1858,OS 1 Part 1,"Wylie, A.",44,44-102,,Numismatics,Coins of the Ta - ts'ing or present dynasty of China *,1858,1858,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=60,_1858_03,source_b,,,v.1-2 1858-60.pdf
MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.",103,103-106,,Ethnology,Contribution to the ethnology of Eastern Asia,1858,1858,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=121,_1858_04,source_b,,,v.1-2 1858-60.pdf
MASTER_00004,1858,OS 1 Part 1,"Nicolson, F. W.",17,17-43,,Meteorology,"On Cyclones , or the Law of Storms",1858,1858,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=31,_1858_02,source_b,,,v.1-2 1858-60.pdf
MASTER_00006,1858,OS 1 Part 1,"Foote, A. H.",129,129-137,,Travel,Visit to Simoda and Hakodadi in Japan,1858,1858,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=147,_1858_06,source_b,,,v.1-2 1858-60.pdf
MASTER_00007,1859,OS 1 Part 2,"Macgowan, D. J.",170,38-43,,Literature,Chinese bibliography,1859,1859,,,,,I_1859_03,source_a,,,v.1-2 1858-60.pdf
MASTER_00008,1859,OS 1 Part 2,"Shadwell, C. F. A.",222,102-104,,Meteorology,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,1859,,,,,I_1859_07,source_a,,,v.1-2 1858-60.pdf
MASTER_00009,1859,OS 1 Part 2,"Syle, E. W.",176,44-59,,Music,On the Musical Notation of the Chinese,1859,1859,,,,,I_1859_04,source_a,,,v.1-2 1858-60.pdf
MASTER_00010,1859,OS 1 Part 2,"Edkins, J.",165,,,Philosophy,Notices of the character and writings of Meh tsi,1859,1859,,,"MEH TSi, mozi, 墨子",,,,,,v.1-2 1858-60.pdf
MASTER_00012,1859,OS 1 Part 2,"Ward, J.",231,,,Hydrology,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1859,,,"YANG-TSZE KIANG Yangtzi River, 扬子江, 长江；WOOSUNG, wusong, 吴淞; HANKOW, Hankou, 汉口",,,,,,v.1-2 1858-60.pdf
MASTER_00013,1859,OS 1 Part 2,"Pompe van Meedervoort, J. L. C.",211,,,Education,On the Study of the Natural Sciences in Japan,1859,1859,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00014,1859,OS 1 Part 2,"Fedorovitch, J.",247,127,,Meteorology,"Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,1859,,,,,I_1859_10,source_a,,,v.1-2 1858-60.pdf
MASTER_00015,1859,OS 1 Part 2,"Williams, S. W.",180,60-90,,Travel,Lecture on Japan,1859,1859,,,,,I_1859_05,source_a,,,v.1-2 1858-60.pdf
MASTER_00016,1859,OS 1 Part 2,"Swinhoe, R.",145,,,Travel,Narrative of a visit to the island of Formosa,1859,1859,,,"Formosa, the old name of Taiwan, 台湾",,,,,,v.1-2 1858-60.pdf
MASTER_00017,1859,OS 1 Part 2,"Swinhoe, R.",225,105-110,,Zoology,Notes on some new species of birds found on the island of Formosa,1859,1859,,,"Formosa, the old name of Taiwan, 台湾",,I_1859_08,source_a,,,v.1-2 1858-60.pdf
MASTER_00018,1859,OS 1 Part 3,"Swinhoe, R.",287,,,Zoology,The Small Chinese Lark,1859,1859,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00019,1859,OS 1 Part 3,"Macgowan, D. J.",293,,,Law,On the Banishment of Criminals in China,1859,1859,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00020,1859,OS 1 Part 3,"Robertson, D. B.",302,302-308,,Agriculture,Cotton in China,1859,1859,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=338,_1860_03,source_b,,,v.1-2 1858-60.pdf
MASTER_00021,1859,OS 1 Part 3,,350,350-352,,Meteorology,"Meteorological tables, from observations made in Japan",1859,1859,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015027916397&seq=386,_1860_06,source_b,,,v.1-2 1858-60.pdf
MASTER_00022,1859,OS 1 Part 3,"Edkins, J.",309,,,Mythology,A Sketch of the Tauist Mythology in its modern form,1859,1859,,,,,,,,,v.1-2 1858-60.pdf
MASTER_00023,1859,OS 1 Part 3,"Williams, S. W.",315,,,Contemporary History,Narrative of the American Embassy to Peking,1859,1859,,,,,,,,,v.1-2 1858-60.pdf
