master_id,year,volume,author,author_raw,subject,subject_l1,subject_l2,subject_raw,subject_raw_norm,subject_split,title,year_start,year_end,notes,time_window,n_subjects_article_all,n_subjects_article_network,subject_weight,mapping_note
MASTER_00001,1858,OS 1 Part 1,"Edkins, J.","Edkins, J.",Buddhism,Religion and Philosophy,Buddhism,Buddhism,buddhism,buddhism,"A Buddhist Shastra , Translated from the Chinese",1858,1858,,1858-1867,1,1,1.0,
MASTER_00002,1858,OS 1 Part 1,"Wylie, A.","Wylie, A.",Numismatics,Arts and Archaeology,Numismatics,Numismatics,numismatics,numismatics,Coins of the Ta - ts'ing or present dynasty of China *,1858,1858,,1858-1867,1,1,1.0,
MASTER_00003,1858,OS 1 Part 1,"Macgowan, D. J.","Macgowan, D. J.",Ethnology,Anthropology and Social Customs,Ethnology,Ethnology,ethnology,ethnology,Contribution to the ethnology of Eastern Asia,1858,1858,,1858-1867,1,1,1.0,
MASTER_00004,1858,OS 1 Part 1,"Nicolson, F. W.","Nicolson, F. W.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,"On Cyclones , or the Law of Storms",1858,1858,,1858-1867,1,1,1.0,
MASTER_00006,1858,OS 1 Part 1,"Foote, A. H.","Foote, A. H.",Travel,Geography and Travel,Travel,Travel,travel,travel,Visit to Simoda and Hakodadi in Japan,1858,1858,,1858-1867,1,1,1.0,
MASTER_00007,1859,OS 1 Part 2,"Macgowan, D. J.","Macgowan, D. J.",Literature,Literature and Language,Literature,Literature,literature,literature,Chinese bibliography,1859,1859,,1858-1867,1,1,1.0,
MASTER_00008,1859,OS 1 Part 2,"Shadwell, C. F. A.","Shadwell, C. F. A.",Meteorology,Natural Sciences,Meteorology,Meteorology,meteorology,meteorology,Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,1859,,1858-1867,1,1,1.0,
MASTER_00009,1859,OS 1 Part 2,"Syle, E. W.","Syle, E. W.",Music,Arts and Archaeology,Music,Music,music,music,On the Musical Notation of the Chinese,1859,1859,,1858-1867,1,1,1.0,
MASTER_00010,1859,OS 1 Part 2,"Edkins, J.","Edkins, J.",Philosophy,Religion and Philosophy,Philosophy,Philosophy,philosophy,philosophy,Notices of the character and writings of Meh tsi,1859,1859,"MEH TSi, mozi, <U+58A8><U+5B50>",1858-1867,1,1,1.0,
MASTER_00012,1859,OS 1 Part 2,"Ward, J.","Ward, J.",Hydrology,Natural Sciences,Hydrology,Hydrology,hydrology,hydrology,"Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,1859,"YANG-TSZE KIANG Yangtzi River, <U+626C><U+5B50><U+6C5F>, <U+957F><U+6C5F><U+FF1B>WOOSUNG, wusong, <U+5434><U+6DDE>; HANKOW, Hankou, <U+6C49><U+53E3>",1858-1867,1,1,1.0,
