master_id,time_window,author_raw,title,year_start,term
MASTER_00001,1858-1867,"Edkins, J.","A Buddhist Shastra , Translated from the Chinese",1858,buddhist
MASTER_00001,1858-1867,"Edkins, J.","A Buddhist Shastra , Translated from the Chinese",1858,shastra
MASTER_00002,1858-1867,"Wylie, A.",Coins of the Ta - ts'ing or present dynasty of China *,1858,coins
MASTER_00002,1858-1867,"Wylie, A.",Coins of the Ta - ts'ing or present dynasty of China *,1858,qing
MASTER_00002,1858-1867,"Wylie, A.",Coins of the Ta - ts'ing or present dynasty of China *,1858,dynasty
MASTER_00003,1858-1867,"Macgowan, D. J.",Contribution to the ethnology of Eastern Asia,1858,ethnology
MASTER_00003,1858-1867,"Macgowan, D. J.",Contribution to the ethnology of Eastern Asia,1858,eastern
MASTER_00003,1858-1867,"Macgowan, D. J.",Contribution to the ethnology of Eastern Asia,1858,asia
MASTER_00004,1858-1867,"Nicolson, F. W.","On Cyclones , or the Law of Storms",1858,cyclones
MASTER_00004,1858-1867,"Nicolson, F. W.","On Cyclones , or the Law of Storms",1858,law
MASTER_00004,1858-1867,"Nicolson, F. W.","On Cyclones , or the Law of Storms",1858,storms
MASTER_00005,1858-1867,"Foote, A. H.",Visit to Simoda and Hakodadi in Japan,1858,visit
MASTER_00005,1858-1867,"Foote, A. H.",Visit to Simoda and Hakodadi in Japan,1858,simoda
MASTER_00005,1858-1867,"Foote, A. H.",Visit to Simoda and Hakodadi in Japan,1858,hakodadi
MASTER_00005,1858-1867,"Foote, A. H.",Visit to Simoda and Hakodadi in Japan,1858,japan
MASTER_00006,1858-1867,"Macgowan, D. J.",Chinese bibliography,1859,bibliography
MASTER_00007,1858-1867,"Shadwell, C. F. A.",Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,state
MASTER_00007,1858-1867,"Shadwell, C. F. A.",Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,magnetic
MASTER_00007,1858-1867,"Shadwell, C. F. A.",Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,elements
MASTER_00007,1858-1867,"Shadwell, C. F. A.",Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,palces
MASTER_00007,1858-1867,"Shadwell, C. F. A.",Memorandum on the present state of some of the magnetic elements in china and palces adjacent,1859,adjacent
MASTER_00008,1858-1867,"Syle, E. W.",On the Musical Notation of the Chinese,1859,musical
MASTER_00008,1858-1867,"Syle, E. W.",On the Musical Notation of the Chinese,1859,notation
MASTER_00009,1858-1867,"Edkins, J.",Notices of the character and writings of Meh tsi,1859,character
MASTER_00009,1858-1867,"Edkins, J.",Notices of the character and writings of Meh tsi,1859,writings
MASTER_00009,1858-1867,"Edkins, J.",Notices of the character and writings of Meh tsi,1859,mozi
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,sailing
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,directions
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,yangtze
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,kiang
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,woosung
MASTER_00010,1858-1867,"Ward, J.","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow",1859,hankow
MASTER_00011,1858-1867,"Pompe van Meedervoort, J. L. C.",On the Study of the Natural Sciences in Japan,1859,study
MASTER_00011,1858-1867,"Pompe van Meedervoort, J. L. C.",On the Study of the Natural Sciences in Japan,1859,natural
MASTER_00011,1858-1867,"Pompe van Meedervoort, J. L. C.",On the Study of the Natural Sciences in Japan,1859,sciences
MASTER_00011,1858-1867,"Pompe van Meedervoort, J. L. C.",On the Study of the Natural Sciences in Japan,1859,japan
MASTER_00012,1858-1867,"Fedorovitch, J.","Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,thermometrical
MASTER_00012,1858-1867,"Fedorovitch, J.","Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,taken
MASTER_00012,1858-1867,"Fedorovitch, J.","Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,passage
MASTER_00012,1858-1867,"Fedorovitch, J.","Thermometrical observations, taken during a passage from Nagasaki to Shanghai",1859,nagasaki
