master_id,author_id
MASTER_00001,AUTH_00066
MASTER_00002,AUTH_00301
MASTER_00003,AUTH_00173
MASTER_00004,AUTH_00200
MASTER_00005,AUTH_00078
MASTER_00006,AUTH_00173
MASTER_00007,AUTH_00239
MASTER_00008,AUTH_00258
MASTER_00009,AUTH_00066
MASTER_00010,AUTH_00282
MASTER_00011,AUTH_00214
MASTER_00012,AUTH_00074
MASTER_00013,AUTH_00297
MASTER_00014,AUTH_00257
MASTER_00015,AUTH_00257
MASTER_00016,AUTH_00257
MASTER_00017,AUTH_00173
MASTER_00018,AUTH_00228
MASTER_00020,AUTH_00066
MASTER_00021,AUTH_00297
MASTER_00022,AUTH_00026
MASTER_00023,AUTH_00066
MASTER_00024,AUTH_00173
MASTER_00025,AUTH_00066
MASTER_00026,AUTH_00142
MASTER_00027,AUTH_00214
MASTER_00028,AUTH_00244
MASTER_00029,AUTH_00065
MASTER_00030,AUTH_00239
MASTER_00031,AUTH_00051
MASTER_00032,AUTH_00065
MASTER_00033,AUTH_00164
MASTER_00034,AUTH_00116
MASTER_00035,AUTH_00057
MASTER_00036,AUTH_00301
MASTER_00037,AUTH_00116
MASTER_00038,AUTH_00036
MASTER_00039,AUTH_00139
MASTER_00040,AUTH_00301
MASTER_00041,AUTH_00068
MASTER_00042,AUTH_00291
MASTER_00043,AUTH_00125
MASTER_00044,AUTH_00091
MASTER_00045,AUTH_00154
MASTER_00046,AUTH_00149
MASTER_00047,AUTH_00257
MASTER_00048,AUTH_00028
MASTER_00049,AUTH_00047
MASTER_00050,AUTH_00066
MASTER_00051,AUTH_00015
MASTER_00052,AUTH_00149
MASTER_00053,AUTH_00139
MASTER_00054,AUTH_00140
MASTER_00055,AUTH_00033
MASTER_00056,AUTH_00256
MASTER_00057,AUTH_00154
MASTER_00058,AUTH_00139
MASTER_00059,AUTH_00177
MASTER_00060,AUTH_00177
MASTER_00061,AUTH_00298
MASTER_00064,AUTH_00145
MASTER_00065,AUTH_00301
MASTER_00066,AUTH_00180
MASTER_00067,AUTH_00297
MASTER_00068,AUTH_00149
MASTER_00069,AUTH_00126
MASTER_00070,AUTH_00033
MASTER_00071,AUTH_00020
MASTER_00072,AUTH_00093
MASTER_00073,AUTH_00298
MASTER_00074,AUTH_00298
MASTER_00075,AUTH_00220
MASTER_00076,AUTH_00070
MASTER_00077,AUTH_00301
MASTER_00078,AUTH_00179
MASTER_00079,AUTH_00080
MASTER_00080,AUTH_00245
MASTER_00081,AUTH_00285
MASTER_00082,AUTH_00066
MASTER_00083,AUTH_00149
MASTER_00084,AUTH_00265
MASTER_00085,AUTH_00245
MASTER_00086,AUTH_00149
MASTER_00087,AUTH_00141
MASTER_00088,AUTH_00020
MASTER_00089,AUTH_00218
MASTER_00090,AUTH_00182
MASTER_00091,AUTH_00245
MASTER_00092,AUTH_00301
MASTER_00093,AUTH_00070
MASTER_00094,AUTH_00065
MASTER_00095,AUTH_00176
MASTER_00096,AUTH_00179
MASTER_00097,AUTH_00069
MASTER_00098,AUTH_00245
MASTER_00099,AUTH_00179
MASTER_00100,AUTH_00120
MASTER_00101,AUTH_00173
MASTER_00102,AUTH_00195
MASTER_00103,AUTH_00249
MASTER_00104,AUTH_00297
MASTER_00105,AUTH_00180
MASTER_00107,AUTH_00203
MASTER_00108,AUTH_00179
MASTER_00109,AUTH_00257
MASTER_00110,AUTH_00257
MASTER_00111,AUTH_00254
MASTER_00112,AUTH_00149
MASTER_00113,AUTH_00195
MASTER_00114,AUTH_00285
MASTER_00115,AUTH_00254
MASTER_00116,AUTH_00266
MASTER_00117,AUTH_00054
MASTER_00118,AUTH_00173
MASTER_00119,AUTH_00173
MASTER_00120,AUTH_00065
MASTER_00121,AUTH_00185
MASTER_00123,AUTH_00297
MASTER_00124,AUTH_00149
MASTER_00125,AUTH_00234
MASTER_00125,AUTH_00240
MASTER_00126,AUTH_00285
MASTER_00127,AUTH_00277
MASTER_00128,AUTH_00066
MASTER_00129,AUTH_00056
MASTER_00130,AUTH_00032
MASTER_00131,AUTH_00065
MASTER_00132,AUTH_00195
MASTER_00133,AUTH_00035
MASTER_00134,AUTH_00260
MASTER_00135,AUTH_00285
MASTER_00136,AUTH_00048
MASTER_00137,AUTH_00173
MASTER_00138,AUTH_00206
MASTER_00139,AUTH_00124
MASTER_00140,AUTH_00149
MASTER_00141,AUTH_00025
MASTER_00142,AUTH_00166
MASTER_00145,AUTH_00149
MASTER_00146,AUTH_00122
MASTER_00147,AUTH_00187
MASTER_00148,AUTH_00177
MASTER_00149,AUTH_00066
MASTER_00150,AUTH_00254
MASTER_00151,AUTH_00179
MASTER_00152,AUTH_00208
MASTER_00153,AUTH_00127
MASTER_00154,AUTH_00127
MASTER_00155,AUTH_00149
MASTER_00156,AUTH_00086
MASTER_00157,AUTH_00073
MASTER_00158,AUTH_00235
MASTER_00159,AUTH_00187
MASTER_00160,AUTH_00149
MASTER_00161,AUTH_00149
MASTER_00162,AUTH_00223
MASTER_00163,AUTH_00106
MASTER_00164,AUTH_00025
MASTER_00165,AUTH_00032
MASTER_00166,AUTH_00013
MASTER_00167,AUTH_00104
MASTER_00168,AUTH_00104
MASTER_00170,AUTH_00055
MASTER_00171,AUTH_00098
MASTER_00172,AUTH_00104
MASTER_00173,AUTH_00005
MASTER_00174,AUTH_00268
MASTER_00175,AUTH_00121
MASTER_00176,AUTH_00066
MASTER_00177,AUTH_00233
MASTER_00178,AUTH_00150
MASTER_00179,AUTH_00134
MASTER_00180,AUTH_00192
MASTER_00181,AUTH_00104
MASTER_00182,AUTH_00104
MASTER_00183,AUTH_00166
MASTER_00184,AUTH_00093
MASTER_00185,AUTH_00208
MASTER_00186,AUTH_00208
MASTER_00187,AUTH_00208
MASTER_00188,AUTH_00195
MASTER_00189,AUTH_00127
MASTER_00190,AUTH_00134
MASTER_00191,AUTH_00149
MASTER_00193,AUTH_00105
MASTER_00194,AUTH_00098
MASTER_00196,AUTH_00213
MASTER_00197,AUTH_00259
MASTER_00199,AUTH_00201
MASTER_00200,AUTH_00121
MASTER_00202,AUTH_00211
MASTER_00203,AUTH_00088
MASTER_00205,AUTH_00173
MASTER_00206,AUTH_00211
MASTER_00207,AUTH_00174
MASTER_00208,AUTH_00213
MASTER_00209,AUTH_00004
MASTER_00210,AUTH_00121
MASTER_00211,AUTH_00173
MASTER_00212,AUTH_00004
MASTER_00213,AUTH_00066
MASTER_00214,AUTH_00004
MASTER_00215,AUTH_00121
MASTER_00216,AUTH_00121
MASTER_00217,AUTH_00098
MASTER_00218,AUTH_00208
MASTER_00219,AUTH_00160
MASTER_00221,AUTH_00105
MASTER_00222,AUTH_00038
MASTER_00223,AUTH_00208
MASTER_00224,AUTH_00017
MASTER_00226,AUTH_00121
MASTER_00227,AUTH_00208
MASTER_00228,AUTH_00038
MASTER_00229,AUTH_00201
MASTER_00230,AUTH_00121
MASTER_00231,AUTH_00121
MASTER_00232,AUTH_00208
MASTER_00233,AUTH_00118
MASTER_00234,AUTH_00038
MASTER_00235,AUTH_00195
MASTER_00236,AUTH_00211
MASTER_00237,AUTH_00122
MASTER_00238,AUTH_00138
MASTER_00239,AUTH_00189
MASTER_00240,AUTH_00278
MASTER_00241,AUTH_00187
MASTER_00242,AUTH_00193
MASTER_00243,AUTH_00072
MASTER_00244,AUTH_00066
MASTER_00245,AUTH_00208
MASTER_00246,AUTH_00085
MASTER_00247,AUTH_00108
MASTER_00250,AUTH_00072
MASTER_00251,AUTH_00082
MASTER_00252,AUTH_00149
MASTER_00253,AUTH_00278
MASTER_00254,AUTH_00103
MASTER_00255,AUTH_00230
MASTER_00256,AUTH_00230
MASTER_00257,AUTH_00278
MASTER_00258,AUTH_00093
MASTER_00259,AUTH_00187
MASTER_00260,AUTH_00149
MASTER_00261,AUTH_00237
MASTER_00262,AUTH_00045
MASTER_00263,AUTH_00025
MASTER_00264,AUTH_00025
MASTER_00265,AUTH_00134
MASTER_00266,AUTH_00208
MASTER_00267,AUTH_00208
MASTER_00268,AUTH_00032
MASTER_00269,AUTH_00083
MASTER_00270,AUTH_00134
MASTER_00271,AUTH_00208
MASTER_00272,AUTH_00208
MASTER_00273,AUTH_00032
MASTER_00274,AUTH_00083
MASTER_00275,AUTH_00208
MASTER_00276,AUTH_00149
MASTER_00277,AUTH_00079
MASTER_00278,AUTH_00149
MASTER_00279,AUTH_00262
MASTER_00280,AUTH_00187
MASTER_00281,AUTH_00038
MASTER_00282,AUTH_00149
MASTER_00283,AUTH_00012
MASTER_00284,AUTH_00199
MASTER_00285,AUTH_00063
MASTER_00286,AUTH_00022
MASTER_00287,AUTH_00295
MASTER_00288,AUTH_00032
MASTER_00289,AUTH_00066
MASTER_00290,AUTH_00018
MASTER_00291,AUTH_00276
MASTER_00292,AUTH_00195
MASTER_00293,AUTH_00184
MASTER_00294,AUTH_00175
MASTER_00295,AUTH_00279
MASTER_00296,AUTH_00079
MASTER_00297,AUTH_00023
MASTER_00298,AUTH_00149
MASTER_00299,AUTH_00066
MASTER_00300,AUTH_00040
MASTER_00301,AUTH_00279
MASTER_00302,AUTH_00075
MASTER_00303,AUTH_00149
MASTER_00304,AUTH_00037
MASTER_00305,AUTH_00276
MASTER_00306,AUTH_00284
MASTER_00307,AUTH_00158
MASTER_00308,AUTH_00184
MASTER_00309,AUTH_00023
MASTER_00310,AUTH_00177
MASTER_00311,AUTH_00149
MASTER_00312,AUTH_00075
MASTER_00313,AUTH_00002
MASTER_00314,AUTH_00113
MASTER_00315,AUTH_00193
MASTER_00316,AUTH_00295
MASTER_00317,AUTH_00072
MASTER_00318,AUTH_00149
MASTER_00319,AUTH_00194
MASTER_00320,AUTH_00003
MASTER_00321,AUTH_00208
MASTER_00322,AUTH_00010
MASTER_00323,AUTH_00271
MASTER_00324,AUTH_00107
MASTER_00325,AUTH_00149
MASTER_00326,AUTH_00194
MASTER_00327,AUTH_00270
MASTER_00328,AUTH_00194
MASTER_00329,AUTH_00296
MASTER_00330,AUTH_00194
MASTER_00331,AUTH_00222
MASTER_00332,AUTH_00283
MASTER_00333,AUTH_00253
MASTER_00334,AUTH_00123
