master_id,subject_id,subject_weight,subject_split,mapping_note
INDEX_00062,SUBJ_00022,1.0,travel,
INDEX_00063,SUBJ_00025,1.0,history,
INDEX_00201,SUBJ_00030,1.0,literature,
INDEX_00270,SUBJ_00022,1.0,travel,
INDEX_00271,SUBJ_00017,1.0,economics,
INDEX_00272,SUBJ_00017,1.0,economics,
INDEX_00273,SUBJ_00017,1.0,economics,
INDEX_00274,SUBJ_00025,1.0,history,
INDEX_00282,SUBJ_00004,1.0,manners,Corrected exact old subject: Manners and customs
INDEX_00283,SUBJ_00043,1.0,government,
INDEX_00284,SUBJ_00009,1.0,art,Corrected exact old subject: Art
INDEX_00285,SUBJ_00032,1.0,agriculture,
INDEX_00340,SUBJ_00030,1.0,literature,
INDEX_00343,SUBJ_00009,1.0,art,Corrected exact old subject: Art
MASTER_00001,SUBJ_00046,1.0,buddhism,
MASTER_00002,SUBJ_00013,1.0,numismatics,
MASTER_00003,SUBJ_00002,1.0,ethnology,
MASTER_00004,SUBJ_00039,1.0,meteorology,
MASTER_00006,SUBJ_00022,1.0,travel,
MASTER_00007,SUBJ_00030,1.0,literature,
MASTER_00008,SUBJ_00039,1.0,meteorology,
MASTER_00009,SUBJ_00012,1.0,music,
MASTER_00010,SUBJ_00052,1.0,philosophy,
MASTER_00012,SUBJ_00037,1.0,hydrology,
MASTER_00013,SUBJ_00019,1.0,education,
MASTER_00014,SUBJ_00039,1.0,meteorology,
MASTER_00015,SUBJ_00022,1.0,travel,
MASTER_00016,SUBJ_00022,1.0,travel,
MASTER_00017,SUBJ_00041,1.0,zoology,
MASTER_00018,SUBJ_00041,1.0,zoology,
MASTER_00019,SUBJ_00044,1.0,law,
MASTER_00020,SUBJ_00032,1.0,agriculture,
MASTER_00021,SUBJ_00039,1.0,meteorology,
MASTER_00022,SUBJ_00005,1.0,mythology,
MASTER_00023,SUBJ_00027,1.0,contemporary history,"Use 20th century, not docx 21st century"
MASTER_00024,SUBJ_00002,1.0,ethnology,
