author_name,master_id,title,volume,year_start,year_end,time_window,subject_l1,subject_l2
"Abraham, R. D.",MASTER_00515,"Motives of Chinese art, The",NS 58,1927,1927,1918-1927,Arts and Archaeology,Art
"Abraham, R. D.",MASTER_00567,Chinese pottery and porcelain : an appreciation,NS 62,1931,1931,1928-1937,Arts and Archaeology,Porcelain
"Alabaster, E.",MASTER_00313,Notes on Chinese law and practice preceding revision,NS 37,1906,1906,1898-1907,"Politics, Government, and Law",Law
"Alexeieff, V.",MASTER_00320,Archaeological survey of the environs of China's ancient capitals,NS 40,1909,1909,1908-1917,Arts and Archaeology,Archaeology
"Allen, H. J.",MASTER_00212,Is Confucius a myth ?,NS 21,1886,1886,1878-1887,Religion and Philosophy,Confucianism
"Allen, H. J.",MASTER_00214,Ta - ts ' in and dependent states,NS 21,1886,1886,1878-1887,Geography and Travel,Geography
"Allen, H. J.",MASTER_00209,Where was Ta - ts ' in ?,NS 21,1886,1886,1878-1887,Geography and Travel,Geography
"Anderson, G. C.",MASTER_00173,Notes on the south coast of Saghalien,NS 17,1882,1882,1878-1887,Geography and Travel,Travel
"Andrew, G. F.",MASTER_00609,Men and matters in the land of the Yellow Earth,NS 66,1935,1935,1928-1937,Anthropology and Social Customs,Ethnology
"Ankerson, W. A.",MASTER_00652,"Chinese shadow play, The",NS 72,1946,1946,1938-1948,Anthropology and Social Customs,Ethnology
"Annandale, N.",MASTER_00371,"Freshwater sponges from the T'ai Hu (Great Lake) of the Kiangsu Province, China",NS 47,1916,1916,1908-1917,Natural Sciences,Zoology
Ardsheal,MASTER_00357,Reminiscenes of a Chinese Viceroy's secretary,NS 45,1914,1914,1908-1917,Literature and Language,Language and languages
Ardsheal,MASTER_00365,Reminiscenes of a Chinese Viceroy's secretary,NS 46,1915,1915,1908-1917,Literature and Language,Language and languages
"Arnold, J. H.",MASTER_00322,"The Ascent of Mt. Morrison (Niitaka Yama),",NS 40,1909,1909,1908-1917,Geography and Travel,Travel
"Ayscough, F. W.",MASTER_00381,Shrines of History. Peak of the East T'ai Shan *,NS 48,1917,1917,1908-1917,Religion and Philosophy,Religion
"Ayscough, F. W.",MASTER_00424,Chinese poetry and its connotations *,NS 51,1920,1920,1918-1927,Literature and Language,Language and languages
"Ayscough, F. W.",MASTER_00429,Notes on the symbolism of the Purple Forbidden City *,NS 52,1921,1921,1918-1927,"Economy, Trade, and Technology",Economics
"Ayscough, F. W.",MASTER_00429,Notes on the symbolism of the Purple Forbidden City *,NS 52,1921,1921,1918-1927,"Politics, Government, and Law",Government
"Ayscough, F. W.",MASTER_00429,Notes on the symbolism of the Purple Forbidden City *,NS 52,1921,1921,1918-1927,"Politics, Government, and Law",Political science--Philosophy
"Ayscough, F. W.",MASTER_00429,Notes on the symbolism of the Purple Forbidden City *,NS 52,1921,1921,1918-1927,Geography and Travel,Travel
"Ayscough, F. W.",MASTER_00465,"Preliminary notes on the literary background of the "" Great River """,NS 54,1923,1923,1918-1927,Geography and Travel,Travel
"Ayscough, F. W.",MASTER_00484,Cult of the Ch'eng Huang Lao Yeh,NS 55,1924,1924,1918-1927,Religion and Philosophy,China--Religion
"Ayscough, F. W.",MASTER_00484,Cult of the Ch'eng Huang Lao Yeh,NS 55,1924,1924,1918-1927,Anthropology and Social Customs,Folklore
"Ayscough, F. W.",MASTER_00557,"Symbolism of the Forbidden City, Peking, The *",NS 61,1930,1930,1928-1937,Geography and Travel,Asia
"Ayscough, F. W.",MASTER_00557,"Symbolism of the Forbidden City, Peking, The *",NS 61,1930,1930,1928-1937,Geography and Travel,Geography
"Ayscough, F. W.",MASTER_00557,"Symbolism of the Forbidden City, Peking, The *",NS 61,1930,1930,1928-1937,Geography and Travel,Travel
BYRON BRENAN,MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,"Economy, Trade, and Technology",Economics
BYRON BRENAN,MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,"Politics, Government, and Law",Government
BYRON BRENAN,MASTER_00283,THE OFFICE OF DISTRICT MAGISTRATE IN CHINA.,NS 32,1898,1899,1898-1907,"Politics, Government, and Law",Political science--Philosophy
"Balfour, F. H.",MASTER_00166,"The "" Naturalistic "" philosophy of China",NS 15,1880,1880,1878-1887,Religion and Philosophy,Philosophy
"Barbour, G. B.",MASTER_00491,"Springs of Tsinanfu, The",NS 56,1925,1925,1918-1927,Natural Sciences,Geology
Bastion,MASTER_00051,The Remains of Ancient Kambodia,NS 2,1865,1865,1858-1867,Arts and Archaeology,Archaeology
"Beath, S. S.",MASTER_00647,Ching Te Chen procelain city of emperors,NS 72,1946,1946,1938-1948,Arts and Archaeology,Archaeology
"Becher, H. M.",MASTER_00224,Notes on the mineral resources of Eastern Shantung,NS 22,1887,1887,1878-1887,Natural Sciences,Geology
"Betts, G. E.",MASTER_00290,Social life of the Miao Tsi,NS 33,1900,1901,1898-1907,Anthropology and Social Customs,Anthropology
"Betts, G. E.",MASTER_00290,Social life of the Miao Tsi,NS 33,1900,1901,1898-1907,Anthropology and Social Customs,Ethnology
"Biallas, F. X.",MASTER_00534,"K'u Yuan, his life and poems",NS 59,1928,1928,1928-1937,History and Chronology,Biography
"Biallas, F. X.",MASTER_00534,"K'u Yuan, his life and poems",NS 59,1928,1928,1928-1937,Literature and Language,Literature
"Bickmore, A. S.",MASTER_00071,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",NS 4,1867,1867,1858-1867,Natural Sciences,Geology
"Bickmore, A. S.",MASTER_00071,"Sketch of a journey from Canton to Hankow through the Provinces of Kwangtung, Kwangsi, and Hunan, with geological notes *",NS 4,1867,1867,1858-1867,Geography and Travel,Travel
"Bickmore, A. S.",MASTER_00088,Some remarks on recent elevations of land in China and Japan,NS 5,1868,1868,1868-1877,Natural Sciences,Geology
"Bishop, C. W.",MASTER_00585,"Worship of Earth in Ancient China, The",NS 64,1933,1933,1928-1937,Religion and Philosophy,Religion
"Bourne, F. S. A.",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,"Economy, Trade, and Technology",Economics
"Bourne, F. S. A.",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,"Politics, Government, and Law",Government
"Bourne, F. S. A.",MASTER_00286,Possible and impossible reforms,NS 33,1900,1901,1898-1907,"Politics, Government, and Law",Political science--Philosophy
"Box, E.",MASTER_00297,Shanghai folk - lore,NS 34,1901,1902,1898-1907,Anthropology and Social Customs,Mythology
"Box, E.",MASTER_00309,Shanghai folk - lore,NS 36,1905,1905,1898-1907,Anthropology and Social Customs,Mythology
"Bradley, C. B.",MASTER_00362,"Tone - accents of two Chinese dialects, The *",NS 46,1915,1915,1908-1917,Literature and Language,Language and languages
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Anthropology and Social Customs,Anthropology
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Anthropology and Social Customs,Ethnology
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,Geography and Travel,Geography
"Bretschneider, E.",MASTER_00141,Notices of the mediaeval geography and history of Central and Western Asia *,NS 10,1876,1876,1868-1877,History and Chronology,History
"Bretschneider, E.",MASTER_00164,Early European researches into the flora of China,NS 15,1880,1880,1878-1887,Natural Sciences,Botany
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Natural Sciences,Botany
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Literature and Language,Language and languages
"Bretschneider, E.",MASTER_00263,Botanicon Sinicum Part III. Botanical investigations into the materia medica of the ancient Chinese,NS 29,1894,1895,1888-1897,Literature and Language,Literature
"Bretschneider, E.",MASTER_00264,"Chinese geographical names mentioned in the "" Pen Ts ' ao Kang Mu """,NS 29,1894,1895,1888-1897,Geography and Travel,Geography
"Bridgman, E. C.",MASTER_00022,Sketches of the Miau - tsze,OS 1 Part 3,1859,1859,1858-1867,Anthropology and Social Customs,Anthropology
