author_name,article_count,subject_count,first_year,last_year
"Ferguson, J. C.",23,16,1903,1946
"Kingsmill, T. W.",23,15,1865,1910
"Parker, E. H.",16,11,1878,1913
"Edkins, J.",14,13,1858,1904
"Morgan, E.",13,11,1918,1939
"Chatley, H.",11,11,1917,1936
"Macgowan, D. J.",10,10,1858,1886
"Edgar, J. H.",9,11,1914,1929
"Stanley, A.",9,7,1912,1920
"Hirth, F.",8,11,1882,1887
"Jacot, A. P.",8,2,1922,1931
"Moule, A. C.",8,9,1908,1928
"Sowerby, A. de C.",7,5,1916,1946
"Werner, E. T. C.",7,7,1921,1928
"Ayscough, F. W.",6,10,1917,1930
"Hudson, E.",6,2,1922,1928
"Moule, G. E.",6,7,1869,1901
"Swinhoe, R.",6,6,1859,1872
"Williams, E. T.",6,4,1900,1939
"Wylie, A.",6,4,1858,1868
"Bushell, S. W.",5,5,1874,1901
Editorial Committee,5,2,1860,1874
"Fischer, E. S.",5,5,1923,1946
"Gibson, H. E.",5,4,1936,1940
"Guppy, H. B.",5,5,1881,1883
"Mason, I.",5,3,1920,1931
"Mayers, W. F.",5,5,1867,1878
"Mollendorf, P. G. von",5,4,1877,1897
"Torrance, T.",5,7,1910,1926
"Williams, S. W.",5,3,1859,1874
"Bretschneider, E.",4,7,1876,1895
"Carles, W. R.",4,7,1886,1897
"Hodous, L.",4,2,1912,1918
"Hosie, A.",4,6,1878,1926
Hutson J.,4,5,1918,1923
"Imbault-Huart, C.",4,4,1883,1896
"Kliene, C.",4,4,1918,1923
"Martin, W. A. P.",4,3,1864,1906
"Saeki, P. Y.",4,1,1932,1936
"Shirokogoroff, S. M.",4,4,1923,1926
"Simon, G. E.",4,6,1867,1870
"Skvortzow, B. W.",4,3,1919,1922
"Warren, G. G.",4,6,1912,1924
"Watters, T.",4,4,1867,1875
"Allen, H. J.",3,2,1886,1886
"Couling, S.",3,3,1914,1917
"Drake, F. S.",3,3,1935,1940
"Faber, E.",3,6,1889,1907
"Forke, A.",3,1,1896,1930
"Freeman, M.",3,2,1926,1933
"Gardener, C. T.",3,5,1867,1893
"Giles, H. A.",3,1,1882,1886
"Jamieson, R. A.",3,4,1864,1864
"Morse, H. B.",3,3,1889,1921
"Phillips, G.",3,4,1885,1888
"Stent, G. C.",3,4,1871,1877
"Volpicelli, Z. H.",3,2,1888,1893
"Williamson, A.",3,6,1866,1867
"Abraham, R. D.",2,2,1927,1931
Ardsheal,2,1,1914,1915
"Bickmore, A. S.",2,2,1867,1868
"Box, E.",2,1,1901,1905
"Budd, C.",2,2,1923,1930
"Butcher, C. H.",2,2,1864,1866
Cheng Te-k'un,2,1,1933,1934
"Dubs, H. H.",2,3,1935,1936
"Ellias, N.",2,1,1867,1868
"Englaender, A. L.",2,1,1928,1929
"Fletcher, W. J. B.",2,1,1921,1921
"Fraser, M. F. A.",2,2,1894,1896
"Gale, E. M.",2,2,1933,1937
"Gee, N. G.",2,2,1919,1926
"H., F.",2,1,1885,1886
"Hayes, L. N.",2,4,1924,1928
"Heeren, J. J.",2,3,1923,1925
"Henderson, J.",2,2,1864,1864
"Hobson, H. E.",2,3,1877,1888
Hu Shih（胡适）,2,2,1928,1929
"Inglis, J. W.",2,1,1917,1917
Lamprey,2,2,1864,1865
"Lanning, G.",2,2,1917,1920
"Laver, H. E.",2,1,1917,1918
"Little, A. J.",2,2,1876,1883
"Lobingier, C. S.",2,3,1914,1919
"McCartee, D. B.",2,2,1866,1870
"Mencarini, J.",2,2,1900,1905
"Moyer, R. T.",2,2,1932,1937
"Nocentini, L.",2,2,1885,1887
"Playfair, G. M. H.",2,2,1885,1886
"Pompe van Meedervoort, J. L. C.",2,2,1859,1860
"Read, B. E.",2,2,1939,1940
"Reymond, C. du Bois",2,3,1912,1914
"Riley, J. H. and Richmond, C. W.",2,1,1922,1923
"Rosthorn, A. von",2,4,1892,1893
"Schwarz, K. L.",2,1,1946,1948
"Shadwell, C. F. A.",2,1,1859,1860
Timothy Richard.Litt.D.,2,3,1913,1913
"Vale, J.",2,4,1900,1905
"Walshe, W. G.",2,2,1900,1904
"Wilder, G. D. and Hubbard, H. W.",2,1,1924,1926
Wu Lieh-teh（伍连德）,2,2,1931,1933
"Alabaster, E.",1,1,1906,1906
"Alexeieff, V.",1,1,1909,1909
"Anderson, G. C.",1,1,1882,1882
"Andrew, G. F.",1,1,1935,1935
"Ankerson, W. A.",1,1,1946,1946
"Annandale, N.",1,1,1916,1916
"Arnold, J. H.",1,1,1909,1909
BYRON BRENAN,1,3,1898,1899
"Balfour, F. H.",1,1,1880,1880
"Barbour, G. B.",1,1,1925,1925
Bastion,1,1,1865,1865
"Beath, S. S.",1,1,1946,1946
"Becher, H. M.",1,1,1887,1887
"Betts, G. E.",1,2,1900,1901
"Biallas, F. X.",1,2,1928,1928
"Bishop, C. W.",1,1,1933,1933
"Bourne, F. S. A.",1,3,1900,1901
"Bradley, C. B.",1,1,1915,1915
"Bridgman, E. C.",1,2,1859,1859
"Brown, M. H.",1,1,1936,1936
"Brown, S. R.",1,1,1865,1865
"Bruce, J. P.",1,1,1918,1918
"Bruce, P.",1,1,1930,1930
"Buxton, D.",1,1,1930,1930
"Camajee, D. N.",1,1,1875,1875
"Canny, J. M.",1,1,1864,1864
"Carey, F. W.",1,1,1905,1905
"Ch'en, S. C.",1,1,1936,1936
"Chalfant, F. H.",1,1,1903,1904
Chang Hsin-hai（张歆海）,1,2,1929,1929
Chang Hsing Lang（张星烺）,1,1,1948,1948
"Clarke, G. W.",1,1,1893,1894
Coching Chu（竺可桢）,1,1,1931,1931
"Collins, V. D.",1,1,1865,1865
"Cordier, H.",1,1,1875,1875
"Couling, C. E.",1,1,1927,1927
"Courtney, C. F. A.",1,1,1860,1860
"Cowdry, N. H.",1,1,1922,1922
"Darroch, J.",1,1,1923,1923
"David, Le P. A.",1,3,1871,1872
"Dechevrens, Le P. M.",1,1,1881,1881
"Dennys, N. B.",1,1,1874,1874
"Dickson, W.",1,1,1864,1864
"Dodd, W. C.",1,3,1920,1920
"Dovey, J. W.",1,1,1925,1925
"Dunlap, E. W.",1,1,1940,1940
E. BRASS,1,3,1898,1899
"Edmunds, C. K.",1,1,1919,1919
Edwards,1,1,1864,1864
"Eitel, E. J.",1,3,1869,1870
"Fauvel, A. A.",1,1,1879,1879
"Fedorovitch, J.",1,1,1859,1859
"Foote, A. H.",1,1,1858,1858
"Forrest, R. J.",1,3,1867,1867
"Francis, J. de",1,1,1948,1948
"Fraser, E. H.",1,2,1891,1892
"Fries, S. R. von",1,1,1889,1890
"Fritsche, H.",1,1,1878,1878
G. S. S. G.,1,3,1926,1926
"Gabelentz, G. von der",1,1,1885,1885
"Gale, E. M., Boodberg, P. A. and Lin, T. C.",1,1,1934,1934
"Gamble, W.",1,1,1864,1864
"Gapanovich, J. J.",1,2,1931,1931
"Gardner, C. S.",1,1,1931,1931
"Gaunt, T.",1,1,1922,1922
"Gillett, M. C.",1,1,1948,1948
"Gillis, I. V.",1,1,1925,1925
"Goodrich, L. C.",1,1,1937,1937
"Grabau, A. W.",1,1,1934,1934
"Groot, J. J. M. de",1,1,1891,1892
"Haas, J.",1,1,1879,1879
