time_window,author_name,article_count,subject_count,first_year,last_year
1858-1867,"Edkins, J.",7,7,1858,1867
1858-1867,"Wylie, A.",5,4,1858,1867
1858-1867,"Kingsmill, T. W.",4,2,1865,1867
1858-1867,"Macgowan, D. J.",4,4,1858,1860
1858-1867,"Swinhoe, R.",4,2,1859,1865
1858-1867,"Jamieson, R. A.",3,3,1864,1864
1858-1867,"Williams, S. W.",3,3,1859,1866
1858-1867,"Williamson, A.",3,2,1866,1867
1858-1867,"Butcher, C. H.",2,2,1864,1866
1858-1867,Editorial Committee,2,2,1860,1860
1858-1867,"Henderson, J.",2,2,1864,1864
1858-1867,Lamprey,2,2,1864,1865
1858-1867,"Martin, W. A. P.",2,1,1864,1865
1858-1867,"Pompe van Meedervoort, J. L. C.",2,2,1859,1860
1858-1867,"Shadwell, C. F. A.",2,1,1859,1860
1858-1867,Bastion,1,1,1865,1865
1858-1867,"Bickmore, A. S.",1,1,1867,1867
1858-1867,"Bridgman, E. C.",1,1,1859,1859
1858-1867,"Brown, S. R.",1,1,1865,1865
1858-1867,"Canny, J. M.",1,1,1864,1864
1858-1867,"Collins, V. D.",1,1,1865,1865
1858-1867,"Courtney, C. F. A.",1,1,1860,1860
1858-1867,"Dickson, W.",1,1,1864,1864
1858-1867,Edwards,1,1,1864,1864
1858-1867,"Ellias, N.",1,1,1867,1867
1858-1867,"Fedorovitch, J.",1,1,1859,1859
1858-1867,"Foote, A. H.",1,1,1858,1858
1858-1867,"Forrest, R. J.",1,1,1867,1867
1858-1867,"Gamble, W.",1,1,1864,1864
1858-1867,"Gardener, C. T.",1,1,1867,1867
1858-1867,Hollingworth and Piry,1,1,1864,1864
1858-1867,"Hollingworth, H. G.",1,1,1866,1866
1858-1867,"Jarvie, R.",1,1,1864,1864
1858-1867,"John, G.",1,1,1860,1860
1858-1867,"Keer, J. G.",1,1,1866,1866
1858-1867,"Lindau, R.",1,1,1864,1864
1858-1867,"Mayers, W. F.",1,1,1867,1867
1858-1867,"McCartee, D. B.",1,1,1866,1866
1858-1867,"Nicolson, F. W.",1,1,1858,1858
1858-1867,"Pryer, W. B.",1,1,1867,1867
1858-1867,"Robertson, D. B.",1,1,1859,1859
1858-1867,"Shock, W. H.",1,1,1860,1860
1858-1867,"Simon, G. E.",1,1,1867,1867
1858-1867,"Stronach, W. T.",1,1,1864,1864
1858-1867,"Syle, E. W.",1,1,1859,1859
1858-1867,The Hankow Times,1,1,1867,1867
1858-1867,"Ward, J.",1,1,1859,1859
1858-1867,"Watters, T.",1,1,1867,1867
1858-1867,"Wilds, E.",1,1,1864,1864
1868-1877,"Kingsmill, T. W.",5,4,1868,1877
1868-1877,"Macgowan, D. J.",4,2,1869,1875
1868-1877,Editorial Committee,3,1,1868,1874
1868-1877,"Mayers, W. F.",3,4,1869,1872
1868-1877,"Moule, G. E.",3,3,1869,1875
1868-1877,"Simon, G. E.",3,2,1868,1870
1868-1877,"Stent, G. C.",3,3,1871,1877
1868-1877,"Watters, T.",3,4,1871,1875
1868-1877,"Edkins, J.",2,2,1874,1877
1868-1877,"Swinhoe, R.",2,2,1871,1872
1868-1877,"Williams, S. W.",2,2,1869,1874
