author_id,author_name
AUTH_00001,"Abraham, R. D."
AUTH_00002,"Alabaster, E."
AUTH_00003,"Alexeieff, V."
AUTH_00004,"Allen, H. J."
AUTH_00005,"Anderson, G. C."
AUTH_00006,"Andrew, G. F."
AUTH_00007,"Ankerson, W. A."
AUTH_00008,"Annandale, N."
AUTH_00009,Ardsheal
AUTH_00010,"Arnold, J. H."
AUTH_00011,"Ayscough, F. W."
AUTH_00012,BYRON BRENAN
AUTH_00013,"Balfour, F. H."
AUTH_00014,"Barbour, G. B."
AUTH_00015,Bastion
AUTH_00016,"Beath, S. S."
AUTH_00017,"Becher, H. M."
AUTH_00018,"Betts, G. E."
AUTH_00019,"Biallas, F. X."
AUTH_00020,"Bickmore, A. S."
AUTH_00021,"Bishop, C. W."
AUTH_00022,"Bourne, F. S. A."
AUTH_00023,"Box, E."
AUTH_00024,"Bradley, C. B."
AUTH_00025,"Bretschneider, E."
AUTH_00026,"Bridgman, E. C."
AUTH_00027,"Brown, M. H."
AUTH_00028,"Brown, S. R."
AUTH_00029,"Bruce, J. P."
AUTH_00030,"Bruce, P."
AUTH_00031,"Budd, C."
AUTH_00032,"Bushell, S. W."
AUTH_00033,"Butcher, C. H."
AUTH_00034,"Buxton, D."
AUTH_00035,"Camajee, D. N."
AUTH_00036,"Canny, J. M."
AUTH_00037,"Carey, F. W."
AUTH_00038,"Carles, W. R."
AUTH_00039,"Ch'en, S. C."
AUTH_00040,"Chalfant, F. H."
AUTH_00041,Chang Hsin-hai（张歆海）
AUTH_00042,Chang Hsing Lang（张星烺）
AUTH_00043,"Chatley, H."
AUTH_00044,Cheng Te-k'un
AUTH_00045,"Clarke, G. W."
AUTH_00046,Coching Chu（竺可桢）
AUTH_00047,"Collins, V. D."
AUTH_00048,"Cordier, H."
AUTH_00049,"Couling, C. E."
AUTH_00050,"Couling, S."
AUTH_00051,"Courtney, C. F. A."
AUTH_00052,"Cowdry, N. H."
AUTH_00053,"Darroch, J."
AUTH_00054,"David, Le P. A."
AUTH_00055,"Dechevrens, Le P. M."
AUTH_00056,"Dennys, N. B."
AUTH_00057,"Dickson, W."
AUTH_00058,"Dodd, W. C."
AUTH_00059,"Dovey, J. W."
AUTH_00060,"Drake, F. S."
AUTH_00061,"Dubs, H. H."
AUTH_00062,"Dunlap, E. W."
AUTH_00063,E. BRASS
AUTH_00064,"Edgar, J. H."
AUTH_00065,Editorial Committee
AUTH_00066,"Edkins, J."
AUTH_00067,"Edmunds, C. K."
AUTH_00068,Edwards
AUTH_00069,"Eitel, E. J."
AUTH_00070,"Ellias, N."
AUTH_00071,"Englaender, A. L."
AUTH_00072,"Faber, E."
AUTH_00073,"Fauvel, A. A."
AUTH_00074,"Fedorovitch, J."
AUTH_00075,"Ferguson, J. C."
AUTH_00076,"Fischer, E. S."
AUTH_00077,"Fletcher, W. J. B."
AUTH_00078,"Foote, A. H."
AUTH_00079,"Forke, A."
AUTH_00080,"Forrest, R. J."
AUTH_00081,"Francis, J. de"
AUTH_00082,"Fraser, E. H."
AUTH_00083,"Fraser, M. F. A."
AUTH_00084,"Freeman, M."
AUTH_00085,"Fries, S. R. von"
AUTH_00086,"Fritsche, H."
AUTH_00087,G. S. S. G.
AUTH_00088,"Gabelentz, G. von der"
AUTH_00089,"Gale, E. M."
AUTH_00090,"Gale, E. M., Boodberg, P. A. and Lin, T. C."
AUTH_00091,"Gamble, W."
AUTH_00092,"Gapanovich, J. J."
AUTH_00093,"Gardener, C. T."
AUTH_00094,"Gardner, C. S."
AUTH_00095,"Gaunt, T."
AUTH_00096,"Gee, N. G."
AUTH_00097,"Gibson, H. E."
AUTH_00098,"Giles, H. A."
AUTH_00099,"Gillett, M. C."
AUTH_00100,"Gillis, I. V."
AUTH_00101,"Goodrich, L. C."
AUTH_00102,"Grabau, A. W."
AUTH_00103,"Groot, J. J. M. de"
AUTH_00104,"Guppy, H. B."
AUTH_00105,"H., F."
AUTH_00106,"Haas, J."
AUTH_00107,"Hall, J. C."
AUTH_00108,"Hallifax, T. E."
AUTH_00109,"Harding, H. L."
AUTH_00110,"Hauer, Erich"
AUTH_00111,"Haward, E."
AUTH_00112,"Hayes, L. N."
AUTH_00113,"Headland, I. T."
AUTH_00114,"Heeren, J. J."
AUTH_00115,Heidenstem
AUTH_00116,"Henderson, J."
AUTH_00117,"Henke, F. G."
AUTH_00118,"Henry, A."
AUTH_00119,"Hers, J."
AUTH_00120,"Himly, K."
AUTH_00121,"Hirth, F."
